object_of_expenditure_1,object_of_expenditure_2,account_code,past_year,current_year,budget_year
Current Operating Expenditures,Current Operating Expenditures,-,-,-,-
Personal Services,PhilHealth Contributions,-,-,-,-
Maintenance and Other Operating Expenses,Travelling Expenses - Local,751,-,111150.00,-
Maintenance and Other Operating Expenses,Training Expenses,753,-,-,-
Maintenance and Other Operating Expenses,Office Supplies Expenses,755,-,-,-
Maintenance and Other Operating Expenses,Accountable Forms Expenses,756,-,-,-
Maintenance and Other Operating Expenses,Drugs and Medicines Expenses,759,-,162800.00,-
Maintenance and Other Operating Expenses,"Medical, Dental and Laboratory Supplies Expenses",760,-,60500.00,-
Maintenance and Other Operating Expenses,"Gasoline, Oil and Lubricants Expenses",761,-,69768.60,-
Maintenance and Other Operating Expenses,Agricultural Supplies Expenses,762,-,169805.00,-
Maintenance and Other Operating Expenses,Other Supplies Expenses,765,-,18480.00,-
Maintenance and Other Operating Expenses,Water Expenses ,766,-,-,-
Maintenance and Other Operating Expenses,Telephone Expenses - Landline,772,-,-,-
Maintenance and Other Operating Expenses,Awards and Indemnities,779,-,-,-
Maintenance and Other Operating Expenses,Advertising Expenses,780,-,-,-
Maintenance and Other Operating Expenses,Printing and Binding Expenses,781,-,-,-
Maintenance and Other Operating Expenses,Rent Expenses,782,-,-,-
Maintenance and Other Operating Expenses,Representation Expenses,783,-,-,-
Maintenance and Other Operating Expenses,Transportation and Delivery Expenses,784,-,-,-
Maintenance and Other Operating Expenses,Subscription Expenses,786,-,-,-
Maintenance and Other Operating Expenses,Repairs and Maintenance - Office Building,811,-,25673.50,-
Maintenance and Other Operating Expenses,Repairs and Maintenance - Other Structure,815,-,32435.00,-
Maintenance and Other Operating Expenses,Repairs and Maintenance - Motor Vehicles,841,-,-,-
Maintenance and Other Operating Expenses,"Repairs and Maintenance - Roads, Highways and Bridges",851,-,535192.50,-
Maintenance and Other Operating Expenses,"Repairs and Maintenance - Parks, Plazas and Monuments",852,-,654521.50,-
Maintenance and Other Operating Expenses,Subsidy to Local Government Units,874,-,450000.00,-
Maintenance and Other Operating Expenses,Subsidy to Government Owned and Controlled Corporations,875,-,200000.00,-
Maintenance and Other Operating Expenses,Subsidy to NGO's or PO's,876,-,-,-
Maintenance and Other Operating Expenses,Subsidy to Other Funds,877,-,11703569.80,-
Maintenance and Other Operating Expenses,Miscellaneous Expenses,884,-,28500.00,-
Maintenance and Other Operating Expenses,Other Maintenance and Other Operating Expenses,969,-,9994844.25,-
Capital Outlay,Office Equipment,221,-,39900.00,-
Capital Outlay,Furniture and Fixtures,222,-,-,-
Capital Outlay,IT Equipment and Software,223,-,149100.00,-
Capital Outlay,"Agricultural, Fishery and Forestry Equipment",227,-,-,-
Capital Outlay,Communication Equipment,229,-,51000.00,-
Capital Outlay,"Medical, Dental and Laboratory Equipment",233,-,-,-
Capital Outlay,"Other Property, Plantand Equipment",250,-,-,-
Capital Outlay,Construction in Progress - Agency Assets,264,-,189840.00,-
Capital Outlay,"Construction in Progress - Roads, Highways and Bridges",266,-,1212093.35,-
Capital Outlay,Construction in Progress - Other Public Infrastructures,273,-,1522375.50,-
Capital Outlay,Other Assets,290,-,134645.00,-
Financial Expenses,Bank Charges,971,-,-,-
Financial Expenses,Interest Expense,975,-,7547109.63,-
Total Appropriation,Total Appropriation,-,0,35063303.63,-
