cd,item,amount
890-SS23,Neo-natal Ambulance,1227957
890-SS26,Social Development Center ( SDC ),299674
890-SS28,ECCD,128703
890-SS29,Repair of Senior Citizen Model Center,79877
890-IS06,Perimeter at Mega Market,939746
890-IS06,Road at Don Sero,405721
890-IS06,Wall at Don Sero,43906
890-IS06,Road Camasi Dumpsite,37856
890-IS06,Rehabilitation of Camasi Bridge at Brgy. Pob. 9,55566
890-IS07,Improvement of the Perimetr Dike System of the Biniruar Dumpsite,359947
890-IS10,Construction of Comfort Room at the City Plaza,1155633
890-IS11,Tantawan,578925
890-IS12,Renovation of City Plaza and City Stage,2977827
ES02,Rehabilitaion of Kutawato Cave (Bagua Site) as a Tourism-Related Facility Phase 1,20513
ES04,Special Opportunities for Students and Out-of-School Youth,401024
ES05,Rehabilitation of the Wastewater Treatment Facility of the City Slaugtherhouse,195160
ES08,"Establishment of Techno-Farm Demo for Rice, Vegetables, and Agriculture",179683
IS01,Rehabilitation of Road Leading to Dumpsite,1993267
IS02,Rehabilitation of Various City Streets,1991532
IS03,Renovation/Rehabilitation of Fish Section at Mega Market and Slaugtherhouse,503098
