programs_1,programs_2,continuing_appropriation,2012_annual_balance,total_obligations
"Electrification, Power And Energy Structures","Electrification, Power And Energy Structures",262587.62,1940515.34,-
Other Structures,Other Structures,127303.83,50000000,19922176.22
Other Structures,Payment to KLDS Trading of his Contract for the Completion of Covered Court at Differrent Barangays,-,-,11731.33
Other Structures,Payment of his Contract for the Renovation/Completion of Technological University of the Philippines,-,-,3906221.79
Other Structures,Payment of his Contract for the Renovation/Completion of Dasmarinas Central Elementary School Covered Court,-,-,4443603.55
Other Structures,Payment of his Contract for the Completion of Covered Court,-,-,1464748.74
Other Structures,Payment of his Contract for the Renovation/Completion of Sta. Cristina Elementary,-,-,-
Other Structures,School Covered Court,-,-,4321765.9
Other Structures,Payment of his Contract for the Renovation/Completion of Dasmarinas National High School Covered Court at San Simon,-,-,4120825.14
Other Structures,Payment of his Contract for the Rehabilitation of Covered Court at Barangay Fatima III,-,-,811362.85
Other Structures,Payment of his Contract for the Rehabilitation of Covered Court at Barangay Sta. Fe,-,-,841916.92
Hospital Equipment,Hospital Equipment,-,20000000,-
Roads Highways And Bridges,Roads Highways and Bridges,78161.09,20000000,-
"Park, Plazas and Monuments","Park, Plazas And Monuments",921814.38,9629338.6,120960
"Park, Plazas and Monuments",Payment to E. Collado Metal Trading for the Fabrication and Installation of Copper,-,-,-
"Park, Plazas and Monuments",Steel Cut Out Letter,-,-,120960
Other Public Infrastructure,Other Public Infrastructure,16761038.23,15000000,-
Other Public Infrastructure,Payment of his Contract for the Construction of Sidewalk and Drainage at Congressional,-,-,399625
Other Public Infrastructure,Payment of his Contract for the Steel Enclosure of Triangular Island,-,-,183718.92
Construction of Boundary Arches,Construction of Boundary Arches,-,15000000,-
Environment/Sanitary,Environment/Sanitary,280246.23,8000000,3084000
Environment/Sanitary,Payment of Supplies for the Environment and Sanitary Sevices,-,-,1320000
Environment/Sanitary,Payment of Materials for the Environment and Sanitary Services,-,-,54000
Environment/Sanitary,Payment of Deodorizer intended for the Environmental and Sanitation Services,-,-,226246.23
Environment/Sanitary,Payment of Deodorizer intended for the Environmental and Sanitation Services,-,-,43753.77
Environment/Sanitary,Payment of Supplies for the Environment and Sanitary Sevices,-,-,1440000
Construction of Multi-Purpose Facilities,Construction of Multi-Purpose Facilities,-,-,267668.53
Construction of Multi-Purpose Facilities,Payment to KLDS Trading of his Contact for the Construction of Covered Court at San Marino Square Paliparan I,2749636.53,-,267668.53
"Irrigaion, Canal, Lateral","Irrigation, Canal, Lateral",383,-,-
Hospital and Health Center,Hospital and Health Center,463495509.4,-,-
Market and Slaughter Houses,Market and Slaughter Houses,40000000,-,-
Construction and Heavy Equipment,Construction and Heavy Equipment,4188450,-,-
Traffic Signalization at Government Drive-Langkaan,Traffic Signalization at Government Drive-Langkaan,-,-,3510000
Traffic Signalization at Government Drive-Langkaan,Payment for his Contract for the Traffic Signalization at Langkaan,5695842.88,-,3510000
Total,Total,534560973.2,139569853.9,27487523.18
