programs_1,programs_2,continuing_appropriation,2012_annual_balance,total_obligations
"Electrification, Power And Energy Structures","Electrification, Power And Energy Structures",262587.62,2000000,1893440.43
"Electrification, Power And Energy Structures",Payment of his contract for the Installation of Streetlights (Underground Wiring) at Amuntay Road (From Lt. E. Cantimbuhan St. to Solar Homes Dubd...)Brgy Zone Iii,-,-,1893440.43
Other Structures,Other Structures,127303.83,50000000,17720048.2
Other Structures,Payment of his contract for the Rehabilitation of Covered Court Located at Bar Sto. Nino II,-,-,1285887.61
Other Structures,"Payment of his contract for the Rehabilitation of Covered Court Located at Zone II Bautista III, Sampaloc IV Highway",-,-,4750083.59
Other Structures,Payment of his contract for the Rehabilitation of Covered Court Located at Barangay St. Peter I,-,-,1887649.08
Other Structures,Payment of his contract for the Rehabilitation of Coverd Court Located at Barangay Paliparan III,-,-,2087705.33
Other Structures,Payment of his contract for the Rehabilitation of Covered Court Located at Barangay San Isidro Labrador II,-,-,1646653.38
Other Structures,Payment of his contract for the Rehabilitation of Covered Court Located at Barangay San Isidro Labrador I,-,-,1833278.85
Other Structures,Payment of his contract for the Rehabilitation of Covered Court Located at Barangay San Juan,-,-,1054926.39
Other Structures,Payment of his contract for the Rehabilitation of Covered Court Located at Barangay St. Peter II,-,-,1174526.29
Other Structures,Improvement of Basketball Court at Fiesta South Salitran II,-,-,237896.24
Other Structures,Payment of his contract for the Rehabilitation of Covered Court Located at barangay San Miguel II,-,-,1646561.44
Other Structures,Repair of Perimeter Fence of Day Care at Zone III Barangay Sampaloc IV,-,-,85980
Other Structures,Repair of Perimeter Fence of Day Care Center Zone III Sampaloc IV,-,-,28900
Hospital Equipment,Hospital Equipment,-,20000000,-
Roads Highways and Bridges,Roads Highways and Bridges,78161.09,14586317.88,9841753.2
Roads Highways and Bridges,Payment of his contract for the Concreting Road at Barangay Langkaan I Dasma Cavite,-,-,948474.03
Roads Highways and Bridges,Payment of his contract for the Rehabilitation of Road Leading to Dumpsite Located at Barangay Salawagan city of Dasmarinas Cavite,-,-,1777552.9
