program,project,location,total_cost,date_started,target_completion_date,project_status_percent_of_completion,project_status_total_cost_incurred_to_date,number_of_extensions,remarks
Social Development,-,-,-,-,-,-,-,-,-
Social Development- Social Infrastructure Development Program,-,-,-,-,-,-,-,-,-
Social Development- Social Infrastructure Development Program,3000-1-1 Improvement of Aurelio Multipurpose  Building in the Municipality of San Jose,"Aurelio, San Jose, Dinagat Islands",1500000,-,-,-,-,-,not yet implemented
Social Development- Social Infrastructure Development Program,3000-1-2 Construction of Municipal Disaster Risk Reduction and Management Center in the Municipality of Basilisa,"Basilisa, Dinagat Islands",5000000,-,-,-,-,-,not yet implemented
Economic Development,-,-,-,-,-,-,-,-,-
Economic Development- Provincial Infrastructure Development Program,-,-,-,-,-,-,-,-,-
Economic Development- Provincial Infrastructure Development Program,8000-1 Constructionv or Rehabilitation of Provincial Road,-,-,-,-,-,-,-,-
Economic Development- Provincial Infrastructure Development Program,8000-1-1 Concreting of Mahayahay to Capitol Road ,-,5000000,-,-,-,-,-,for 2nd semester
Economic Development- Urban and Rural Infrastructure Development Program,8000-2-1 Municipal Infrastructure Support,-,-,-,-,-,-,-,-
Economic Development- Urban and Rural Infrastructure Development Program,8000-2-1-1 Embankment of Municipal Grounds of the Municipality of  Basilisa,"Basilisa, Dinagat Islands",15000000,-,-,-,-,-,not yet implemented
Economic Development- Urban and Rural Infrastructure Development Program,8000-2-1-2 Embankment of Municipal Gym Grounds of the Municipality of San Jose,"San Jose, Dinagat Islands",15000000,-,-,-,-,-,not yet implemented
Economic Development- Urban and Rural Infrastructure Development Program,8000-2-1-3 Seawall Protection of Barangay White Beach in the Municipality of Dinagat,"Dinagat, Dinagat Islands",1000000,-,-,-,-,-,not yet implemented
Economic Development- Urban and Rural Infrastructure Development Program,8000-2-1-4 Concreting of Municipal Grounds of the Municipality of Tubajon,"Tubajon, Dinagat Islands",1000000,-,-,-,-,-,not yet implemented
Economic Development- Urban and Rural Infrastructure Development Program,8000-2-1-5 Embankment and Shoreline Protection of the Municipality of Libjo,"Libjo, Dinagat Islands",1000000,-,-,-,-,-,not yet implemented
Economic Development- Urban and Rural Infrastructure Development Program,8000-2-1-6 Municipal Park Reclamation Project of the Municipality of Loreto,"Loreto, Dinagat Islands",1000000,-,-,-,-,-,not yet implemented
Economic Development- Urban and Rural Infrastructure Development Program,8000-2-1-7 Road Opening of Barangay Nueva Estrella to Barangay Del Pilar in the Municipality of Cagdianao,"Cagdianao, Dinagat Islands",10000000,-,-,-,-,-,not yet implemented
Economic Development- Urban and Rural Infrastructure Development Program,8000-2-2 Barangay Infrastructure Development Support,-,-,-,-,-,-,-,-
Economic Development- Urban and Rural Infrastructure Development Program,8000-2-2-1 Various Infrastructure Projects for the 100 Barangays of the Province,-,5000000,-,-,-,-,-,"2 brgys received Php 50,000.00 each but not yet implemented"
Total,-,-,49000000,-,-,-,-,-,-
Dinagat Islands Sustainable Agriculture and Fishery Development Program,Crops Production Support- Rice Production Enhancement and Development Program,-,640000,-,-,-,-,-,proposal submitted for LCE approval  or 2nd quarter
Dinagat Islands Sustainable Agriculture and Fishery Development Program,Crops Production Support- Corn or Cassava Production and Development Program,Province Wide,260000,"August, 2014 or 3rd quarter",-,-,-,-,proposal for LCE approval
Dinagat Islands Sustainable Agriculture and Fishery Development Program,Crops Production Support- Dinagat Islands Integrated High Value Crops Development Program- Procurement and Distribution of assorted seeds and planting materials,-,180000,-,-,-,-,-,proposal for LCE approval
Dinagat Islands Sustainable Agriculture and Fishery Development Program,"Crops Production Support- Dinagat Islands Integrated High Value Crops Development Program- Provincial Plant Nursery Production and Distribution of Improve Planting Materials  (Cashew, Jackfruit, Mango, etc)",-,110000,-,-,-,-,-,proposal for LCE approval
Dinagat Islands Sustainable Agriculture and Fishery Development Program,Crops Production Support- Dinagat Islands Integrated High Value Crops Development Program- Production and Distribution of Vermi-compost and vermi-cast,Province Wide,100000,"August, 2014",-,-,-,-,PR on process
Dinagat Islands Sustainable Agriculture and Fishery Development Program,"Farm Mechanization, Post Harvest Facilities and Other Infrastructure Development Services- Farm Production Equipment",-,220000,-,-,-,-,-,not yet implemented
