program,project,location,total_cost,date_started,target_completion_date,project_status_percent_of_Completion ,project_status_total_cost_incurred_to_date,number_of_extensions,remarks
Social Development,-,-,-,-,-,-,-,-,-
Social Development,Social Infrastructure Development Program-,-,-,-,-,-,-,-,-
Social Development,Social Infrastructure Development Program- 3000-1-1 Improvement of Aurelio Multi-Purpose  Building in the Municipality of San Jose,"Aurelio, San Jose, Dinagat Islands",1500000,-,-,-,-,-,not yet implemented
Social Development,Social Infrastructure Development Program- 3000-1-2 Construction of Municipal Disaster Risk Reduction and Management Center in the Municipality of Basilisa,"Basilisa, Dinagat Islands",5000000,-,-,-,-,-,not yet implemented
Economic Development,-,-,-,-,-,-,-,-,-
Economic Development,Provincial Infrastructure Development Program,-,-,-,-,-,-,-,-
Economic Development,Provincial Infrastructure Development Program- 8000-1 Construction or Rehabilitation of Provincial Road,-,-,-,-,-,-,-,-
Economic Development,Provincial Infrastructure Development Program- 8000-1-1 Concreting of Mahayahay to Capitol Road ,-,5000000,-,-,-,-,-,for 2nd semester
Economic Development,Urban and Rural Infrastructure Development Program,-,-,-,-,-,-,-,-
Economic Development,Urban and Rural Infrastructure Development Program- 8000-2-1 Municipal Infrastructure Support,-,-,-,-,-,-,-,-
Economic Development,Urban and Rural Infrastructure Development Program- 8000-2-1-1 Embankment of Municipal Grounds of the Municipality of  Basilisa,"Basilisa, Dinagat Islands",15000000,-,-,-,-,-,not yet implemented
Economic Development,Urban and Rural Infrastructure Development Program- 8000-2-1-2 Embankment of Municipal Gym Grounds of the Municipality of San Jose,"San Jose, Dinagat Islands",15000000,-,-,-,-,-,on process
Economic Development,Urban and Rural Infrastructure Development Program- 8000-2-1-3 Seawall Protection of Barangay White Beach in the Municipality of Dinagat,"Dinagat, Dinagat Islands",1000000,41871,-,100,1000000,-,implemented
Economic Development,Urban and Rural Infrastructure Development Program- 8000-2-1-4 Concreting of Municipal Grounds of the Municipality of Tubajon,"Tubajon, Dinagat Islands",1000000,-,-,-,-,-,for realignment
Economic Development,Urban and Rural Infrastructure Development Program- 8000-2-1-5 Embankment and Shoreline Protection of the Municipality of Libjo,"Libjo, Dinagat Islands",1000000,-,-,-,-,-,on process
Economic Development,Urban and Rural Infrastructure Development Program- 8000-2-1-6 Municipal Park Reclamation Project of the Municipality of Loreto,"Loreto, Dinagat Islands",1000000,-,-,-,-,-,on process
Economic Development,Urban and Rural Infrastructure Development Program- 8000-2-1-7 Road Opening of Barangay Nueva Estrella to Barangay Del Pilar in the Municipality of Cagdianao,"Cagdianao, Dinagat Islands",10000000,-,-,-,-,-,not yet implemented
Economic Development,Urban and Rural Infrastructure Development Program- 8000-2-2 Barangay Infrastructure Development Support,-,3400000,-,-,-,-,-,-
Economic Development,Urban and Rural Infrastructure Development Program- 8000-2-2-1 Various Infrastructure Projects for the 100 Barangays of the Province,-,-,-,-,-,-,-,-
Economic Development,Urban and Rural Infrastructure Development Program- Barangay Treasurer Roxas-Financial Assistance for Road Concreting,"Roxas, Basilisa, Dinagat Islands",50000,41771,-,100,50000,-,on-going
Economic Development,Urban and Rural Infrastructure Development Program- Barangay Treasurer Edera-Financial Assistance for Road Concreting,"Edera, Basilisa, Dinagat Islands",50000,41766,-,100,50000,-,on-going
Economic Development,Urban and Rural Infrastructure Development Program- Barangay Treasurer Aurelio-Financial Assistance for Pathway Concreting,"Aurelio, San Jose, Dinagat Islands",50000,41842,-,100,50000,-,just released
Economic Development,Urban and Rural Infrastructure Development Program- Barangay Treasurer Gomez-Financial Assistance for the Construction of Multi-Purpose Building,"Gomez, Dinagat, Dinagat Islands",50000,41838,-,100,50000,-,implemented
Economic Development,Urban and Rural Infrastructure Development Program- Barangay Treasurer Geotina-Financial Assistance for Construction of Multi-Purpose Building,"Geotina, Basilisa, Dinagat Islands",50000,41898,-,100,50000,-,on-going
Economic Development,Urban and Rural Infrastructure Development Program- Barangay Treasurer Mauswagon-Financial Assistance for the Rehab of Multi-Purpose Building,"Mauswagon, Dinagat, Dinagat Islands",50000,41871,-,100,50000,-,on-going
Economic Development,Urban and Rural Infrastructure Development Program- Barangay Treasuer Columbus-Financial Assistance for the Repair of Multi-Purpose Building,"Columbus, Basilisa, Dinagat Islands",50000,41779,-,100,50000,-,unrelease check
