program,name_of_project,budget,disbursement,balance
Social Services,Education and Manpower Development,1000000,35110,964890
Social Services,Health Program,1000000,76784.31,923215.69
Social Services,Housing and Community Development Program,500000,58000,442000
Social Services,Water System Development,484373.4,453509.35,30864.05
Economic Services,Agricultural Development Program,600000,213112.8,386887.2
Economic Services,"Eco. Enterprise, Investment and Trade Promo",500000,433703.36,66296.64
Economic Services,Livestock Breeding and Dispersal,500000,499694,306
Economic Services,Tourism Promotion and Development,300000,0,300000
Economic Services,Coastal Resource Development,500000,0,500000
Economic Services,Reforestation Program,200000,142206.24,57793.76
Economic Services,Reforestation Program- CDAF Project-Alimango,300000,99431.6,200568.4
Economic Services,Reforestation Program- CDAF Project-Balintawak,300000,227533.4,72466.6
Economic Services,Reforestation Program- CDAF Project-Binaguiohan,300000,292958.13,7041.87
Economic Services,Reforestation Program- CDAF Project-Buenavista,300000,234980.71,65019.29
Economic Services,Reforestation Program- CDAF Project- Cervantes,300000,254245.04,45754.96
Economic Services,Reforestation Program- CDAF Project- Dian-ay,300000,267144.45,32855.55
Economic Services,Reforestation Program- CDAF Project- HDA. Fe,300000,267847.5,32152.5
Economic Services,Reforestation Program- CDAF Project- Japitan,300000,292978.12,7021.88
Economic Services,Reforestation Program- CDAF Project- Jonob-Jonob,300000,219221.25,80778.75
Economic Services,Reforestation Program- CDAF Project- Langub,300000,223148.12,76851.88
Economic Services,Reforestation Program- CDAF Project- Libertad,300000,185073.69,114926.31
Economic Services,Reforestation Program- CDAF Project- Mabini,300000,258166.03,41833.97
Economic Services,Reforestation Program- CDAF Project- Magsaysay,300000,150264.62,149735.38
Economic Services,Reforestation Program- CDAF Project- Malasibog,300000,75000,225000
Economic Services,Reforestation Program- CDAF Project- Old Poblacion,300000,113861.4,186138.6
Economic Services,Reforestation Program- CDAF Project- Paitan,300000,283395.45,16604.55
Economic Services,Reforestation Program- CDAF Project- Pinapugasan,300000,60870.85,239129.15
Economic Services,Reforestation Program- CDAF Project- Rizal,300000,248579.23,51420.77
Economic Services,Reforestation Program- CDAF Project- Tamlang,300000,154407.41,145592.59
Economic Services,Reforestation Program- CDAF Project- Udtongan,300000,26488075,35119.25
Economic Services,Reforestation Program- CDAF Project- Washington,300000,153674.2,146325.8
Economic Services,Reforestation Program- Loan Amortization- Banks Loan Amortization,40000000,40000000,0
Economic Services,Reforestation Program- Loan Amortization- Logofind Loan Amortization,3387205,3387202.18,2.82
Grand Total,-,55271578.4,49626984.19,5644594.21
