programs_or_projects,proponent_or_responsible_office,total,first_quarter,balance
Constructionof 4-Story Annex GPH and Basement (Loan Amortization),"GPH, PEO, PTO",5100000,-,5100000
Roads Development Program-Loan Amortization For Equipment (Recycler),PEO or PTO,6500000,-,6500000
Loan Amortization For Farm to Market Roads,PEO or PTO,5400000,-,5400000
"Loan Amortization For Equipment (Bulldozer, etc.) ",PEO or PTO,5600000,-,5600000
Loan Amortization For Equipment (Road Grader) ,PEO or PTO,5400000,-,5400000
Improvement of Local Roads,PEO,4000000,1949375.98,2050624.02
Water Supply Sector Program,PPDO,3000000,37157.05,2962842.95
"Construction of Fish Landing Facility, Lawi(Phase 4)",PEO,1000000,-,1000000
Provincial Counterpart to PRMF Project,GO or GMEB,8000000,144184.01,7855815.99
Conduct of Special Scientific Studies on Guimaras Environment,GO,1000000,128844.86,871155.14
Integrated Coastal Mgt. Program,GENRO,750000,6525,743475
PTEDC,TESDA,1750000,36900,1713100
HRMD Program,"Padmo, PHRMDT",701068,-,701068
Guimaras Mango Industry Development Program,POAS,500000,-,500000
Agricultural Extension Services for Rice Production and Sufficiency 2012,POAS,1000000,58725,941275
Electrification Program,PEO,3000000,-,3000000
Provincial Coounterpart to MIGEDC,PPDO,200000,200000,-
Program for Children,PCPC or PSWDO,1000000,14100,985900
Provincial Counterpart to Guimaras Agri-Tourism Development Program,PEDO,500000,-,500000
Guimaras Trade Investment and Promotion Program,PEDO,570000,-,570000
Organic Sweet Potato Production Project,POAS,500000,-,500000
Sustainable Organic Vegetable Production Project,POAS,250000,-,250000
Improvement of Capitol Project,PEO,2500000,2470697.4,29302.6
Guimaras Tourism Enhancement program(GTEP),GO-Tourism Section,1000000,-,1000000
Total,Total,59221068,5046509.3,54174558.7
