program_or_project_1,program_or_project_2,program_or_project_3,program_or_project_4,location,total_cost,date_started,target_completion_date,project_status_percent_of_completion,project_status_total_cost_incurred_to_date,number_of_extensions,remarks
Social Development,Social Development,Social Development,Social Development,-,-,-,-,-,-,-,-
Economic Development,Counterpart Fund for the construction of Evacuation Center,Counterpart Fund for the construction of Evacuation Center,Counterpart Fund for the construction of Evacuation Center,-,500000,No Implementation,No Implementation,-,-,-,No implementation yet on the program or projects for the 1st and 2nd quarters of 2014
Economic Development,Other Development Projects,Other Develoopment Projects,Other Develoopment Projects,-,40252620,No Implementation,No Implementation,-,-,-,-
Economic Development,Bottom-up-Budgeting (BUB) Iligan City Counterpart,Bottom-up-Budgeting (BUB) Iligan City Counterpart,Bottom-up-Budgeting (BUB) Iligan City Counterpart,-,16236318,No Implementation,No Implementation,-,-,-,-
Economic Development,Amortization Loans,Amortization due ADB (DOF-PRMDP)IBJT and Bagsakan,Amortization due ADB (DOF-PRMDP)IBJT and Bagsakan,Iligan City,-,-,-,-,-,-,-
Economic Development,Amortization Loans,Amortization due ADB (DOF-PRMDP)IBJT and Bagsakan,Principal ,-,3516500,4/1/2014,12/31/2014,71,2496595.16,CY 2014 only,Amortizations for CY 2014 only.
Economic Development,Amortization Loans,Amortization due ADB (DOF-PRMDP)IBJT and Bagsakan,Interest,-,1352333,4/1/2014,12/31/2014,75,1010334.48,CY 2014 only,Amortizations for CY 2014 only.
Economic Development,Amortization Loans,Solid waste management Project due to DBP Loan,Solid waste management Project due to DBP Loan,Iligan City,-,-,-,-,-,-,-
Economic Development,Amortization Loans,Solid waste management Project due to DBP Loan,Principal ,-,33123443,1/22/2014,12/31/2014,25,8280860.4,CY 2014 only,Amortizations for CY 2014 only.
Economic Development,Amortization Loans,Solid waste management Project due to DBP Loan,Interest or GRT,-,16423797,1/22/2014,12/31/2014,24,4018977.59,CY 2014 only,Amortizations for CY 2014 only.
Economic Development,Amortization Loans,Waterworks Projects due LBP Loan,Waterworks Projects due LBP Loan,Iligan City,-,-,-,-,-,-,-
Economic Development,Amortization Loans,Waterworks Projects due LBP Loan,Principal ,-,27220705,1/8/2014,12/31/2014,5,13620471.46,CY 2014 only,Amortizations for CY 2014 only.
Economic Development,Amortization Loans,Waterworks Projects due LBP Loan,Interest,-,31521414,1/8/2014,12/31/2014,48,15111079.1,CY 2014 only,Amortizations for CY 2014 only.
Environmental Development,Environmental Development,Environmental Development,Environmental Development,-,-,-,-,-,-,-,-
Total,Total,Total,Total,-,170147130,-,-,-,44538318.19,-,-
