date,alobs_number,particular,projects,cctv,waste_management
-,-,Total Appropriation,37300000,2000000,9000000
-,-,Supplemental 2,-,-,7000000
3/19/2012,1753,Cost of services - Garbage Collection,-,-,7000000
3/19/2012,1754,Constructionruction of Bantay Bayan Outpost at Toclong I-C,53500,-,-
3/19/2012,1755,Constructionruction of Streetlights at Margelo Subdivision BL2,310000,-,-
3/19/2012,1756,Constructionruction of waste transfer stn at Pinagbuklod,66000,-,-
3/19/2012,1757,Installationallation of Streetlights (44 Units) at Lanceville and Masigasig Malag 2A,340000,-,-
3/19/2012,1758,Rehabilitation of Streetlights at Medicion II-A,176000,-,-
3/19/2012,1759,Constructionruction of Day Care Ext. at Malag II-D,446000,-,-
3/19/2012,1760,Improvement of DCC at C. Bago II,160000,-,-
3/19/2012,1761,"Improvement of DCC at Parkdale I, Anabu I-A",125000,-,-
3/19/2012,1762,Construction of Barangay Outpost at Poblacion IV-B,153000,-,-
3/19/2012,1763,Roofing of Pathway at DM Camerino E/S,99780.69,-,-
3/19/2012,1764,Construction of Dealth Center Extention and Pathway at Malagasang II-D,463000,-,-
3/19/2012,1766,Rehabilitation of Streetlights at Toclong I-A,295000,-,-
3/19/2012,1767,Improvement of Covered Court at Pag-asa II,670000,-,-
3/19/2012,1769,Installation of Railings at Bucandala IV,440000,-,-
3/19/2012,1770,Improvement of Basketball Court at Malag II-E,156000,-,-
3/19/2012,1771,"Construction of Fence at Riverside, T. Luma I",575000,-,-
3/19/2012,1772,Improvement of Basketball Court at Malag II-F,220000,-,-
3/19/2012,1773,Installation of Steel Railings at Malag II-B,240000,-,-
3/19/2012,1775,Improvement of barangay hall & health center at Anabu I-A,300000,-,-
3/19/2012,1776,Concreting of Callejon at Malag II-C,99500,-,-
3/19/2012,1777,Concreting of Callejon at Alapan I-A,200000,-,-
3/19/2012,1778,Installation of Streetlights (58 units) at Anabu I-C,680000,-,-
3/19/2012,1779,Improvement of Streetligths at Anabu I-D,316000,-,-
3/26/2013,1956,Upgrading of Callejon at Balimbing Drive - Medicion I-B,163000,-,-
3/26/2013,4320,Installationallation of streetlights along NIA Canal Rd. Anabu 2D to Malag,3000000,-,-
-,-,Total,9383280.69,-,-
-,-,Balance,27916719.31,-,7000000
