programs_or_activity_or_projects_1,programs_or_activity_or_projects_2,appropriations,obligation,balance
Social Services,"Construction or rehabilitation of Health Centers, rural health units or hospitals and purchase of Medical Equipment",2606537.2,142512,2464025.2
Social Services,Constuction or Rehabilitation of Park and Historical Sites,6704066.6,-,6704066.6
Social Services,Installation and maintenance of streetlighting System,4000000,511453.25,3488546.75
Economic Development,Construction or rehabilitation of Local Roads and Bridges,4910833.87,920450,3990383.87
Economic Development,Capital expenditures related to the implementation of livelihood or entrepreneurship or local economic development projects,2500000,-,2500000
Economic Development,"Amortization of loans used to finance development projects, local economic development projects",30089116.13,6294329.19,23794786.94
Economic Development,Construction or rehabilitation of Various Buildings,5000000,2303530.14,2696469.86
Environmental Management ,"Construction or Rehabilitation of sanitary landfills, material recovery facilities and purchase of Garbage trucks and related equipment",1500000,1120600,379400
Environmental Management ,"Implementation of flood and erosion control projects such as rehab. Or const. of drainage systems, disilting of rivers, declogging of canals.",5000000,279544,4720456
Environmental Management ,"Other Environmental management projects that promote air and water quality, as well as productivity o the coastal or fresh water habitat, agricultural land and forest land ",1200000,296100,903900
Total,Total,63510553.8,11868518.58,51642035.22
