programs_or_activity_or_projects_1,programs_or_activity_or_projects_2,appropriations,obligation,balance
Social Services,"Construction or rehab of Health Centers, rural health units or hospitals and purchase of Medical Equipment",2000000,-,2000000
Social Services,Establishment or rehabilitation of Man Power Development Center,500000,-,500000
Social Services,Tourism and Cultural Activities,800000,-,800000
Social Services,Installation and maintenance of streetlighting System,2601701.6,1477545.5,1124156.1
Economic Development,"Construction or rehab of communal irrigation or water impunding system and purchase of post harvest facilities such as farm or hand tractor with trailer, thresher and mechanical drier",2500000,-,2500000
Economic Development,"Construction or rehabilitation of local roads or bridges and purchase o appropriate engineering equipment such as dump trucks, graders and payloaders",5000000,2672180.02,2327819.98
Economic Development,Capital expenditures related to theb implementation of livelihood or entrepreneurship or local economic development projects,1650000,1650000,-
Economic Development,Amortization of loans used to finance development projects,26020394.9,8298864.58,17721530.32
Environmental Management ,Reforestation and Urban Greening,2500000,308300,2191700
Environmental Management ,"Construction or rehabilitation of sanitary lanfills, material recovery facilities and purchase of garbage trucks and related equipment",3100000,1545550.5,1554449.5
Environmental Management ,"Implementation of flood and erosion control projects such as rehabilitation and construction of drainage system, desilting of rivers, de-clogging  off canals",6000000,2907211.5,3092788.5
Environmental Management ,"Other Environmental management projects that promote air and water quality, as well as productivity o the coastal or fresh water habitat, agricultural land and forest land ",1000000,-,1000000
Environmental Management ,Development of Eco-Adventure Park and Mt. Iriga Rainforestation,3779605.1,-,3779605.1
Total,Total,57451701.6,18859652.1,38592049.5
