programs_or_activity_or_projects_1,programs_or_activity_or_projects_2,appropriations,obligation,balance
Social Services,"Construction or rehabilitation of Health Centers, rural health units or hospitals and purchase of Medical Equipment",1000000,-,1000000
Social Services,Construction or Rehabilitation of Local Government Owned portable water supply system,500000,,500000
Social Services,Establishment or rehabilitation of Manpower Development Center,1004000,-,1004060
Social Services,Installation and maintenance of streetlighting System,3102832.8,1228340.3,1874493
Economic Development,Construction or rehabilitation of Local Roads and Bridges,4623423.05,1075000,3548423.05
Economic Development,Capital expenditures related to the implementation of livelihood or entrepreneurship or local economic development projects,2000000,-,2000000
Economic Development,"Amortization of loans used to finance development projects, local economic development projects",28987000,6964457.11,22022542.89
Environmental Management ,"Construction or Rehabilitation of sanitary landfills, material recovery facilities and purchase of garbage trucks and related equipment",1500000,950000,550000
Environmental Management ,"Implementation of flood and erosion control projects such as rehabilitation and construction of drainage system, desilting of rivers, de-clogging  off canals",5000000,587200,4412800
Environmental Management ,"Other Environmental management projects that promote air and water quality, as well as productivity o the coastal or fresh water habitat, agricultural land and forest land ",1000000,-,1000000
Environmental Management ,Development of Eco-Adventure Park and Mt. Iriga Rainforestation,6192409,-,6192409.75
Total,Total,54909732.2,10804997.41,44104734.79
