obligation_request_number,account_code,details,project_title,amount_appropriation,amount_actual_disbursement,amount_balance,in_percent,remarks
-,Maintenance and Other Operating Expenses - Social Development Programs,Unimplemented Projects,1062064.75,-,1062064.75,-,-,
8124,Maintenance and Other Operating Expenses - Social Development Programs,Unimplemented Projects - Unlad -Kabataan Program (SK Cup Basketball Tournament 2012),18000,18000,-,100,"100% Accomplished (Dec, 2012)",
8123,Maintenance and Other Operating Expenses - Social Development Programs,Unimplemented Projects - Unlad -Kabataan Program (Christmas in every Y.O.U.T.H.),20000,20000,-,100,"100% Accomplished (Dec, 2012)",
6593,Maintenance and Other Operating Expenses - Social Development Programs,"Unimplemented Projects - Psychotherapy Services for Women, Men and Children",10000,10000,-,100,"100% Accomplished (Nov, 2012)",
6473,Maintenance and Other Operating Expenses - Social Development Programs,Unimplemented Projects - Upgrading of Day Care Services (National Book Week),5900,5884,16,100,"100% Accomplished (Dec, 2012)",
6428,Maintenance and Other Operating Expenses - Social Development Programs,Unimplemented Projects - Upgrading of Day Care Services (National Children's Fund),20000,20000,-,100,"100% Accomplished (Nov, 2012)",
6081 or 6082,Maintenance and Other Operating Expenses - Social Development Programs,Unimplemented Projects - Street Lighting During Emergency Cases and Calamities,280000,238048.5,41951.5,0.8502,Continuing 2012,
6017,Maintenance and Other Operating Expenses - Social Development Programs,Unimplemented Projects - Repair and Maintenance of Emergency Vehicles and Equipment to be used during Calamities,200000,199469,531,100,"100% Accomplished (Dec, 2012)",
6009,Maintenance and Other Operating Expenses - Social Development Programs,"Unimplemented Projects - Fabrication of Shed -type Roof at Guintubdan Pavilion. Sto. Guintubdan, Barangay Ara -al, La Carlota City",100000,90185.75,9814.25,0.9,Continuing 2012,
6008,Maintenance and Other Operating Expenses - Social Development Programs,"Unimplemented Projects - Repair of Trailway and Handrail going to Guintubdan Falls and Viewing Deck at Camp Mulberry, Sto. Guintubdan, Barangay Ara -al",400000,344913,55087,0.86,Continuing 2012,
5825,Maintenance and Other Operating Expenses - Social Development Programs,Unimplemented Projects - Nutrition Program or Health Information Education Promotion Progam (1% IRA Fund),196600,192688,3912,0.98,"100% Accomplished (Dec, 2012)",
5795,Maintenance and Other Operating Expenses - Social Development Programs,Unimplemented Projects - Crisis Center for Women and Children in Detention,10000,9987,13,100,"100% Accomplished (Dec, 2012)",
5785,Maintenance and Other Operating Expenses - Social Development Programs,Unimplemented Projects - Social Welfare and Development Program or Day Care Worker (1% IRA Fund),348000,348000,-,100,"100% Accomplished (Dec, 2012)",
5597,Maintenance and Other Operating Expenses - Social Development Programs,"Unimplemented Projects - Repair of Camp Mulberry Facility, Sto. Guintubdan",249166,233628.5,15537.5,0.94,Continuing 2012,
5314,Maintenance and Other Operating Expenses - Social Development Programs,"Unimplemented Projects - Repainting or Fabrication of Beds and Cabinets or Installation od Exterior Ceiling of 4 units Rentable Bedrooms, Barangay Guintubdan, La Carlota City",388429,375853.2,12575.8,0.97,"100% Accomplished (Dec, 2012)",
5298,Maintenance and Other Operating Expenses - Social Development Programs,Unimplemented Projects - General Repair of Rehabilitation Center,816000,814576,1424,100,"100% Accomplished (Dec, 2012)",
5033,Maintenance and Other Operating Expenses - Social Development Programs,"Unimplemented Projects - Renovation of Mini Pool and Installation of New Cottages, Sto. Guintubdan, Barangay Ara -al, La Carlota City",180020,163827,16193,0.91,Continuing 2012,
4997,Maintenance and Other Operating Expenses - Social Development Programs,"Unimplemented Projects - Locator Map Shade, Public Plaza, La Carlota City",17000,16501,499,0.97,"100% Accomplished (Oct, 2012)",
4545,Maintenance and Other Operating Expenses - Social Development Programs,"Unimplemented Projects - Installation of Four (4) units of Water Heater at the Pavilion Guintubdan, Barangay Ara -al, La Carlota City",32531,32512.5,18.5,100,"100% Accomplished (Oct, 2012)",
4531,Maintenance and Other Operating Expenses - Social Development Programs,"Unimplemented Projects - Proposed Construction of Two (2) units Stock Room or Fabrication of Cabinet and Shelves, City Trasurer's Office",411813.85,404093.25,7720.6,0.98,Continuing 2012,
3994,Maintenance and Other Operating Expenses - Social Development Programs,"Unimplemented Projects - Total Repair or  Renovation of Fire Department, La Carlota City",1695620,1693133.75,2486.25,100,"100% Accomplished (Dec, 2012)",
2899,Maintenance and Other Operating Expenses - Social Development Programs,Unimplemented Projects - Purhcase of Repair of Appropriate Calamity Related Rescue Operation Equipment (Phase II),1000000,974606.4,25393.6,0.97,Continuing 2012,
2245,Maintenance and Other Operating Expenses - Social Development Programs,Unimplemented Projects - Disaster Prepareness and Emergency Responses,170000,168036.5,1963.5,0.99,"100% Accomplished (Sept, 2012)",
2083,Maintenance and Other Operating Expenses - Social Development Programs,Unimplemented Projects - Rehabilitation of Philippine National Police,50000,36201,13799,0.72,Continuing 2012,
1883,Maintenance and Other Operating Expenses - Social Development Programs,Unimplemented Projects - Rehabilitation of BJMP Office,66000,65285,715,0.99,"100% Accomplished (Oct, 2012)",
1622,Maintenance and Other Operating Expenses - Social Development Programs,Unimplemented Projects - Rehabilitation of Water Supply System and Rehab of  -Shallow Well of 14 Barangays,240000,176295.35,63704.65,0.73,Continuing 2012,
1620,Maintenance and Other Operating Expenses - Social Development Programs,Unimplemented Projects - Rehabilitation of Government Facilities,1320000,1282506.6,37493.4,0.97,Continuing 2012,
1614,Maintenance and Other Operating Expenses - Social Development Programs,Unimplemented Projects - Rehabilitation of Barangay Health Center (Barangay II),90070,90057,13,100,"100% Accomplished (July, 2012)",
1613,Maintenance and Other Operating Expenses - Social Development Programs,Unimplemented Projects - Rehabilitation of Barangay Health Center (Barangay Batuan),90070,90041,29,100,"100% Accomplished (July, 2012)",
1467,Maintenance and Other Operating Expenses - Social Development Programs,Unimplemented Projects - Rehabilitationof Agora Entrance Door,41000,40533,467,0.99,"100% Accomplished (May, 2012)",
1270,Maintenance and Other Operating Expenses - Social Development Programs,Unimplemented Projects - Rehabilitation of Cultural Site (Panaad Booth),118500,117409,1091,0.99,"100% Accomplished (May, 2012)",
1227,Maintenance and Other Operating Expenses - Social Development Programs,Unimplemented Projects - Purhcase of Repair of Appropriate Calamity Related Rescue Operation Equipment (Phase I),1000000,990434.55,9565.45,0.99,Continuing 2012,
-,Maintenance and Other Operating Expenses - Economic Development Programs,Unimplemented Projects,678912.3,-,678912.3,-,-,
-,Maintenance and Other Operating Expenses - Economic Development Programs,Unimplemented Projects - Medicare sa Masa,1342200,1158450,183750,0.86,"100% Accomplished (Dec., 2012)",
5816,Maintenance and Other Operating Expenses - Economic Development Programs,Unimplemented Projects - Database Application and Multi -Purpose Information,50000,49970,30,100,"100% Accomplished (Dec., 2012)",
4320,Maintenance and Other Operating Expenses - Economic Development Programs,Unimplemented Projects - Implementation of Livelihood and Enterprenuership,600000,569975,30025,0.95,"100% Accomplished (Dec., 2012)",
3353,Maintenance and Other Operating Expenses - Economic Development Programs,Unimplemented Projects - Local Economic Development Project of La Carlota City Guintubdan Pavilion,285935,279436.4,6498.6,0.98,"100% Accomplished (Dec., 2012)",
3115,Maintenance and Other Operating Expenses - Economic Development Programs,"Unimplemented Projects - Rehabilitation of Water System at Camp Mulberry and Camp Mahogany, Guintubdan Mountain Resort",14065,9124,4941,0.65,"100% Accomplished (Dec., 2012)",
2003,Maintenance and Other Operating Expenses - Economic Development Programs,Unimplemented Projects - Rehabilitation of Socio Cultural Facilities,500000,499637.1,362.9,100,"100% Accomplished (May., 2012)",
1647,Maintenance and Other Operating Expenses - Economic Development Programs,Unimplemented Projects - Database Application on Livelihood Enterpreneurship or Local Economic Development Program,300000,296804.56,3195.44,0.99,"100% Accomplished (Dec., 2012)",
1466,Maintenance and Other Operating Expenses - Economic Development Programs,Unimplemented Projects - Asphalt Scaling and Rehabilitation of City Streets City Wide (Phase I),1100000,1099861.6,138.4,100,"100% Accomplished (Dec., 2012)",
1389,Maintenance and Other Operating Expenses - Economic Development Programs,Unimplemented Projects - Graveling of Barangay Road Going to Barangay Batuan,347287.7,346844.6,443.1,100,"100% Accomplished (June, 2012)",
-,Maintenance and Other Operating Expenses - Environment Development Programs,Unimplemented Projects,72664,-,72664,-,-,
7947,Maintenance and Other Operating Expenses - Environment Development Programs,Unimplemented Projects - Kapaligiran Program,800000,798830,1170,100,"100% Accomplished (Dec., 2012)",
7065,Maintenance and Other Operating Expenses - Environment Development Programs,Unimplemented Projects - Solid Waste Management Program,1000000,997634.4,2365.6,100,"100% Accomplished (Dec., 2012)",
