 ,particulars_2,particulars_3,code,current_appropriations_2012,allotment_project_cost_contract_amount,obligation_this_month,obligation_to_date,balances_of_appropriations,balances_of_allotment
Infrastructure Support for Health,Infrastructure Support for Health,Infrastructure Support for Health,-,9300000,-,-,-,9300000,-
Community Development Projects,Construction of Multi - Purpose Covered Court,Construction of Multi - Purpose Covered Court,-,8000000,-,-,-,8000000,-
Community Development Projects,Open Space Development - Construction of Pathway or Road Shoulder,Open Space Development - Construction of Pathway or Road Shoulder,-,1000000,-,-,-,1000000,-
Natural Resources Services,Watershed Protection and Management - Agro Forestry Nursery Development,Agricultural Supplies Expenses,762,520000,180000,-,-,390000,130000
Natural Resources Services,Watershed Protection and Management - Agro Forestry Nursery Development,General Services,795,441000,110250,36778,101885,330750,8365
Natural Resources Services,Watershed Protection and Management - Agro Forestry Nursery Development,R and M - Other Structures,815,200000,50000,-,-,150000,50000
Natural Resources Services,Watershed Protection and Management - Reforestation and Urban Greening,Land,202,1114895,-,-,-,1114895,-
Natural Resources Services,Watershed Protection and Management - Reforestation and Urban Greening,Agricultural Supplies Expenses,762,72500,18125,9960,9960,54375,8165
Natural Resources Services,Watershed Protection and Management - Reforestation and Urban Greening,Rent Expenses,782,10000,5000,-,-,5000,5000
Natural Resources Services,Watershed Protection and Management - Reforestation and Urban Greening,General Services,755,15000,3750,-,-,11250,3750
Natural Resources Services,Watershed Protection and Management - Reforestation and Urban Greening,Other Professsional Services,799,15000,3750,-,-,11250,3750
Natural Resources Services,Watershed Protection and Management - Reforestation and Urban Greening,Donations,878,20000,5000,-,-,15000,5000
Natural Resources Services,Watershed Protection and Management - Coconut Distribution and Rehabilitation,Watershed Protection and Management - Coconut Distribution and Rehabilitation,762,1000000,-,-,-,1000000,-
Natural Resources Services,Watershed Protection and Management - Coastal Resource Management - Habitat Management,Agricultural Supplies Expenses,762,25000,6250,-,-,18750,6250
Natural Resources Services,Watershed Protection and Management - Coastal Resource Management - Habitat Management,Other Supplies Expenses,765,100000,25000,-,-,75000,25000
Natural Resources Services,Watershed Protection and Management - Coastal Resource Management - Habitat Management,General Services,795,40000,30000,2000,14000,10000,15600
Natural Resources Services,Watershed Protection and Management - Coastal Resource Management - Habitat Management,Other Professsional Services,799,25000,6250,-,-,18750,6250
Natural Resources Services,Watershed Protection and Management - Law Enforcement,Training Expense,753-2,50000,20000,10200,21500,30000,-1500
Natural Resources Services,Watershed Protection and Management - Law Enforcement,Rent Expenses,782,160000,40000,36600,36600,120000,3400
Natural Resources Services,Watershed Protection and Management - Law Enforcement,General Services,795,620000,200000,72586,166952,420000,33048
Natural Resources Services,Watershed Protection and Management - Law Enforcement,R and M - Other Structures,815,60000,15000,-,-,45000,15000
Natural Resources Services,Watershed Protection and Management - Law Enforcement,R amd M - Watercrafts,844,40000,10000,-,-,30000,10000
Natural Resources Services,Watershed Protection and Management - Law Enforcement,Donations,878,20000,5000,-,-,15000,5000
Natural Resources Services,Pollution Control Management - Solid Waste Management,Training Expense,753-2,470000,117500,-,-,352500,117500
Natural Resources Services,Pollution Control Management - Solid Waste Management,Other Supplies Expenses,762,320000,80000,57490,57490,240000,22510
Natural Resources Services,Pollution Control Management - Solid Waste Management,General Services,795,200000,50000,14543,37128,150000,12872
Natural Resources Services,Pollution Control Management - Solid Waste Management,Other Professsional Services,799,540000,135000,-,-,405000,135000
Natural Resources Services,Pollution Control Management - Solid Waste Management,Donations,878,5000,-,-,-,5000,-
Upscaling of LPG - Seed Microfinance Prog to Other Sectors,Upscaling of LPG - Seed Microfinance Prog to Other Sectors,Sustainable Livelihood and Micro Enterprise Development,8916,2410000,-,-,-,2410000,-
