program_project_1,program_project_2,program_project_3,location,total_cost,date_started,target_completion_date,project_status_percent_of_completion,projet_status_total_cost_icurred,number_of_extensions_if_any,remarks
Social Development,Climate Resilient Infra Support Projects,Climate Resilient Infra Support Projects,-, - ,-,-,-, - ,-,-
Social Development,Construction of National Child Dev't. Center at LWCES (P),Construction of National Child Dev't. Center at LWCES (P),Dunao,2287569.67,2/22/2014,4/23/2014,100%,2287569.67,-,complete
Social Development,Construction of School Bldgs. and Facilities,construction of 10 CL 1 storey building,Baligang ES,6187126.33,6/27/2014,4/3/2015,51%,3715324.31,-,on-going
Social Development,Construction of School Bldgs. and Facilities,Construction of multipurpose hall (dome type),Catburawan ES,823471.77,4/30/2014,7/29/2014,100%,823471.77,-,completed
Social Development,Construction of School Bldgs. and Facilities,concreting of pathway,Sta. Cruz ES,108891.02,12/26/2013,1/9/2014,100%,108891.02,-,completed
Social Development,Construction of School Bldgs. and Facilities,concreting of pathway,Tambo ES,88616.95,11/10/2013,11/24/2013,100%,88616.95,-,completed
Social Development,Construction of School Bldgs. and Facilities,concreting of pathway,Tinampo ES,31674.04,4/10/2014,4/20/2014,100%,31674.04,-,completed
Social Development,Construction or Improvement of Water System,imprv't or rehab of w.  System at sitio Francia,Paulba ,581010,Bid-out last 7/15/14 (no notice of award yet),Bid-out last 7/15/14 (no notice of award yet),100%,581010,-,completed
Social Development,Construction or Improvement of Water System,repair of water system,Paulog,105500,No Notice of award/proceed,No Notice of award/proceed,100%,105500,-,completed
Social Development,Electrification and Streetlighting Services,Installation of power supply at LWCES (B),Binatagan,175663,No data (materials),No data (materials),100%,175663,-,completed
Social Development,Electrification and Streetlighting Services,"electrification of brgy. Balanac, Tandarura",Nabonton,128800,No data (materials),No data (materials),100%,128800,-,completed
Social Development,Electrification and Streetlighting Services,Hydro power feeder lines,Pinit-Bagumbayan,613219,No data (materials),No data (materials),100%,613219,-,completed
Economic Development,Economic Development,Economic Development,-,-,-,-,-,-,-,-
Agricultural Development Project,Concreting of Roads or Bridges or Irrig. Riceland Service Roads,Concreting of Roads or Bridges or Irrig. Riceland Service Roads,-,-,-,-,-,-,-,-
