account_code,functions_or_programs_or_project_or_activities_1,functions_or_programs_or_project_or_activities_2,appropriation,allotments,appropriation,obligation,balance_per_allotment
-,Various Infrastucture Projects,Various Infrastucture Projects,64339210,50044210,14295000,0,50044210
213,Various Infrastucture Projects,Hospitals and Health Centers,18000000,18000000,-,0,18000000
215,Various Infrastucture Projects,Other Structures,27000000,17660000,9340000,0,17660000
251,Various Infrastucture Projects,"Roads, Highways and Bridges",16000000,11045000,4955000,0,11045000
255,Various Infrastucture Projects,"Irrigation, Canals and Laterals",3339210,3339210,-,0,3339210
-,Ecological Solid Waste Management Program,Ecological Solid Waste Management Program,20700000,9725000,10975000,9600000,125000
794,Ecological Solid Waste Management Program,Environment/Sanitary Services,19200000,9600000,9600000,9600000,0
969,Ecological Solid Waste Management Program,Other Maintenance and Other Operating Expenses,1500000,125000,1375000,0,125000
-,"Parks, Protected Area and Wildlife Management","Parks, Protected Area and Wildlife Management",200000,50000,150000,0,50000
969,"Parks, Protected Area and Wildlife Management",Other Maintenance and Other Operating Expenses,200000,50000,150000,0,50000
-,Water Resource Management,Water Resource Management,600000,150000,450000,36400,113600
969,Water Resource Management,Other Maintenance and Other Operating Expenses,600000,150000,450000,36400,113600
-,Forest Resource Management,Forest Resource Management,500000,125000,375000,113400,11600
969,Forest Resource Management,Other Maintenance and Other Operating Expenses,500000,125000,375000,113400,11600
-,Environmental Education and Advocacy Project,Environmental Education and Advocacy Project,500000,375000,125000,254815,120185
969,Environmental Education and Advocacy Project,Other Maintenance and Other Operating Expenses,500000,375000,125000,254815,120185
-,Air Quality Management Project,Air Quality Management Project,300000,75000,225000,0,75000
969,Air Quality Management Project,Other Maintenance and Other Operating Expenses,300000,75000,225000,0,75000
