development_projects_1,development_projects_2,development_projects_3,status,continuing_appropriations_and_previous_years_balances,current_appropriation,total,expenditures_previous_years_appropriations,expenditures_current,total,balance
Social Development Program,"Electrification, Power and Energy Structures",Construction of Street Lights (Brgy. Asid),-,-,150000,150000,-,146160.07,146160.07,3839.93
Social Development Program,"Electrification, Power and Energy Structures",Construction/Rehabilitation of St. Lights (Brgy. Bagumbayan),-,-,280000,280000,-,266627.04,266627.04,13372.96
Social Development Program,"Electrification, Power and Energy Structures",Construction of Street Lights,-,-,250000,250000,-,239048.97,239048.97,10951.03
Social Development Program,"Electrification, Power and Energy Structures",Construction of Street Lights,-,-,120000,120000,-,115074.93,115074.93,4925.07
Social Development Program,"Electrification, Power and Energy Structures",Construction of Street Lights,-,-,240000,240000,-,232212.02,232212.02,7787.98
Social Development Program,"Electrification, Power and Energy Structures",Construction of Street Lights,-,-,300000,300000,-,290246.47,290246.47,9753.53
Social Development Program,"Electrification, Power and Energy Structures",Construction of Street Lights,-,-,150000,150000,-,146160.06,146160.06,3839.94
Social Development Program,"Electrification, Power and Energy Structures",Construction of Street Lights,-,-,150000,150000,-,146160.01,146160.01,3839.99
Social Development Program,"Electrification, Power and Energy Structures",Construction of Street Lights,-,-,150000,150000,-,146160.01,146160.01,3839.99
Social Development Program,"Electrification, Power and Energy Structures",Rehabilitation of Street Lights,-,-,60000,60000,-,56409.17,56409.17,3590.83
Social Development Program,"Electrification, Power and Energy Structures",Construction of Street Lights,-,-,250000,250000,-,239048.97,239048.97,10951.03
Social Development Program,"Electrification, Power and Energy Structures",Construction of Street Lights,-,-,150000,150000,-,146160.07,146160.07,3839.93
Social Development Program,"Electrification, Power and Energy Structures",Construction of Street Lights,-,-,240000,240000,-,232212.02,232212.02,7787.98
Social Development Program,"Electrification, Power and Energy Structures",Construction of Street Lights,-,-,210000,210000,-,203022.09,203022.09,6977.91
Social Development Program,"Electrification, Power and Energy Structures",Construction of Street Lights,-,-,300000,300000,-,290246.47,290246.47,9753.53
Social Development Program,"Electrification, Power and Energy Structures",Construction of Street Lights,-,-,70000,70000,-,66723.12,66723.12,3276.88
Social Development Program,"Electrification, Power and Energy Structures",Construction of Street Lights,-,-,300000,300000,-,290246.47,290246.47,9753.53
Social Development Program,"Electrification, Power and Energy Structures",Construction of Street Lights,-,-,420000,420000,-,397684.29,397684.29,22315.71
Social Development Program,"Electrification, Power and Energy Structures",Construction of Street Lights,-,-,420000,420000,-,397684.29,397684.29,22315.71
Social Development Program,"Electrification, Power and Energy Structures",Construction of Street Lights,-,-,200000,200000,-,194367.97,194367.97,5632.03
Social Development Program,"Electrification, Power and Energy Structures",Construction of Street Lights,-,-,150000,150000,-,146160.07,146160.07,3839.93
Social Development Program,"Electrification, Power and Energy Structures",Construction of Street Lights,-,-,490000,490000,-,470460.19,470460.19,19539.81
Social Development Program,"Electrification, Power and Energy Structures",Construction of Street Lights,-,-,140000,140000,-,135617.76,135617.76,4382.24
Social Development Program,School Buildings,Improvement of Anas Elementary School (Brgy. Anas),-,-,100000,100000,-,86368.95,86368.95,13631.05
Social Development Program,School Buildings,Repair/Rehabilitation of School Building (Brgy. Maingaran),-,-,500000,500000,-,433090.47,433090.47,66909.53
Social Development Program,School Buildings,Repair/Rehabilitation of School Building (Brgy. Mapina),-,-,80000,80000,-,-,-,80000
