development_projects_1,development_projects_2,location,total_cost,date_started,target_completion,project_status_percent_of_completion,project_status_total_cost_or_obligation_incurred_to_date,number_of_extensions_if_any,remarks
Social Development Program ,Constitution of Multi-purpose Centers,Various Barangays,6720000,-,-,-,-,-,-
Social Development Program ,Repair or Rehabilitation of Day Care Centers,Various Barangays,2000000,-,-,-,-,-,-
Social Development Program ,Construction or Repair of Sanitary Toilets,Various Barangays,2000000,-,-,-,-,-,-
Social Development Program ,Additional works of Science Bldg at MNCHS,MNCHS Barangay Center,2000000,-,-,-,-,-,-
Social Development Program ,Construction of Multi-purpose building at Sirak Pangabuhayan,Brgy. Kinamaligan,2000000,-,-,-,-,-,-
Social Development Program ,Repair or Rehabilitation of Street Lights,Various Barangays,1500000,-,-,-,-,-,-
Social Development Program ,Repair or Rehabilitation of Water Systems,Various Barangays,1500000,-,-,-,-,-,-
Social Development Program ,Construction of School Stages,Brgy. Bartigue Bayombon Usab,1050000,3/31/2014,6/28/2014,0.9,896940.87,-,-
Social Development Program ,Repair or Rehabilitation of Health Centers,Various Barangays,1000000,-,-,-,-,-,-
Social Development Program ,Local Counterpart(BUB Projet)-Establishment of CICL Center and Communnity-Based Services,Phase-1 Resettlement Area Brgy. Kinamaligan,700000,-,-,-,-,-,-
Social Development Program ,Purchase or Acquisition of Land,-,600000,-,-,-,-,-,-
Social Development Program ,Installation of Security Lights at Public Cemetery,Brgy. Nursery,500000,-,-,-,-,-,-
Social Development Program ,Local Counterpart (ECCD-Day Carre Center),-,500000,-,-,-,-,-,-
Social Development Program ,Additional Embankmet at Usab High School,Brgy. Usab,500000,3/31/2014,4/19/2014,0.95,477115.14,-,-
Social Development Program ,Construction of Perimeter Fence at Anas Elementary School,Brgy. Anas,350000,-,-,-,-,-,-
Social Development Program ,Additional Embankment at Nursery High School,Brgy. Nursery,300000,3/31/2014,4/19/2014,0.92,278506.12,-,-
Social Development Program ,Additional Construction of Perimeter Fence Nursery High School,Brgy. Nursery,200000,-,-,-,-,-,-
Economic Development,"Concreting of Barangay Roads, Pathways and Alleys",Various Barangays,12365000,-,-,-,-,-,-
Economic Development,"Repair or Rehabilitation of Barangay Roads, Pathways and Alleys","Brgy. Asid, Cagay, Bantigue, Batuhan,Biyong, Cawayan Ext., Cawayan Int., Espinosa, Igang and coastal roads",5000000,3/31/2014,6/28/2014,0.77,3754815.83,-,-
Economic Development,Poad Opening from Bayombom to Ubo Falls-Mapina,Brgy. Mapina,2000000,3/31/2014,5/9/2014,0.7,1360216.96,-,-
Economic Development,Local Couterpart (BUB Projects) - Concreting of Farm to Market Road (Igang Road),Brgy. Mapina,500000,-,-,-,-,-,-
Economic Development,Local Couterpart (BUB Projects) - Provision of Post Havest Facility,Brgy. Mapina,300000,-,-,-,-,-,-
Economic Development,"Local Couterpart (BUB Projects) - Construction of SWIP, STWs,and SFRs, Selected Rice Areas",Brgy. Mapina,800000,-,-,-,-,-,-
Economic Development,Purchase of Engineering or Const. Equipment,Masbate City,650000,-,-,1,650000,-,-
Economic Development,Construction of Liquid Nitrogen Plant at City Fish Complex,Brgy. Pating,400000,3/31/2014,5/8/2014,1,369010.69,-,-
Economic Development,Road Openig at Brgy. Asid,Brgy. Asid,300000,-,-,-,-,-,-
Environmental Management Protection,Solid Waste Management Programs,Masbate City,12000000,-,-,-,113400,-,-
Environmental Management Protection,Construction of Masbate City Baywalk,Brgy. Ibingay,3000000,3/31/2014,7/8/2014,0.6,1752188.07,-,-
Environmental Management Protection,Construction of Cottages with Flatform at Buntod Marine Sanctuary,"Buntod, Brgy.Tugbo",1100000,-,-,-,-,-,-
Environmental Management Protection,Repair or Rehabilitation of Pawa Mangrove Park,Brgy. Pawa,1000000,3/31/2014,6/3/2015,0.6,575997.71,-,-
Environmental Management Protection,Construction of Guard House at Buntod Marine Sanctuary,"Buntod, Brgy.Tugbo",550000,-,-,-,-,-,-
Environmental Management Protection,Construction of Line Canal at F. Magallanes,Brgy. F. Magallanes,230000,-,-,-,-,-,-
Environmental Management Protection,Waste-Water Processing Facility,Brgy. Kinamaligan,460000,3/31/2014,5/1/2014,0.4,173552.45,-,-
Environmental Management Protection,Others,-,7536,-,-,-,-,-,-
Total Appropriations,Total Appropriations,Total Appropriations,64082536,-,-,-,10390243.84,-,-
