programs,projects,activities,account_code,"budget_year_2012_appropriation
",1st_quarter_utilization,2nd_quarter_utilization,balance
Economic Services,Urban Road Network Improvement Program,-,-,10000000,2658088.98,1818485.76,5523425.26
Economic Services,Barangay Rural ACcessability Enhancement Program (BRACE),-,-,10000000,1174800,5915812.75,2909387.25
Economic Services,Road Improvement Development Programs,-,-,3000000,-,919052.5,2080947.5
Economic Services,Mati Park and Baywalk Development Projects,-,-,25000000,3800810.86,9875371.75,11323817.39
Economic Services,Construction of Slaughterhouse,-,-,10000000,-,-,10000000
Economic Services,Acquisition of Cemetery Site or Cemetery Development Plan,-,-,2000000,-,-,2000000
Economic Services,Tourism Industry Development Programme,-,-,1000000,-,-,1000000
Economic Services,Loan Amortization,-,-,25000000,2144918.49,2154254.95,20700826.56
Economic Services,Funds for Implementation of Counterparting PPA's,-,-,5000000,1605264.35,395434.42,2999301.23
Economic Services,Support for Barangay Development,-,-,13000000,441107.32,2252671.03,10306221.65
Social Services,"Cabuaya, Luban, Lanca Corridor Development Project",-,-,1500000,-,1142175.98,357824.02
Social Services,Construction of Government Multi Purpose Building,Construction of Barangay Libudon Multi-Purpose Hall,-,2000000,-,-,2000000
Social Services,Construction of Government Multi Purpose Building,Construction of Barangay Dahican Multi-Purpose Hall,-,2000000,-,1412140.86,587859.14
Social Services,Establishment of Public City Library,-,-,2000000,-,-,2000000
Social Services,Establishment of Juvenile Center,-,-,3000000,-,-,3000000
Social Services,"Construction, Improvement, Rehabilitation or Repair and Maintenance of School Buildings and Other Structures",Counterparting Program for Classroom Construction,-,2000000,-,143758,1856242
Social Services,"Construction, Improvement, Rehabilitation or Repair and Maintenance of School Buildings and Other Structures",Support Fund for Brigada Eskwela Program,-,1000000,-,872345,127655
Social Services,Health Infrastructure Development Program,-,-,3000000,-,-,3000000
Social Services,Funds for Housing and Resettlement,Land Acquisition Program,-,2750000,1275000,-,1475000
Social Services,Funds for Housing and Resettlement,Site Development and Titling Activities,-,2000000,381360,504421,1114219
Social Services,Infrastructure Support for Social Welfare Services,-,-,1500000,-,-,1500000
Social Services,Construction or Rehabilitation Of Potable Water Supply System,-,-,3000000,945380,725712.75,1328907.25
Environmental Management,Marine Protected Infrastructure Support Fund,-,-,200000,-,130000,70000
Environmental Management,Mariculture Park Development Project,-,-,250000,-,-,250000
Environmental Management,Environmental Programs,-,-,2500000,499800,695860,1304340
Total Appropriations,-,-,-,132700000,14926530,28957496.75,88815973.25
