development_projects_1,development_projects_2,development_projects_3,status,current_appropriation,total_appropriation ,expenditures_continuing_2011,expenditures_current_2012,total,total_balance,remarks
Social Development,Urban Settlement Dev't Program,Urban Settlement Dev't Program,6918,3000000,3000000,-,-,-,3000000,-
Social Development,Area Upgrading Project,Area Upgrading Project,6918-1,3000000,3000000,-,2335195,2335195,664805,-
Economic Development,Naga River Rehabilitation Project,-,8919,3000000,3000000,-,138374,138374,2861626,-
Economic Development,Agricultural and Livestock Development Fund,-,-,-,-,-,-,-,-,-
Economic Development,Agricultural and Livestock Development Fund,Provision of Post Harvest Facilities,8911,300000,300000,-,-,-,-,-
Economic Development,Agricultural and Livestock Development Fund,Marketing Support Transport Vehicle,8911-1,300000,300000,-,-,-,-,-
Economic Development,Agricultural and Livestock Development Fund,Improvement of Naga City Nursery,8911-22,200000,200000,-,-,-,-,-
Economic Development,Agricultural and Livestock Development Fund,Dairy Production Program,8911-3,100000,100000,-,-,-,-,-
Urban Development and Greening Fund,Urban Development and Greening Fund,Urban Development and Greening Fund,8918,25757000.82,25757000.82,-,15935703.75,15935703.75,9821297.07,-
Maintenance of Streetlights,Maintenance of Streetlights,Maintenance of Streetlights,-,3100000,3100000,-,3080905.5,3080905.5,19094.5,-
Amoritization of Development Project Loans,Amoritization of Development Project Loans,"LBP (Naga City Coliseumm, Old -42819M)",9911,5934839.51,5934839.51,-,4458789.82,4458789.82,1476049.69,-
Amoritization of Development Project Loans,Amoritization of Development Project Loans,"LBP (Naga City Coliseumm, New 109,917 M)",9911-1,17305248.56,17305248.56,-,8694992.71,8694992.71,8610255.85,-
Amoritization of Development Project Loans,Amoritization of Development Project Loans,"DBP (Naga City Coliseumm, Additional 47,556 M)",9911-2,5083839.31,5083839.31,-,3859237.4,3859237.4,1224601.91,-
Amoritization of Development Project Loans,Amoritization of Development Project Loans,DBP (Repair of Public Market 40 M),9911-3,-,-,-,-,-,-,-
Amoritization of Development Project Loans,Amoritization of Development Project Loans,DBP Waste to Energy Facility (15.3M),-,813714.9,813714.9,-,-,-,813714.9,-
Enviromental Development,Solid Waste Management Fund,Solid Waste Management Fund,8919-1,4697527.2,4697527.2,-,-,-,4697527.2,-
Grand Total,Grand Total,Grand Total,-,72592170.3,72592170.3,-,38503198.18,38503198.18,34088972.12,-
