development_projects,particulars_1,particulars_2,status,current_appropriation,total_appropriation,expenditures_continuing_2011,expenditures_current_2012,total,total_balance
Social Development,Urban Settlement Development Program,Urban Settlement Development Program,6918,5000000,5000000,-,-,-,5000000
Social Development,Area Upgarding Project,Area Upgarding Project,6918-1,3000000,3000000,-,2296340,2296340,703660
Economic Development,Naga River Rehabilitation Project ,Naga River Rehabilitation Project ,8919,5000000,5000000,-,-,-,5000000
Economic Development,Urban Development and Greening Fund,Urban Development and Greening Fund,8918,27105013.29,27105013.29,-,12007722.65,12007722.65,15097290.64
Economic Development,Maintenance and Streetlights,Maintenance and Streetlights,8918,4000000,4000000,-,2941708,2941708,1058292
Economic Development,Agricultural and Livestock Development Fund,Agricultural and Livestock Development Fund,8918-1,5000000,5000000,-,-,-,-
Economic Development,Agricultural and Livestock Development Fund,Provision of Post Harvest Facilities ,-,1500000,1500000,-,2106200,2106200,606200
Economic Development,Agricultural and Livestock Development Fund,Marketing Support Transport Vehicle,-,1500000,1500000,-,-,-,150000
Economic Development,Agricultural and Livestock Development Fund,Improvement  of Naga City Nursery,-,1000000,1000000,-,-,-,1000000
Economic Development,Agricultural and Livestock Development Fund,Dairy Production Program,-,1000000,1000000,-,-,-,1000000
Economic Development,Amortization of Development Project Loans,Amortization of Development Project Loans,-,32123613.51,32123613.51,-,-,-,-
Economic Development,Amortization of Development Project Loans,"LBP (Naga City Coliseum, Old P42, 819M)",-,6179503.58,6179503.58,-,1566278.23,1566278.23,4613225.35
Economic Development,Amortization of Development Project Loans,"LBP (Naga City Coliseum, New 109.917 M)",-,16202783.12,16202783.12,--,9365279.91,9365279.91,6837503.24
Economic Development,Amortization of Development Project Loans,"DBP (Naga City Coliseum, Additional P47, 556 M)",-,5391339.31,5391339.31,-,1373095.24,1373095.24,4018244.07
Economic Development,Amortization of Development Project Loans,"DBP (Repair of Public Market -P40, 000 M)",-,4349987.5,4349987.5,-,1916183.16,1916183.16,2433506.34
Enviromental Development,Solid Management Fund,Solid Management Fund,8919-1,7000000,7000000,-,3600000,3600000,3400000
Grand Totals,Grand Totals,Grand Totals,-,88228626.8,88228625.8,-,37173105.19,37173105.19,51055521.61
