particulars_1,particulars_2,particulars_3,amount
Receipt from 20% Development Fund,Receipt from 20% Development Fund,Receipt from 20% Development Fund,160208244.7
Less-Disbursements,Maintenance and other Operating Expenses,Supplies and Material Expenses,3500
Less-Disbursements,Maintenance and other Operating Expenses,Professional Services,1023006.6
Less-Disbursements,Maintenance and other Operating Expenses,"Subsidies and Donation Construction materials for various Barangay Halls and Pathways, Purchase of Equipments, construction of other structures of various provincial hospitals and loan amortization",85186648.88
Less-Disbursements,Capital Outlay,Land,8000000
Less-Disbursements,Capital Outlay,Other Structures,1242489
Less-Disbursements,Capital Outlay,Furnitures and Fixtures,5467200
Less-Disbursements,Capital Outlay,IT Equipment and Software,10370400
Less-Disbursements,Capital Outlay,"Agricultural, Fishery and Forestry Equipment",4848540
Less-Disbursements,Capital Outlay,Communication Equipment,1039500
Less-Disbursements,Capital Outlay,"Medical, Dental and Laboratory Equipment",7297185
Less-Disbursements,Capital Outlay,Other Machineries and Equipment,339900
Less-Disbursements,Capital Outlay,"Other Property, Plant and Equipment",436160
Balance,Balance,Balance,34953716.23
