particulars_1,particulars_2,appropriation,expenditure ,balance
Loan Amortization,-,70000000,16316291.17,53683708.83
Various Priority Projects,New Market,1690000,141275,1548725
Various Priority Projects,Feedmill,-,-,-
Various Priority Projects,Northern Negros Agro-Industrial Economic Zone,380000,-,380000
Various Priority Projects,Warehouse and Offices,1500000,-,1500000
Various Priority Projects,Sagay Gymnasium and Taliambong Activity Center Improvement,1106250,-,1106250
Various Priority Projects,Sanitary Landfill Improvement,166340,-,166340
Various Priority Projects,Fortune Ville Development,283015,-,283015
Various Priority Projects,Coastal Sanitation,410000,-,410000
Various Priority Projects,Motor Pool Comfort Room,80000,-,80000
Various Priority Projects,Martinez - Hupac Road Section Rehabilitation,108000,-,108000
Various Priority Projects,Suyac Mangrove Park,500000,328051,171949
Total,-,76223605,16785617.17,59437987.83
