month,division,name of project,program (nature),program (length),program (amount appropriated),program (date started),program (date finished),funding (source),funding (released),funding (spent),accomplishment (balance),accomplishment (financial),accomplishment (physical)
August,Construction,Individual Tilling of Lot for Stage III and Stage IV of the Homelot Program Phase 4 and Fabrication of 1200 Pcs. Cylindrical Monument,Admin,-,380000,7/1/2007,-,Trust Fund Homelot,380000,356554,23446,93.83%,95%
August,Construction,Subdivision Survey of Homelot Program at Villarante Village,Admin,-,170000,9/1/2009,-,20% Dev't. Fund,170000,92814.61,77185.39,54.60%,56%
August,Construction,Land Forming of New City Hospital Project,Admin,-,700000,4/1/2012,-,-,700000,219150.15,480849.85,31.31%,40%
August,Construction,Concreting of Road at So. Iliranan Phase 3,Concreting of Road at So. Iliranan Phase 4,-,4750000,10/10/2011,-,-,4750000,4275000,475000,90%,90%
August,Construction,Consrtuction of Bagonbon Health Center,Construction of Bagonbon Health Center,-,1300000,7/1/2012,-,-,1300000,520000,780000,40%,40%
August,Construction,Dev't. of Homelot Program at Purok Dos Brgy. Guadalupe,Dev't.,-,3660000,-,-,-,3660000,3514651.27,145348.73,96.00%,100%
August,Construction,Installation of Curb and Gutler and Sidewalk and Inst. Of RCP along Locsin Parola Boulevard Road,Inst.,-,2600000,6/1/2012,-,-,2600000,1895362.44,704637.56,73.00%,55%
August,Construction,"Consrtuction of Bulkhead Marine Site Dev't. Phase 1, People's Park Brgy. 3",Construction,-,3434205,7/2/2012,-,-,3434205,2463228.79,970976.21,72.00%,20%
August,Construction,Consrtuction of Drainage System at Brgy. III Relocation Site (Phase 1),Construction,-,3200000,7/16/2012,-,-,3200000,1083041.3,2116958.7,34.00%,10%
August,Construction,"Concreting of Access Roads and Drainage Installation at Remedios Relocation Center, Brgy. III, San Carlos City",Admin,-,2478900,5/4/2011,-,Gen. Fund CY 2010 and 2012,2578900,2546752.2,32147.8,98.75%,99%
August,Construction,"Concreting of Access Roads and Drainage Installation at Remedios Relocation Center, Brgy. III, San Carlos City","Concreting of Access Roads and Drainage Installation at Remedios Relocation Center, Brgy. III, San Carlos City",Augment.,100000,-,-,-,-,-,-,-,-
August,Construction,"Consrtuction of Brgy. 3 Outpost and Information Center, Reclamation Area, Brgy. III, SCC",Admin,-,360000,3/20/2012,8/15/12,SP Alloc'n '11 LS Appr'n. '11,360000,359956.5,43.5,99.99%,100%
August,Construction,"Concreting of Road Lot #9 with Curb and Gutler, Sidewalk and Completion of Front Road of Brgy. Rizal Center, Phase 4, Fatima Village, Brgy. Rizal, SCC",Admin,-,2350000,7/29/2012,-,Lump Sum App. CY 2012,2350000,1332755.41,1017244.59,56.71%,15%
August,Construction,"Convertion of Old Public Cemetery into a Brgy. Site Phase 3(Consrtuction of Brgy. 4 Hall, Brgy. 4, SCC",Admin,-,3395000,8/18/2012,-,"Brgy. Fund '11 2011, 20%, 20% Dev't. Fund '11 and '12, Gen. Fund '12",3395000,1970912.68,1424087.32,58.05%,5%
August,Construction,New City Health Office Finishing Works,Admin,-,6445000,12/16/2010,-,Lump Sum,6919000,6794580.92,124419.08,99.20%,99%
August,Construction,New City Health Office Finishing Works,New City Health Office Finishing Works,-,474000,Augmenl'n,-,-,-,-,-,-,-
August,Construction,Constructio of City Hall Canteen,Admin,-,2779000,-,-,Lump Sum,2779000,2092960.69,686039.31,75.31%,10%
August,Construction,Additional Office Signages for Public Buildings #2,Admin,-,109000,-,-,Lump Sum,109000,95450.8,13549.2,87.57%,85%
August,Construction,Rehabilitation and Agmaula Overflow,Admin,11 M,790000,8/15/2012,-,"Contingency Program CY 2012, 20%, Dev't. Fund",790000,247000,543000,31.27%,10%
August,Construction,"Road Concreting along So. Maligid, Brgy. Nataban to So. Agbulod, Brgy. Prosperidad",Contract,1 Km.,9000000,8/6/2012,-,Trust Fund,9000000,1320370,7679630,14.67%,2%
August,Construction,"Road Concreting along So. Lupao to Balisong Box Culvert, Brgy. Quezon",Contract,1 Km.,9000000,8/6/2012,-,Trust Fund,9000000,1310085,7689915,14.56%,2%
August,Construction,"Road Concreting along So. Aravilla,to Balisong Box Culvert, Brgy. Codcod",Contract,1 Km.,9000000,8/6/2012,-,Trust Fund,9000000,1311050,7688950,14.57%,2%
August,Construction,Consrtuction and Development of San Carlos Community Airport Project POW (=P= 11.500M),Admin,Stage 1,11590000,4/5/2015,-,20% Dev. Fund CY '01 and 20% Dev. Fund CY '02,11590000,5234746.5,6355253.5,45.17%,42%
August,Construction,Consrtuction and Development of San Carlos Community Airport Project POW (=P= 5M),Admin,100 Ln. M.,5000000,2/7/2015,-,"20% Dev. Fund CY '06, Fund CY '08",7410000,7105178.07,304821.93,95.89%,80%
August,Construction,Consrtuction and Development of San Carlos Community Airport Project POW (=P= 5M),Consrtuction and Development of San Carlos Community Airport Project POW (=P= 5M),(Augment),2095000,-,-,-,-,-,-,-,-
August,Construction,Consrtuction and Development of San Carlos Community Airport Project POW (=P= 5M),Consrtuction and Development of San Carlos Community Airport Project POW (=P= 5M),(Augment),315000,-,-,-,-,-,-,-,-
