function_or_program_or_project,appropriation,allotment,disbursement_obligations,unobligated_balance
Construction of 200 units Core Shelter - Prov'l. Counterpart,"4,000,000.00",-,-,-
"Construction of Multi - Purpose Center ( Senior Citizens, Out of School Youth,etc.)",500000,-,-,-
"Improvement or Development of Barangey Site ( For Relocation of Informal Settlers and Victims of Calamaties of Pantalan, Magallanes)",400000,-,-,-
"Improvement or Development of Barangey Site ( For Relocation of Informal Settlers and Victims of Calamaties of Mabanate, Pilar)",400000,400000,"-400,000.00",400000
"Purchase of Land ( For Relocation of Informal Settlers and Victims of Calamities of Barangay Jamorawon, Bulan)",300000,-,-,-
"Construction of Multi-Purpose Hall, Phase II of Macabari, Barcelona",1500000,-,-,-
"Rehabilitation or Improvement of Multi-Purpose Pavement in Zone 8, Bulan",300000,-,-,-
"Rehabilitation or Improvement of Multi-Purpose Hall in Zone 7, Bulan",300000,-,-,-
"Rehabilitaion of Multi-Purpose Hall,Madlawon, Bulusan",300000,-,-,-
"Rehabilitation or Improvement of Multi-Purpose Hall in Rizal , Casiguran",300000,-,-,-
"Construction of Multi-Purpose Hall in San Isidro, Casiguran",300000,-,-,-
"Construction of Multi-Purpose Hall in Macalaya, Castilla",500000,-,-,-
"Rehabilitation or Improvement of Multi-Purpose Hall in Bagong Sirang, Castilla",500000,-,-,-
"Construction of Multi-Purpose Hall in Cumadcad, Castilla","1,500,000.00",-,-,-
"Construction of Multi-Purpose Hall in Pinamanaan, Donsol",400000,-,-,-
"Construction of Multi-Purpose Hall in Tuba, Donsol",400000,-,-,-
"Rehabilitation or Improvement of Multi-Purpose Hall in Tupas, Donsol",300000,-,-,-
"Rehabilitation or Improvement of Multi-Purpose Hall in Buroran, Donsol",300000,-,-,-
"Rehabilitation or Improvement of Multi-Purpose Pavement in San Antonio, Donsol",300000,-,-,-
"Rehabilitation or Improvement of Multi-Purpose Hall in Mapaso, Irosin",300000,-,-,-
"Rehabilitation or Improvement of Multi-Purpose Hall in San Pedro, Irosin",300000,-,-,-
"Rehabilitation or Improvement of Multi-Purpose Hall in San Julian, Irosin",300000,-,-,-
Rehabilitation or Improvement of Rangas Multi -Purpose Hall In Juban,300000,-,-,-
"Construction of Multi-Purpose Hall in Burabudan, Juban",400000,-,-,-
"Rehabilitation or Improvement of Multi-Purpose Hall in Bacolod, Magallanes",300000,-,-,-
"Construction of Evacuation Center in Incarizan, Magallanes",500000,-,-,-
"Construction of Multi-Purpose Hall or Evacuation Center in Tula-Tula Norte, Magallanes",500000,-,-,-
"Rehabilitation or Improvement of Multi-Purpose Hall in Caditaan , Magallanes",150000,-,-,-
"Completion of Multi-Purpose Pavement in Gadgaron, Matnog",700000,-,-,-
"Construction of Multi-Purpose Hall in Poropandan, Matnog",400000,-,-,-
"Completion of Multi-Purpose Hall in Banuyo, Pilar",500000,500000,-,500000
"Construction of Multi-Purpose Hall in Pangpang, Pilar",400000,400000,-,400000
"Construction of Multi-Purpose Pavement in Sugod Elementary School Bacon Dist., Sor.",300000,300000,299866,134
"Construction of Multi-Purpose Hall in Talisay , West Dist. Sor. City",500000,500000,498347,1653
"Construction of Evacuation Center in Bitan-O, West Dist. Sor. City",750000,750000,747784,2216
"Rehabilitation of Multi - Purpose Hall or Evacuation Center in Gimaloto, West Dist. Sor. City",500000,500000,498700,1300
"Construction of Evacuation center in Buenavista , West Dist., Sor. City",750000,750000,748300,1700
"Construction of Multi -Purpose Center in Rawis , Bacon Dist., Sor. City",500000,500000,499753,247
"Construction of Multi -Purpose Center in Osiao, Bacon  Dist. Sor. City",500000,500000,499352,648
"Installation of Solar Panel Street Lights in Bibincahan , East Dist., Sor. City","1,000,000.00","1,000,000.00",998718,1282
"Construction of Street Lights of Barangay Escuala, Casiguran",200000,-,-,-
Construction of Multi -Purpose Pavement at Buhatan National High School Buhatan East,300000,300000,298573,1427
"Rehabilitation or Improvement of Water System in Sapngan, Bulusan",300000,-,-,-
"Rehabilitation of Water System in Porog, Bulusan",300000,-,-,-
"Construction of Water System in Sigad, Bulan",800000,-,-,-
"Improvement of Water System in San Juan Daan, Bulan",300000,-,-,-
"Rehabilitation or Improvement of Water System in Sta. Cruz, Casiguran",300000,-,-,-
"Rehabilitation or Improvement of Water System in Maypangi, Castilla",300000,-,-,-
"Rehabilitation of Water System in Banogao, Matnog",300000,-,-,-
"Improvement of Bulabog Water System, West Dist., Sor. City",500000,500000,499383,617
"Rehabilitation of Water System in Ticol, West, Dist., Sor. City",700000,700000,699024,976
"Rehabilitation or Improvement of Water Impounding Facilities at Sto. Domingo, Bacon Dist.",200000,200000,199124,876
"Completion of Buenavista Water System, Bacon District. Sor. City",500000,500000,496885,844
"Rehabilitation of Irrigation Canal at Capuy, West Dist. Sor. City",750000,750000,748500,1500
"Rehabilitation of Irrigation Canal at Basud and Gimaloto, West Dist. Sor. City",300000,300000,299350,650
Mangrove Reforestation Projects,400000,-,-,-
Agro Forestry Projects,400000,-,-,-
Construction of Composting Facilities and Green House,500000,-,-,-
"Construction of Health Care Waste Treatment Facility, Phase II","1,000,000.00",-,-,-
Clean and Green Project (Purchase of Equipment),"1,000,000.00",-,-,-
"Concreting of Cagang- San Antonio Road, Barcelona","2,000,000.00",-,-,-
"Concreting of Barangay Road in A. Bonifacio, Bulan",850000,-,-,-
"Concreting of Bulabog Pathway, West Dist., Sor. City",200000,200000,198711,1289
"Construction of Brgy. Road of G.K. Village , Guinlajon,West District., Sor. City",250,250000,249050,950
Concreting of Sta. Remedios Road,850,-,-,-
Rehabilitation or Improvement of Spillway of Monte Calvario,500,-,-,-
"Concreting of Access Road from Executive Village to Purok 4, West District. Sor. City","1,000,000.00","1,000,000.00",997765,2235
"Construction of Pathway at Basud , West Dist. Sor. City",200,200000,198711,1289
"Concreting of Pathway of Brgy. Gimaloto, West Dist., Sor. City",200,200000,198711,1289
"Concreting of Pathway at Cawit, Casiguran",200,-,-,-
"Concreting of Pathway at Boton, Casiguran",200,-,-,-
"Concreting of Burabod-Miluya, Farm to Market Road , Castilla","1,000,000.00",-,-,-
"Road Opening of Amomunting - Cogon Farm to Market Road, Castilla","1,000,000.00",-,-,-
"Concreting of San Isidro- Nalup-an Road , Castilla","1,000,000.00",-,-,-
"Concreting of Salvacion - Canjela Road , Castilla","1,000,000.00",-,-,-
"Construction of R.C. Footbridge in Sitio Guinsorongan, Quirapi, Castilla",400000,-,-,-
"Construction of Spillway along Pandan-Saclayan Road, Castilla",500000,-,-,-
"Construction of Pathway in Suguian, Donsol",300000,-,-,-
"Concreting of Pathway in Malapac, Donsol",300000,-,-,-
"Concreting of Brgy. Road in Sitio Layuan, Ogod , Donsol",300000,-,-,-
Concreting of Pathway in Sevilla Donsol,200000,-,-,-
"Concreting of Pathway in Tongdol, Donsol",200000,-,-,-
"Construction of Pathway in Tublijon, West Dist., Sor. City",300000,300000,299050,950
"Ripraping of Brgy. Road Lourdes, Donsol",300000,-,-,-
"Construction of R.C. Footbridge in Pawala, Donsol",400000,-,-,-
"Construction of Footbridge in San Ramon, Donsol",400000,-,-,-
"Concreting of Macawayan Brgy. Road, Irosin",400000,-,-,-
Concreting of Pathway at Sitio Tigib or Hangaan at Abuyog East Dist. Sor. City,500000,500000,498360,1640
"Concreting of Brgy. Streets in Bucalbucalan, West Dist. Sor. City",400000,400000,398979,1021
"Concreting of Pathway at Salvacion, West Dist. Sor. City",300000,300000,299887,113
"Concreting of Pathway at Sugod , Bacon Dist., Sor. City",200000,200000,199450,550
"Concreting of Pathway at Buenavista , Bacon Dist. Sor. City",200000,200000,199512,488
"Concreting of Pathway at Osiao, Bacon Dist. Sor. City",200000,200000,199512,488
"Concreting of Pathway at Salvacion, Bacon Dist., Sor. City",200000,200000,199512,488
"Concreting of Pathway at Carcaran, Bacon Dist. Sor. City",200000,200000,199512,488
"Concreting of Brgy. Road in Caruhayon, Juban",400000,-,-,-
"Concreting of Brgy. Road in Maalo, Juban",400000,-,-,-
"Concreting of Pathway at Sta. Lucia , Bacon, Dist., Sor. City",200000,200000,199512,488
"Concreting of Pathway at Maricrum (San Jose) Bacon, Dist., Sor. City",200000,200000,199512,488
"Concreting of Pathway at San Ramon , Bacon, Dist. Sor., City",200000,200000,199512,488
"Concreting of Brgy. Road in Embarcadero, Juban",400000,-,-,-
"Concreting of Pathway at Cabarbuhan, Bacon Dist., Sor. City",200000,200000,199512,488
"Concreting of Barangay Road in Tula-tula Sur, Magallanes",400000,-,-,-
"Concreting of Pathway in Sta. Elena, Magallanes",300000,-,-,-
"Concreting of Pathway at Peñafrancia, West District, Sor., City",200000,200000,199946,54
"Concreting of Pathway at Piot , West Dist. Sor. City",400000,400000,398288,1712
"Concreting of Pathway at Gatbo, Bacon Dist. Sor. City",750000,750000,749400,600
"Rehabilitation or Improvement of Mabanate - Lipason Road , Pilar",750000,750000,-,750000
"Construction of R. C. Footbridge in Mercedes, Pilar",500000,500000,-,500000
"Concreting of Pathway at Sitio Gayuma, Sto. Niño, Bacon Dist. Sor., City",200000,200000,199512,488
"Concreting of Farm to Market Road in San Antonio, Pto. Diaz",850000,-,-,-
"Concreting of Pathway at San Fernando, Pto. Diaz",200000,-,-,-
"Concreting of Pathway at Bon-ot , Bacon Dist. Sor.,City",200000,200000,199512,488
"Concreting of Pathway at Balogo, Bacon, Dist.Sor. City",200000,200000,199512,488
"Concreting of Barangay Road in Sampaloc, East Dist. Sor. City",500000,500000,498199,1801
"Rehabilitation of Various Streets at OLV Bibincahan , East Dist. Sor.City","2,000,000.00","2,000,000.00","1,996,642.00",3358
Concreting of Road at San Juan (Roro) infront of Basketball Court,750000,750000,748550,145
"Concreting of Barangay Road near BNCC Cabid-an East Dist., Sor. City",750000,750000,746833,3167
"Concreting of along Abuyog-Casili Road, Abuyog , East Dist. Sor. City","1,000,000.00","1,000,000.00",997962,2038
"Widening of Road near E/S in Peñafrancia, West Dist. Sor. City",500000,500000,497676,2324
"Concreting of Pathway at Brgy. Jamislagan, Bacon Dist. Sor. City",200000,200000,199512,488
"Concreting of Pathway at Brgy. Del Rosario, Bacon Dist. Sor. City",200000,200000,199502,498
"Concreting of Farm to Market Road in Brgy. Pamurayan, West Dist. Sor. City",500000,500000,498524,1476
Concreting of Brgy. Road in Guinlajon ( San Juan St.) West Dist. Sor. City,500000,500000,498900,1100
"Concreting of Farm to Market Road in Sitio Bagong Sirang, Macabog",750000,750000,747897,2103
"Concreting of Brgy. Road in Rizal, West Dist., Sor. City",750000,750000,748500,1500
"Concreting of Brgy. Road in Panlayaan , West Dist. Sor. City",750000,750000,748901,1099
"Concreting of Pathway of San Roque , Bacon Dist. Sor. City",500000,500000,498200,1800
"Concreting of Streets at Brgy. Balete, Bacon Dist. Sor. City","1,000,000.00","1,000,000.00",998198,1802
"Concreting of Farm to Market Road in Bonga, Bacon Dist. Sor. City",750000,750000,748900,1100
"Concreting of Brgy. Road in Sawangga , Bacon Dist. Sor. City",500000,500000,498200,1800
"Concreting of Pathway of San Pascual , Bacon Dist. Sor. City",500000,500000,499100,900
"Concreting of Pathway of San Vicente , Bacon Dist. Sor. City",500000,500000,498200,1800
"Concreting of Farm to Market Road in San Isidro , Bacon Dist. Sor. City","1,500,000.00","1,500,000.00","1,495,497.00",4503
"Construction of Pathway in Magarao, Sugod Bacon Dist. Sor. City",150000,150000,149500,500
"Construction of Pathway in Burabod Sugod, Bacon Dist. Sor. City",150000,150000,149500,500
"Construction of Pathway in Patag, Sugod, Bacon Dist. Sor.City",150000,150000,149500,500
"Construction of Pathway in Sitio Mahingan , Balogo, East Dist. Sor. City",150000,150000,148000,2000
"Construction of Footbridge in Brgy. Road, Balogo, East Dist. Sor. City",400000,400000,398000,2000
"Rehab of Box Culvert in Adovis , Casiguran",400000,-,-,-
"Construction of Line Canal in San Roque, Castilla",400000,-,-,-
"Construction of Line Canal in Market Site, Donsol",400000,-,-,-
