project_program_1,project_program_2,project_program_3,location,total_cost,date_started,target_completion_date,project_status_percent_of_completion,project_statust_total_cost_incurred_to_date,number_of_extensions_if_any,remarks
Social Development,Health,Completion of DFBDSMH,Sorsogon City,5000000,-,-,-,-,-,-
Social Development,Housing and Community Development,Riprap Core Shelter Site,"Prieto Diaz, Sorsogon",500000,-,-,-,-,-,-
Social Development,Housing and Community Development,Lot Clearing and survey for Core Shelter Project,"Gubat, Sorsogon",500000,-,-,-,-,-,-
Social Development,Housing and Community Development,Installation of Solar Lamp Post or Panel within the Capitol Compound,Sorsogon,2500000,-,-,-,-,-,-
Social Development,Water System ,Improvement of Water System in Monte Calvario,"Bulan, Sorsogon",1500000,-,-,-,-,-,-
Social Development,Social Welfare,CALAHI CIDSS (Provincial Counterpart),-,1500000,-,-,-,-,-,-
Social Development,Social Welfare,Construction of Multi-Purpose Hall in San Francisco (Pulot),"Bulan, Sorsogon",1500000,-,-,-,-,-,-
Economic Development,Economic Service Sector,Fresh aquaculture Nursery Pond Project (with waterfalls and farmhouse),-,1000000,-,-,-,-,-,-
Economic Development,Economic Service Sector,Purchase of 2 units Combine-Harvester Thesger (PLGU Counterpart),-,670000,-,-,-,-,-,-
Economic Development,Economic Service Sector,Purchase of 2 sets Hand Tractor or  Power Tillers (with complete accesssories),-,830000,-,-,-,-,-,-
Economic Development,Economic Service Sector,Construction of Provincial Metharizhium Production Laboratory,-,800000,-,-,-,-,-,-
Economic Development- Natural Resources Services,National Greening Program,National Greening Program,-,-,-,-,-,-,-,-
Economic Development- Natural Resources Services,Mangrove Reforestration Project,Purchase of Mangrove seedlings or Propagate for the Reho or Rehab Project,-,1000000,-,-,-,-,-,-
Economic Development- Natural Resources Services,Mangrove Reforestration Project,Purchase of Agroforestry seedlings for the reforestration project and distribution to Stakeholders,-,1000000,-,-,-,-,-,-
Economic Development- Natural Resources Services,Mangrove Reforestration Project,Purchase of motor banca for patrol  or monitoring and hauling of mangrove,-,500000,-,-,-,-,-,-
Economic Development- Natural Resources Services,Mangrove Reforestration Project,"Clean, Green and CCA Projects",-,1000000,-,-,-,-,-,-
Economic Development- Natural Resources Services,Mangrove Reforestration Project,Purchase o Horriba (Water Sampling) Equipment,-,1000000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,Concreting of San Ramon-Batug road ,"Bulan, Sorsogon",3000000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,"Rehabilitation of Brgy road in Recto, Bulan","Bulan, Sorsogon",2000000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,Rehabilitation along Roxas-Calpi-Dolos road,"Bulan, Sorsogon",3500000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,Conreting of one (1) lane in Lalud - San Bartolome Road (San Antonio Section),"Bulusan, Sorsogon",2200000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,Rehabilitation or Concreting along Bulusan Diversion Road,"Bulusan, Sorsogon",4000000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,Concreting of Lalud Barangay road Bulusan,"Bulusan, Sorsogon",2000000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,Rehabilitation of Boton-Cabungahan Farm to market road,"Casiguran, Sorsogon",2000000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,Construction of Hanging Bridge connecting Abucay and Tongdol,"Donsol, Sorsogon",3000000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,Rehabilitation of Carriedo Brgy road sitio Biyao,"Gubat, Sorsogon",1400000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,Rehabilitation of Batang-Gumapi-Tongdol road ,"Irosin, Sorsogon",3000000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,Construction of Hanging Bridge at Brgy Binanuhan,"Juban, Sorsogon",3500000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,Concreting or Rehabilitation of Bulan-Magallanes Road (Busay-Siuton Section),"Magallanes, Sorsogon",4000000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,Concreting Busay Brgy Road,"Magallanes, Sorsogon",2000000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,Conccreting of Brgy Road in Lapinig,"Magallanes, Sorsogon",1000000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,Concreting of Brgy Road going to Brgy Site in Tula-tula Norte,"Magallanes, Sorsogon",1000000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,"Concreting of Pawa, Sta Magdalena Road(Pawa-Bariis, Matnog Section)",Matnog Sorsogon,6000000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,Concreting of Sta Fe Sition Sapran Farm to Market Road,"Pilar, Sorsogon",2500000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,Concreting of Pandan- Cogon Road,"Castilla, Sorsogon",2500000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,Concreting of Algeria-Bogtong Road,"Barcelona, Sorsogon",3000000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,Concreting of Sta. Magdalena- Talaonga road,"Sta. Magdalena, Sorsogon",5000000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,Concreting of Sugod -Lapinig Road,Bacon District Sorsogon City,3000000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,Concreting of Pathway in Cambulaga,Sorsogon City,400000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,Concreting of Cabagahan FMR Slope Protection or Line Canal,Matnog Sorsogon,3000000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,Const. and Rehab of Line Canal Drainage System at Cambulaga,Sorsogon City,3000000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,Const. of Line Caanal at VL Peralta Memorial Hospital,"Castilla, Sorsogon",2000000,-,-,-,-,-,-
Economic Development,River Control,Construction of River Control at Ticol,Sorsogon City,3073255,-,-,-,-,-,-
Economic Development,River Control,"Construction of Seawall and Barrel Box Culvert at San Antonio Sapa, Pilar","Pilar, Sorsogon",4000000,-,-,-,-,-,-
Economic Development,Other Priority Projects,Dev't of Panumbagan Sandbar Eco-Tourism Project (Phase II),"Pilar, Sorsogon",4000000,-,-,-,-,-,-
Economic Development,Other Priority Projects,Construction of Tourist/Visitors Assistance Center,"Pilar, Sorsogon",2000000,-,-,-,-,-,-
Economic Development,Other Priority Projects,Construction of Visitor's Assistance Center and Multi-Purpose Facility,"Gubat, Sorsogon",1000000,-,-,-,-,-,-
Economic Development,Other Priority Projects,Construction of Visitor's Assistance Center,"Irosin, Sorsogon",1000000,-,-,-,-,-,-
Economic Development,Other Priority Projects,Construction of Visitor's Assistance Center,"Prieto Diaz, Sorsogon",1000000,-,-,-,-,-,-
Economic Development,Other Priority Projects, Matnog Eco-Tourism Project (Development of Malarosa) Matnog,Matnog Sorsogon,3000000,-,-,-,-,-,-
Economic Development,Other  ,Loan Payments,-,52001745,-,-,-,26568324.24,-,-
Total,Total,Total,-,160875000,-,-,-,26568324.24,-,-
