project_program_1,project_program_2,project_program_3,project_program_4,location,total_cost,date_started,target_completion_date,project_status_percent_of_completion,project_statust_total_cost_incurred_to_date,number_of_extensions_if_any,remarks
Social Development,Health,Completion of DFBDSMH,Completion of DFBDSMH,Sorsogon City,-,-,-,-,-,-,-
Social Development,Housing and Development Community,Riprap Core Shelter Site,Riprap Core Shelter Site,"Pto. Diaz, Sor",-,-,-,-,-,-,-
Social Development,Housing and Development Community,Lot  Clearing and Surey for Core Shelter Project,Lot  Clearing and Surey for Core Shelter Project,"Gubat, Sorsogon",-,-,-,-,-,-,-
Social Development,Housing and Development Community,Installation of Solar Lamp Post or Panel within Capitol Compound,Installation of Solar Lamp Post or Panel within Capitol Compound,"Capitol Compound, Sorsogon City",-,-,-,-,-,-,-
Social Development,Water System,Improvement of Water System,Improvement of Water System,"Monte Calvario Bulan, Sorsogon",-,-,-,-,-,-,-
Social Development,Social Welfare,CALAHI CIDSS (Provincial Counterpart)- Construction of MP Hall in San Francisco,CALAHI CIDSS (Provincial Counterpart)- Construction of MP Hall in San Francisco,Bulan Sorsogon,-,-,-,-,-,-,-
Economic Development,Agricultural Services,Fresh aquaculture Nursery Pond Project (with waterfalls and farmhouse),Fresh aquaculture Nursery Pond Project (with waterfalls and farmhouse),-,-,-,-,-,-,-,-
Economic Development,Agricultural Services,Purchase of 2 units combine-Harvester-threser,Purchase of 2 units combine-Harvester-threser,-,-,-,-,-,-,-,-
Economic Development,Agricultural Services,Purchase of 2 units handtractor of power tillers (with complete accessories),Purchase of 2 units handtractor of power tillers (with complete accessories),-,-,-,-,-,-,-,-
Economic Development,Agricultural Services,Const of Provincial Metharizhium Producction Laboratory,Const of Provincial Metharizhium Producction Laboratory,-,-,-,-,-,-,-,-
Economic Development,Natural Resources,Magrove Reforestation,Purchase of Mangrove seedlings,-,-,-,-,-,-,-,-
Economic Development,Natural Resources,Magrove Reforestation,Purchase of agroforestry seedlings ,-,-,-,-,-,-,-,-
Economic Development,Natural Resources,Magrove Reforestation,Purchase of bamboo seedlingss,-,-,-,-,-,-,-,-
