function_or_program_or_project_or_activity_1,function_or_program_or_project_or_activity_2,account_code,appropriation,allotment,obligation,balance_of_appropriations,balance_of_allotments
Grand Total,Grand Total,-,73541054.61,28224837.03,19965193.55,45316217.58,8259643.48
Current Year Appropriations,Current Year Appropriations,-,-,-,-,-,-
Current Year Appropriations,Maintenance and Other Operating Expenses ,-,23772841.5,10920341.5,6624259.98,12852500,4296081.52
Current Year Appropriations,Financial Expenses ,-,25513783.81,6454939.5,6454939.5,19058844.31,0
Current Year Appropriations,Capital Outlay ,-,24254429.3,10849556.03,6885994.07,13404873.27,3963561.96
Agricultural Development Program,Agricultural Development Program,2100,-,-,-,-,-
Farm Mechanization Project-Maintenance and Other Operating Expenses ,Farm Mechanization Project-Maintenance and Other Operating Expenses ,2102,500000,500000,260100,0,239900
Farm Mechanization Project-Capital Outlay ,Farm Mechanization Project-Capital Outlay ,2102,0,0,0,0,0
Establishment of Plant Nursery -Maintenance and Other Operating Expenses ,Establishment of Plant Nursery -Maintenance and Other Operating Expenses ,2104,772841.5,772841.5,438032,0,334809.5
Fishery Sector Development,Fishery Sector Development,2106,-,-,-,-,-
Fishery Sector Development,Strategic Agri-Fishery and Agro-Industrial Development Program-Maintenance and Other Operating Expenses,2106j,1000000,1000000,659842,0,340158
Fishery Sector Development,Fisheries Aqua or Mariculture and Coastal Resources Development-Maintenance and Other Operating Expenses,2106k,1700000,1275000,1181112.77,425000,93887.23
Fishery Sector Development,Seawall And Causeway - Capital Outlay,2109,500000,0,0,500000,0
Loan Amortization,Loan Amortization,2110,-,-,-,-,-
Loan Amortization,Term Loan with LBP-Construction of Existing 3rd Floor Commercial Building -Financial Expenses ,2110J,1525293.31,383711.26,383711.26,1141582.05,0
Loan Amortization,Term Loan Amortization with LBP - Construction of Sanitary Landfill-Financial Expenses,2110M,6791705.68,23190077.1,23190077.1,4472628.58,0
Loan Amortization,Loan Amortization- Construction of Surigao City Waste Facility(Phase II) and Aquisition of Equipment-Financial Expenses,2110Q,4492107.22,1320743.95,1320743.95,3171363.27,0
Loan Amortization,Loan Amortization with DBP-Aquisition of Heavy Equiptment-Financial Expense,2110r,12704677.6,2431407.19,2431407.19,10273270.41,0
