program_or_project_1,program_or_project_2,location,total_cost,date_started,target_completion_date,project_status_percent_of_completion,project_status_total_cost_incurred_to_date,number_of_extensions_if_any,remarks
Social Development,Construction of Health Center,-,300000,Jan. 2014,-,-,0,-,-
Social Development,Construction or Repair of Day Care Center,-,300000,Jan. 2014,-,-,0,-,-
Social Development,Water System,-,500000,Jan. 2014,-,-,0,-,-
Social Development,Installation an Repair of Street or Sodium Lights,Sitio Bioborjan,2000000,Jan. 2014,-,-,188196,-,-
Social Development,Rehabilitation or Replacement of Corroded Lamp Post,-,1000000,Jan. 2014,-,-,0,-,-
Social Development,LGU Equity on SPL Development Project Bottom-Up-Budgeting,-,8000000,Jan. 2014,-,-,0,-,-
Social Development,LGU Equity on Special Day Development Project-Masicap,-,300000,Jan. 2014,-,-,0,-,-
Social Development,LGU Equity On Special Day Development Project-Pamana,-,100000,Jan. 2014,-,-,0,-,-
Social Development,Upgrading of Clinical Laboratory Including Drug Testing,-,500000,Jan. 2014,-,-,0,-,-
Social Development,Construction of 2 Birthing Home Clinic,Barangay San Jose and Barangay Mat-I,600000,Jan. 2014,-,-,0,-,-
Social Development,"Construction of 11 Health Centers at 500,000.00 Each",-,2500000,Jan. 2014,-,-,0,-,-
Social Development,"Upgrading and Rehabilitation of 4 Health Centers at 400,000.00 Each",-,800000,Jan. 2014,-,-,0,-,-
Social Development,Lot Acquisition for Construction of Health Centers at 9 Barangays,-,800000,Jan. 2014,-,-,0,-,-
Economic Development,Term Loan with LBP-Construction of Existing 3rd Floor Commercial Building,-,1437116.28,-,-,-,477064.63,-,-
Economic Development,Loan Amortization with DBP-Acquisition of Heavy Equipment,-,16917830,-,-,-,0,-,-
Economic Development,"Artificial Insemination And Natural Breed Services For Cattle, Carabao",-,650000,Jan. 2014,-,-,80285.86,-,-
Economic Development,Animal Production,-,200000,Jan. 2014,-,-,13938.94,-,-
Economic Development,Animal Health Promotion and Disease Control,-,1200000,Jan. 2014,-,-,77550,-,-
Economic Development,Infrastructure Development Support Project,-,3610668.35,Jan. 2014,-,-,0,-,-
Economic Development,Meat Processing Project,-,200000,Jan. 2014,-,-,6018.36,-,-
Economic Development,Barangay Infrastructure Development Programs or Projects,-,1800000,Jan. 2014,-,-,0,-,-
Economic Development,Maintenance of Barangay Roads and Bridges,-,2450000,Jan. 2014,-,-,83806.02,-,-
Economic Development,"Concreting of Kaskag Road, Barangay Washington and Purok 6 Road, Barangay San Juan",Barangay Washington and Barangay San Juan,1800000,Jan. 2014,-,-,0,-,-
Economic Development,Construction of Surigao City MTP Building (Phase I),-,11035000,Jan. 2014,-,-,0,-,-
Economic Development,LGU Equity on Philippine Rural Development Program (PRDP),-,1000000,Jan. 2014,-,-,0,-,-
Economic Development,Repair Of Danao Cip,Barangay Danao,300000,Jan. 2014,-,-,0,-,-
Economic Development,"Rep. of Biga, Mat-I Cip",Barangay Mat-I,300000,Jan. 2014,-,-,0,-,-
Economic Development,Rep. of Nabago Cip,Barangay Nabago,600000,Jan. 2014,-,-,0,-,-
Economic Development,Rep. of Mabini Cip,Barangay Mabini,600000,Jan. 2014,-,-,0,-,-
Economic Development,Establishment of Plant Nursery,-,150000,Jan. 2014,-,-,0,-,-
Economic Development,Vermiculture Center,-,250000,Jan. 2014,-,-,0,-,-
Economic Development,Organic Fertilizer and Pesticide Production and Prom.,-,250000,Jan. 2014,-,-,0,-,-
Economic Development,Safidev Covered Program,-,300000,Jan. 2014,-,-,0,-,-
Economic Development,Non Safidev Covered Program,-,250000,Jan. 2014,-,-,0,-,-
Economic Development,Bangus Fish Cage Culture,-,300000,Jan. 2014,-,-,0,-,-
Economic Development,Construction and Installation of Acr,-,100000,Jan. 2014,-,-,0,-,-
Economic Development,Seawall and Causeway,-,500000,Jan. 2014,-,-,0,-,-
Environmental Management,Term Loan Amortization with LBP-Construction of Sanitary Landfill,-,6425284.25,-,-,-,517239.8,-,-
Environmental Management,Loan Amortization-Construction of Surigao City Waste Facility (Phase II) and Acquisition of Equipment,-,3993566.12,-,-,-,0,-,-
Environmental Management,"Construction, Improvement or Rehabilitation of City Drainage",-,1000000,Jan. 2014,-,-,50150,-,-
Environmental Management,Lot Acquisition For Sanitary Landfill,-,550000,Jan. 2014,-,-,0,-,-
Environmental Management,Development or Construction of One Cell as Designate Hazardous Waste,-,400000,Jan. 2014,-,-,0,-,-
Environmental Management,Develop Water Source (Deepwell) within SLF,-,200000,Jan. 2014,-,-,0,-,-
Environmental Management,Perimeter Fencing of Surigao Waste Treatment Facility,-,500000,Jan. 2014,-,-,0,-,-
Environmental Management,Purchases of New Garbage Truck (Compactor),-,1500000,Jan. 2014,-,-,0,-,-
Environmental Management,Fabrication of Push Cart,-,100000,Jan. 2014,-,-,0,-,-
Environmental Management,Installation and Fabrication of Mobile (MRF),-,100000,Jan. 2014,-,-,0,-,-
Environmental Management,Development of Cell,-,800000,Jan. 2014,-,-,0,-,-
Environmental Management,Purchase of Smoke Belching Equipment,-,200000,Jan. 2014,-,-,0,-,-
Environmental Management,Solid Waste Management,-,300000,Jan. 2014,-,-,0,-,-
Environmental Management,Maintenance of Sanitary Landfill,-,1350000,Jan. 2014,-,-,0,-,-
Grand Total,Grand Total,-,81319465,-,-,-,1494249.61,-,-
