category,functions_or_programs_or_projects_or_activities_1,functions_or_programs_or_projects_or_activities_2,code,appropriations,allotments,appropriations_balance_or_deficit,obligations,unobligated_balances
Roads and Bridges,Repairs and Maintenance-General Public Services,Repairs and Maintenance-General Public Services,1917,-,-,-,-,-
Roads and Bridges,Repairs and Maintenance-General Public Services,"Maintenance and Other Operating Expenses-Repairs and Maintenance-Roads, Highways and Bridges",851,38520000,38520000,-,16787762.92,21732237.08
Roads and Bridges,Repairs and Maintenance-General Public Services,"Maintenance and Other Operating Expenses-Repairs and Maintenance-Irrigation, Canals and Laterals",855,4356000,4356000,-,2430877.24,1925122.76
Roads and Bridges,Repairs and Maintenance-General Public Services,Maintenance and Other Operating Expenses-Repairs and Maintenance-Subsidy to Other Funds,877,6600000,6600000,-,-,6600000
Roads and Bridges,Repairs and Maintenance-General Public Services,Total,-,49476000,49476000,-,19218640.16,30257359.84
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Government Facilities,Government Facilities,1918,-,-,-,-,-
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Government Facilities,Capital Outlay-Other Structures,215,500000,250000,250000,-,250000
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Government Facilities,"Capital Outlay-Other Property, Plant and Equipment",250,550000,250000,400000,-,150000
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Government Facilities,"Capital Outlay-Roads, Highways and Bridges",251,12000000,6000000,6000000,5118870.97,881129.03
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Government Facilities,"Capital Outlay-Irrigation, Canals and Laterals",255,1739285.95,869642.98,869642.97,-,869642.98
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Government Facilities,"Capital Outlay-Waterways, Aqueducts, Seawalls, River Walls and Others",257,4200000,3600000,600000,-,3600000
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Government Facilities,Total,-,18989285.95,10869642.98,8119642.97,5118870.97,5750772.01
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges","Purchase, Construction and Improvement of Government Facilities Health",Land Improvements,202,10000000,-,10000000,-,0
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges","Purchase, Construction and Improvement of Government Facilities Health",Hospitals and Health Centers,213,10000000,-,10000000,-,0
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges","Purchase, Construction and Improvement of Government Facilities Health",Total,-,20000000,-,20000000,-,0
Government Buildings,"Purchase, Construction and Improvement of Government Facilities-Economic Services","Purchase, Construction and Improvement of Government Facilities-Economic Services",8918,-,-,-,-,-
Government Buildings,"Purchase, Construction and Improvement of Government Facilities-Economic Services",Capital Outlay-Other Structures,215,15750000,1500000,14250000,-,1500000
Government Buildings,Grand Total,Grand Total,-,15750000,1500000,14250000,-,1500000
Public Debt-Loan Amortization-Domestic,Loan Amortization-Domestic,Financial Expenses-Loans Payable-domestic,444,36297703.68,36297703.68,-,21920037.3,14377666.38
Public Debt-Loan Amortization-Domestic,Loan Amortization-Domestic,Financial Expenses-Interest Expenses,975,10359940.94,10359940.94,-,6597843.22,3762097.72
Public Debt-Loan Amortization-Domestic,Loan Amortization-Domestic,Financial Expenses-Other Financial Charges,979,33633.63,33633.63,-,23097.27,10536.36
Public Debt-Loan Amortization-Domestic,Loan Amortization-Domestic,Total,-,46691278.25,46691278.25,-,28540977.79,18150300.46
Recapitulation,Recapitulation,Recapitulation,-,-,-,-,-,-
Personal Services,Personal Services,Personal Services,-,-,-,-,-,-
MOOE,MOOE,MOOE,-,49476000,49476000,-,19218640.16,30257359.84
Capital Outlay,Capital Outlay,Capital Outlay,-,54739285.95,12369642.98,42369642.97,5118870.97,7250772.01
Financial Expenses,Financial Expenses,Financial Expenses,-,46691278.25,46691278.25,-,28540977.79,18150300.46
