particulars_1,particulars_2,objt,appropriation,allotment,obligations,balances_of_allotments,balances_of_appropriation
20% Local Development Fund,20% Local Development Fund,-,-,-,-,-,-
Development Administration,Mindanao Rural Development Program,19911-01,3250000,1092500,35705,2157500,1056795
Development Administration,PCL Activities,19911-02,80000,80000,49875,-,30125
Development Administration,Federation of Association of Barangay Captains,19911-03,80000,40000,40000,40000,-
Development Administration,Sangguniang Kabataan Activities,19911-04,20000,-,-,20000,-
Development Administration,Insurance of Government Buildings,19911-05,200000,200000,110039.04,-,89960.96
Development Administration,Annual RDC Contribution,19911-06,100000,100000,100000,-,-
Development Administration,Support to PDC,19911-07,100000,50000,47397,50000,2603
Development Administration,"Management Operations for Planning, Reasearch and Studies",19911-08,500000,315000,270437.53,185000,44562.47
Development Administration,Repayment of Building Loan (LBP),19911-09,20000000,12349585.68,11887014.84,7650414.32,462570.84
Development Administration,Repayment of Equipment Loan (PNB),19911-10,8000000,2000000,-,6000000,2000000
Development Administration,Support to Auditorial Program COA,19911-11,4389673.4,4389673.4,4385258.85,-,4414.55
Development Administration,Assistance in Crisis Situation (AICS),19911-12,700000,558300,462093.7,141700,96206.3
Development Administration,Information Technology Development Program,19911-13,400000,317491,271414.82,82509,46076.18
Development Administration,Computerization of the Provincial Assessor's Office,19911-14,904213.6,300000,247500,604213.6,52500
Development Administration,Support to Provincial Land Titling Project,19911-15,500000,250000,186319.23,250000,63680.77
Development Administration,Community Based Monitoring System (CBMS),19911-16,200000,-,-,200000,-
Development Administration,"Support to Special Projects,i.e PAMANA, AECID, UNFPA",19911-17,250000,250000,207374,-,42626
Development Administration,Support to Comelec,19911-18,200000,100000,100000,-,-
Development Administration,Tax Campaign Program,19911-19,200000,100000,100000,100000,-
Development Administration,Real Property Tax Administration,19911-20,200000,-,-,200000,-
Development Administration,Support to Construction of PNP Provincial Office Building,19911-21,6000000,6000000,6000000,-,-
Development Administration,Support to Counter Insurgency Program,19911-22,4000000,3852884,3792884,147116,60000
Development Administration,Support to Barangay Tanod,19911-23,1500000,500000,495000,1000000,5000
Social Development,Alay ng Probinsya Scholarship Program,3910-01,2000000,500000,76363.17,1500000,423636.83
Social Development,Nutrition Program,3910-02,300000,150000,61620,150000,88380
Social Development,Botica sa Barangay,3910-03,5000000,5000000,4976415,-,23585
Social Development,Women's Health,3910-04,3600000,900000,274458.22,2700000,625541.78
Social Development,Philhealth,3910-05,2000000,-,-,2000000,-
Social Development,Population Management Activities,3910-06,100000,100000,48000,-,52000
Social Development,Support to Welfare and Development Services,3910-07,100000,100000,78000,-,22000
Social Development,Support to Senior Citizens,3910-08,50000,-,-,50000,-
Social Development,Support to Differently-Abled Citizens,3910-09,50000,-,-,50000,-
Social Development,Support to Red Cross,3910-10,50000,37500,37500,112500,-
Social Development,Support to National Commission on Indigenous People,3910-11,100000,50000,40360,50000,9640
Economic Development,Support to Pag-asa (OPAG),1916-01,400000,200000,161043.28,200000,38956.72
Economic Development,Marine and Aquatic Development Program,1916-02,300000,241351.25,159823,58648.75,81528.25
Economic Development,Animal Health care Program,1916-03,400000,210000,144420.15,190000,65579.85
Economic Development,Support to DRR/CCA/PPFP Formulation,1916-04,100000,-,-,100000,-
Economic Development,Gawad Pangulo sa KAPALIGIRAN,1916-05,150000,-,-,150000,-
Economic Development,Devolved Environmental Programs,1916-06,100000,60000,32412.28,40000,27587.72
Economic Development,Construction or Rehabilitation and Other Support Services for Water Supply Program,1916-07,4000000,3971000,3888838.4,29000,82161.6
Economic Development,"Construction or Installation of Municipal Street Lights, Barangay Buenavista",1916-08,2537950,2537950,2537055,-,895
Economic Development,"Construction or Installation of Municipal Street Lights, Mangagoy, Barangay Bislig City Phase II",1916-09,4962050,-,-,4962050,-
Economic Development,"Construction or Installation of Municipal Street Lights, National Highway, Tandag City",1916-10,2000000,-,-,2000000,-
Economic Development,Concreting Jacinto P Elpa to Adela Serra Ty,1916-11,10000000,-,-,10000000,-
Economic Development,Repair and Maintenance of Roads and Bridges,1916-12,27000000,18100000,"17,658,551,78",8900000,441448.22
Economic Development,Rehabilitation of Heavy Equipment,1916-13,10000000,5300000,5300000,4700000,-
Economic Development,"Construction of Legislative Building, Phase II",1916-14,15000000,-,-,15000000,-
Economic Development,Maintenance of Capitol Building (Capitol of South),1916-15,2000000,2000000,1956799.76,-,43200.24
Economic Development,Maintenance of Bus or Jeepney Terminal and Sports Complex,1916-16,355451,355454,353833.82,-,1620.18
Economic Development,Construction of Provincial Guest House,1916-17,5000000,5000000,1139533.13,-,3860466.87
Economic Development,Tourism Industry Promotion,1916-18,1000000,300000,300000,700000,-
Economic Development,Provincial Cultural Activities,1916-19,100000,-,-,100000,-
Economic Development,Sports Development,1916-20,1500000,1302500,588683.75,197500,713816.25
Economic Development,Araw ng Surigao del Sur Celebration,1916-21,2000000,2000000,1978501.6,-,21498.4
Economic Development,Improvement of Enchanted River,1916-22,500000,-,-,500000,-
Total 20% EDF,Total 20% EDF,-,154429341,81161189.33,70480525.35,73268151.67,10680663.98
