particulars_1,particulars_2,code,appropriation,allotment,pr,obr,balances
Office of The City Mayor,-,1011,-,-,-,-,-
Construction or Completion of Multi-Purpose Building (Gym),-,215,3000000,-,-,-,-
Construction or Completion of Multi-Purpose Building (Gym),Unprogram,-,3000000,-,-,-,-
Water Development Program - GAD,-,254,500000,500000,-,"442,118.77","57,881.23"
Water Development Program - GAD,Various Barangay (Reference number: 054A-01-12)- Materials,-,"311,770.00","311,770.00",-,"310,641.00","1,129.00"
Water Development Program - GAD,Various Barangay (Reference number: 054A-01-12)- Labor,-,"139,000.00","139,000.00",-,"131,477.77","7,522.23"
Water Development Program - GAD,Various Barangay (Reference number: 054A-01-12)- Contingencies,-,"49,230.00","49,230.00",-,-,"49,230.00"
Total,-,-,"500,000.00","500,000.00",-,"442,118.77","57,881.23"
Water Development Program - GAD,Unprogram,-,-,-,-,-,-
Construction of Bus Stop and Waiting Shed,-,251,"2,000,000.00","1,920,000.00",-,"1,920,000.00",-
Construction of Bus Stop and Waiting Shed,Construction of Bus Stop and Waiting Shed (P-3),-,-,-,-,-,-
Construction of Bus Stop and Waiting Shed,Tagum Doctor's Hospital (4 units),-,-,-,-,-,-
Construction of Bus Stop and Waiting Shed,NCCC Mall (2 units) (Reference number: 07-01-12),-,-,-,-,-,-
Construction of Bus Stop and Waiting Shed,Supply and Installation,-,1920000,1920000,-,1920000,-
Construction of Bus Stop and Waiting Shed,Unprogram,-,"80,000.00",-,-,-,-
Construction or Rehabilitation of Multi-Purpose Pavement,-,202,1000000,854947.52,67000,336267.2,"451,680.32"
Construction or Rehabilitation of Multi-Purpose Pavement,"Mencidor, Brgy. East (Reference 064-02-12)- Materials",-,"67,375.00","67,375.00",-,67316.8,58.2
Construction or Rehabilitation of Multi-Purpose Pavement,"Mencidor, Brgy. East (Reference 064-02-12)- Labor",-,"20,152.00","20,152.00",-,-,"20,152.00"
Construction or Rehabilitation of Multi-Purpose Pavement,"Mencidor, Brgy. East (Reference 064-02-12)- POL",-,"42,867.88","42,867.88",-,-,"42,867.88"
Total,-,-,"130,394.88","130,394.88",-,67316.8,"63,078.08"
Construction or Rehabilitation of Multi-Purpose Pavement,"Purok 6-A, Brgy. Magdum (Reference number: 065-02-12)- Materials",-,"67,375.00","67,375.00",-,67316.8,58.2
Construction or Rehabilitation of Multi-Purpose Pavement,"Purok 6-A, Brgy. Magdum (Reference number: 065-02-12)- Labor",-,"20,133.00","20,133.00",-,-,-
Construction or Rehabilitation of Multi-Purpose Pavement,"Purok 6-A, Brgy. Magdum (Reference number: 065-02-12)- POL",-,"66,527.84","66,527.84",-,-,-
Total,-,-,"154,035.84","154,035.84",-,67316.8,"86,719.04"
Construction or Rehabilitation of Multi-Purpose Pavement,"Purok 1-B, Brgy. San Miguel (Reference number: 070-02-12)- Materials",-,"67,000.00","67,000.00",-,67000,-
Construction or Rehabilitation of Multi-Purpose Pavement,"Purok 1-B, Brgy. San Miguel (Reference number: 070-02-12)- Labor",-,"30,828.00","30,828.00",-,-,"30,828.00"
Construction or Rehabilitation of Multi-Purpose Pavement,"Purok 1-B, Brgy. San Miguel (Reference number: 070-02-12)- POL",-,"40,946.00","40,946.00",-,-,"40,946.00"
Construction or Rehabilitation of Multi-Purpose Pavement,"Purok 1-B, Brgy. San Miguel (Reference number: 070-02-12)- Contingencies",-,"2,346.00","2,346.00",-,-,"2,346.00"
Total,-,-,"141,120.00","141,120.00",-,67000,"74,120.00"
Construction or Rehabilitation of Multi-Purpose Pavement,"Purok Lanzones, Brgy. Pandapan (Reference number: 084-02-12)- Materials",-,"67,375.00","67,375.00",-,67316.8,58.2
Construction or Rehabilitation of Multi-Purpose Pavement,"Purok Lanzones, Brgy. Pandapan (Reference number: 084-02-12)- Labor",-,"26,240.00","26,240.00",-,-,"26,240.00"
Construction or Rehabilitation of Multi-Purpose Pavement,"Purok Lanzones, Brgy. Pandapan (Reference number: 084-02-12)- POL",-,"60,609.00","60,609.00",-,-,"60,609.00"
Total,-,-,"154,224.00","154,224.00",-,67316.8,"86,907.20"
Construction or Rehabilitation of Multi-Purpose Pavement,"Purok Narra, Brgy. East (Reference number: 085-02-12)- Materials",-,"67,375.00","67,375.00",-,67316.8,58.2
Construction or Rehabilitation of Multi-Purpose Pavement,"Purok Narra, Brgy. East (Reference number: 085-02-12)- Labor",-,"20,358.00","20,358.00",-,-,"20,358.00"
Construction or Rehabilitation of Multi-Purpose Pavement,"Purok Narra, Brgy. East (Reference number: 085-02-12)- POL",-,"82,719.80","82,719.80",-,-,"82,719.80"
Total,-,-,"170,452.80","170,452.80",-,67316.8,"103,136.00"
Construction or Rehabilitation of Multi-Purpose Pavement,"Purok 18-A, Brgy. Madaum (Reference number: 132-03-12)- Materials",-,"67,000.00","67,000.00",67000,-,-
Construction or Rehabilitation of Multi-Purpose Pavement,"Purok 18-A, Brgy. Madaum (Reference number: 132-03-12)- Labor",-,"19,908.00","19,908.00",-,-,"19,908.00"
Construction or Rehabilitation of Multi-Purpose Pavement,"Purok 18-A, Brgy. Madaum (Reference number: 132-03-12)- POL",-,"17,812.00","17,812.00",-,-,"17,812.00"
Total,-,-,"104,720.00","104,720.00",67000,-,"37,720.00"
