particulars_1,particulars_2,code,appropriation,allotment,pr,obr,balances
Office of The City Mayor,-,1011,-,-,-,-,-
Construction or Completion of Multi-Purpose Building (Gym),-,215,3000000,2700000,15365,2276363.71,408271.29
Construction or Completion of Multi-Purpose Building (Gym),"Brgy. Hall Site, Magugpo West (Reference number: 143-04-12)- Materials",-,517640,517640,-,9471160.8,19935
Construction or Completion of Multi-Purpose Building (Gym),"Brgy. Hall Site, Magugpo West (Reference number: 143-04-12)- Labor",-,222353,222353,-,130945,91408
Construction or Completion of Multi-Purpose Building (Gym),"Brgy. Hall Site, Magugpo West (Reference number: 143-04-12)- Contingencies",-,10007,10007,-,9375,632
Total,-,-,750000,750000,-,638025,111975
Construction or Completion of Multi-Purpose Building (Gym),"Margarita Subdivision, Mankilam (Reference number: 156-04-12)- Materials",-,524343,524343,-,516370,7973
Construction or Completion of Multi-Purpose Building (Gym),"Margarita Subdivision, Mankilam (Reference number: 156-04-12)- Labor",-,210272.8,210272.8,-,120404,89868.8
Construction or Completion of Multi-Purpose Building (Gym),"Margarita Subdivision, Mankilam (Reference number: 156-04-12)- Contingencies",-,15384.2,15384.2,15365,-,19.2
Total,-,-,750000,750000,15365,636774,97861
Construction or Completion of Multi-Purpose Building (Gym),"Makabayan Subdivision, Brgy. San Isidro (Reference number: 157-04-12)- Materials",-,560365,560365,-,560132,233
Construction or Completion of Multi-Purpose Building (Gym),"Makabayan Subdivision, Brgy. San Isidro (Reference number: 157-04-12)- Labor",-,116691.3,116691.3,-,116234.81,456.49
Construction or Completion of Multi-Purpose Building (Gym),"Makabayan Subdivision, Brgy. San Isidro (Reference number: 157-04-12)- Contingencies",-,22943.7,22943.7,-,21359.9,1583.8
Total,-,-,700000,700000,-,697726.71,2273.29
Construction or Completion of Multi-Purpose Building (Gym),"Brgy. Hall Site, Brgy. Magdum (Reference number: 175-05-12)- Materials",-,107933,107933,-,101778,6155
Construction or Completion of Multi-Purpose Building (Gym),"Brgy. Hall Site, Brgy. Magdum (Reference number: 175-05-12)- Labor",-,79957,79957,-,-,79957
Construction or Completion of Multi-Purpose Building (Gym),"Brgy. Hall Site, Brgy. Magdum (Reference number: 175-05-12)- Contingencies",-,12110,12110,-,-,12110
Total,-,-,200000,200000,-,101778,98222
Construction or Completion of Multi-Purpose Building (Gym),"Brgy. Hall Site, Brgy. Madaum (Reference number: 176-05-12)- Materials",-,203310,203310,-,202060,1250
Construction or Completion of Multi-Purpose Building (Gym),"Brgy. Hall Site, Brgy. Madaum (Reference number: 176-05-12)- Labor",-,89535.9,89535.9,-,-,89535.9
Construction or Completion of Multi-Purpose Building (Gym),"Brgy. Hall Site, Brgy. Madaum (Reference number: 176-05-12)- Contingencies",-,7154.1,7154.1,-,-,7154.1
Total,-,-,300000,300000,-,202060,97940
Construction or Completion of Multi-Purpose Building (Gym),Unprogram,-,300000,-,-,-,-
-,Water Development Program - GAD,254,600000,565000,-,461084.96,103915.04
Construction or Completion of Multi-Purpose Building (Gym),Water Development Program - GAD- Various Barangay (Reference number: 054A-01-12)- Materials,-,311770,311770,-,310641,1129
Construction or Completion of Multi-Purpose Building (Gym),Water Development Program - GAD- Various Barangay (Reference number: 054A-01-12)- Labor,-,139000,139000,-,139000,-
Construction or Completion of Multi-Purpose Building (Gym),Water Development Program - GAD- Various Barangay (Reference number: 054A-01-12)- Contingencies,-,49230,49230,-,11443.96,37786.04
Total,-,-,500000,500000,-,461084.96,38915.04
Construction or Completion of Multi-Purpose Building (Gym),"Installation of 2"" diameter Casing Jetmatic Pump at Purok 3, Barangay Madaum (Reference number: 245-08-12)- Materials",-,45932,45932,-,-,45932
Construction or Completion of Multi-Purpose Building (Gym),"Installation of 2"" diameter Casing Jetmatic Pump at Purok 3, Barangay Madaum (Reference number: 245-08-12)- Labor",-,17000,17000,-,-,17000
Construction or Completion of Multi-Purpose Building (Gym),"Installation of 2"" diameter Casing Jetmatic Pump at Purok 3, Barangay Madaum (Reference number: 245-08-12)- Contingencies",-,2068,2068,-,-,2068
Total,-,-,65000,65000,-,-,65000
Construction or Completion of Multi-Purpose Building (Gym),Unprogram,-,35000,-,-,-,-
-,Construction of Bus Stop and Waiting Shed,251,2000000,1920000,-,1920000,-
Construction of Bus Stop and Waiting Shed,Const. of Bus Stop and Waiting Shed (P-3),-,-,-,-,-,-
Construction of Bus Stop and Waiting Shed,Tagum Doctor's Hospital (4 units),-,-,-,-,-,-
Construction of Bus Stop and Waiting Shed,NCCC Mall (2 units) (Reference number: 07-01-12),-,-,-,-,-,-
Construction of Bus Stop and Waiting Shed,Supply and Installation,-,1920000,1920000,-,1920000,-
Construction of Bus Stop and Waiting Shed,Unprogram,-,80000,-,-,-,-
Construction or Rehabilitation of Multi-Purpose Pavement,-,202,1000000,854947.52,-,731541.73,123405.79
Construction or Rehabilitation of Multi-Purpose Pavement,"Mencidor, Brgy. East (Ref. 064-02-12)- Materials",-,67375,67375,-,67316.8,58.2
Construction or Rehabilitation of Multi-Purpose Pavement,"Mencidor, Brgy. East (Ref. 064-02-12)- Labor",-,20152,20152,-,-,20152
Construction or Rehabilitation of Multi-Purpose Pavement,"Mencidor, Brgy. East (Ref. 064-02-12)- POL",-,42867.88,42867.88,-,42682.35,185.53
Total,-,-,130394.88,130394.88,-,109999.15,20395.73
Construction or Rehabilitation of Multi-Purpose Pavement,"Purok 6-A, Brgy. Magdum (Reference number: 065-02-12)- Materials",-,67375,67375,-,67316.8,58.2
Construction or Rehabilitation of Multi-Purpose Pavement,"Purok 6-A, Brgy. Magdum (Reference number: 065-02-12)- Labor",-,20133,20133,-,5735,14398
Construction or Rehabilitation of Multi-Purpose Pavement,"Purok 6-A, Brgy. Magdum (Reference number: 065-02-12)- POL",-,66527.84,66527.84,-,66527.84,-
Total,-,-,154035.84,154035.84,-,139579.64,14456.2
Construction or Rehabilitation of Multi-Purpose Pavement,"Purok 1-B, Brgy. San Miguel (Reference number: 070-02-12)- Materials",-,67000,67000,-,67000,-
Construction or Rehabilitation of Multi-Purpose Pavement,"Purok 1-B, Brgy. San Miguel (Reference number: 070-02-12)- Labor",-,30828,30828,-,-,30828
Construction or Rehabilitation of Multi-Purpose Pavement,"Purok 1-B, Brgy. San Miguel (Reference number: 070-02-12)- POL",-,40946,40946,-,40789.44,156.56
Construction or Rehabilitation of Multi-Purpose Pavement,"Purok 1-B, Brgy. San Miguel (Reference number: 070-02-12)- Contingencies",-,2346,2346,-,-,2346
Total,-,-,141120,141120,-,107789.44,33330.56
Construction or Rehabilitation of Multi-Purpose Pavement,"Purok Lanzones, Brgy. Pandapan (Reference number: 084-02-12)- Materials",-,67375,67375,-,67316.8,58.2
Construction or Rehabilitation of Multi-Purpose Pavement,"Purok Lanzones, Brgy. Pandapan (Reference number: 084-02-12)- Labor",-,26240,26240,-,-,26240
Construction or Rehabilitation of Multi-Purpose Pavement,"Purok Lanzones, Brgy. Pandapan (Reference number: 084-02-12)- POL",-,60609,60609,-,60608.77,0.23
Total,-,-,154224,154224,-,127925.57,26298.43
Construction or Rehabilitation of Multi-Purpose Pavement,"Purok Narra, Brgy. East (Reference number: 085-02-12)- Materials",-,67375,67375,-,67316.8,58.2
Construction or Rehabilitation of Multi-Purpose Pavement,"Purok Narra, Brgy. East (Reference number: 085-02-12)- Labor",-,20358,20358,-,-,20358
Construction or Rehabilitation of Multi-Purpose Pavement,"Purok Narra, Brgy. East (Reference number: 085-02-12)- POL",-,82719.8,82719.8,-,82719.54,0.26
Total,-,-,170452.8,170452.8,-,150036.34,20416.46
Construction or Rehabilitation of Multi-Purpose Pavement,"Purok 18-A, Brgy. Madaum (Reference number: 132-03-12)- Materials",-,67000,67000,-,66000,1000
Construction or Rehabilitation of Multi-Purpose Pavement,"Purok 18-A, Brgy. Madaum (Reference number: 132-03-12)- Labor",-,19908,19908,-,12400,7508
Construction or Rehabilitation of Multi-Purpose Pavement,"Purok 18-A, Brgy. Madaum (Reference number: 132-03-12)- POL",-,17812,17812,-,17811.59,0.41
Total,-,-,104720,104720,-,96211.59,8508.41
Construction or Rehabilitation of Multi-Purpose Pavement,Unprogram,-,145052.48,-,-,-,-
Asphalting of Roads,-,251,13000000,12493480,1503709.48,9972151.38,1017619.14
Asphalting of Roads,"Purok Kalamboan, Brgy. North (Reference number: 060-02-12)- Materials",-,792615,792615,-,792340,275
Asphalting of Roads,"Purok Kalamboan, Brgy. North (Reference number: 060-02-12)- Labor",-,161722,161722,-,161722,-
Asphalting of Roads,"Purok Kalamboan, Brgy. North (Reference number: 060-02-12)- POL",-,279055.98,279055.98,-,279055.71,0.27
Asphalting of Roads,"Purok Kalamboan, Brgy. North (Reference number: 060-02-12)- Contingencies",-,26607.02,26607.02,-,22164.31,4442.71
Total,-,-,1260000,1260000,-,1255282.02,4717.98
Asphalting of Roads,"San Isidro labrador Chapel, Purok Lanzones Brgy. Pandapan (Reference number: 061-02-12)- Materials",-,134000,134000,134000,-,-
Asphalting of Roads,"San Isidro labrador Chapel, Purok Lanzones Brgy. Pandapan (Reference number: 061-02-12)- Labor",-,45476,45476,-,41896,3580
Asphalting of Roads,"San Isidro labrador Chapel, Purok Lanzones Brgy. Pandapan (Reference number: 061-02-12)- POL",-,111904.48,111904.48,-,111904.32,0.16
Asphalting of Roads,"San Isidro labrador Chapel, Purok Lanzones Brgy. Pandapan (Reference number: 061-02-12)- Contingencies",-,2619.52,2619.52,-,-,2619.52
Total,-,-,294000,294000,134000,153800.32,6199.68
Asphalting of Roads,"Purok Tandang Sora, Brgy. Poblacion (Reference number: 062-02-12)- Materials",-,204615,204615,2250,202114,251
Asphalting of Roads,"Purok Tandang Sora, Brgy. Poblacion (Reference number: 062-02-12)- Labor",-,46300,46300,-,46300,-
Asphalting of Roads,"Purok Tandang Sora, Brgy. Poblacion (Reference number: 062-02-12)- POL",-,80480,80480,-,80479.95,0.05
Asphalting of Roads,"Purok Tandang Sora, Brgy. Poblacion (Reference number: 062-02-12)- Contingencies",-,7741.48,7741.48,-,2794,4947.48
Total,-,-,339136.48,339136.48,2250,331687.95,5198.53
Asphalting of Roads,Purok Narra (Rd. Going Madayag Residence) Brgy. Visayan Village (Reference number: 063-02-12)- Materials,-,100615,100615,100615,-,-
Asphalting of Roads,Purok Narra (Rd. Going Madayag Residence) Brgy. Visayan Village (Reference number: 063-02-12)- Labor,-,34902,34902,-,-,34902
Asphalting of Roads,Purok Narra (Rd. Going Madayag Residence) Brgy. Visayan Village (Reference number: 063-02-12)- POL,-,64995,64995,-,64994.98,0.02
Asphalting of Roads,Purok Narra (Rd. Going Madayag Residence) Brgy. Visayan Village (Reference number: 063-02-12)- Contingencies,-,3888,3888,-,-,3888
Total,-,-,204400,204400,100615,64994.98,38790.02
Asphalting of Roads,Purok Rambutan (Melendres Compound) Brgy. East (Reference number: 066-02-12)- Materials,-,524615,524615,-,524337.3,277.7
Asphalting of Roads,Purok Rambutan (Melendres Compound) Brgy. East (Reference number: 066-02-12)- Labor,-,60124,60124,-,60124,-
Asphalting of Roads,Purok Rambutan (Melendres Compound) Brgy. East (Reference number: 066-02-12)- POL,-,178794,178794,-,178793.86,0.14
Asphalting of Roads,Purok Rambutan (Melendres Compound) Brgy. East (Reference number: 066-02-12)- Contingencies,-,15867,15867,-,10353.11,5513.89
Total,-,-,779400,779400,-,773608.27,5791.73
Asphalting of Roads,"Purok Pioneer, Brgy. Visayan Village (Reference number: 067-02-12)- Materials",-,338615,338615,2250,336114,251
Asphalting of Roads,"Purok Pioneer, Brgy. Visayan Village (Reference number: 067-02-12)- Labor",-,48314,48314,-,44043.5,4270.5
Asphalting of Roads,"Purok Pioneer, Brgy. Visayan Village (Reference number: 067-02-12)- POL",-,101169.48,101169.48,-,101169.26,0.22
Asphalting of Roads,"Purok Pioneer, Brgy. Visayan Village (Reference number: 067-02-12)- Contingencies",-,11901.52,11901.52,-,-,11901.52
Total,-,-,500000,500000,2250,481326.76,16423.24
Asphalting of Roads,"GKK IKP Suaybaguio Dist., Brgy. North (Reference number: 068-02-12)- Materials",-,67000,67000,67000,-,-
Asphalting of Roads,"GKK IKP Suaybaguio Dist., Brgy. North (Reference number: 068-02-12)- Labor",-,28768,28768,-,-,28768
Asphalting of Roads,"GKK IKP Suaybaguio Dist., Brgy. North (Reference number: 068-02-12)- POL",-,30232,30232,-,-,30232
Total,-,-,126000,126000,67000,-,59000
Asphalting of Roads,"Villa Rita Subd., Purok 3 Unit 5, Brgy. Apokon (Reference number: 069-02-12)- Materials",-,338615,338615,338615,-,-
Asphalting of Roads,"Villa Rita Subd., Purok 3 Unit 5, Brgy. Apokon (Reference number: 069-02-12)- Labor",-,48314,48314,-,48314,-
Asphalting of Roads,"Villa Rita Subd., Purok 3 Unit 5, Brgy. Apokon (Reference number: 069-02-12)- POL",-,101169.48,101169.48,-,101169.26,0.22
Asphalting of Roads,"Villa Rita Subd., Purok 3 Unit 5, Brgy. Apokon (Reference number: 069-02-12)- Contingencies",-,11901.52,11901.52,-,6344.95,5556.57
Total,-,-,500000,500000,338615,155828.21,5556.79
Asphalting of Roads,"Purok Erlynville, Brgy. San Miguel (Reference number: 071-02-12)- Materials",-,405615,405615,405615,-,-
Asphalting of Roads,"Purok Erlynville, Brgy. San Miguel (Reference number: 071-02-12)- Labor",-,48314,48314,-,48314,-
Asphalting of Roads,"Purok Erlynville, Brgy. San Miguel (Reference number: 071-02-12)- POL",-,75775.48,75775.48,-,75775.45,0.03
Asphalting of Roads,"Purok Erlynville, Brgy. San Miguel (Reference number: 071-02-12)- Contingencies",-,14615.52,14615.52,-,11893.42,2722.1
Total,-,-,544320,544320,405615,135982.87,2722.13
Asphalting of Roads,Christ the King Cathedral (parking space) Brgy. South (Reference number: 072-02-12)- Materials,-,119000,119000,-,119000,-
Asphalting of Roads,Christ the King Cathedral (parking space) Brgy. South (Reference number: 072-02-12)- Labor,-,34902,34902,-,33969,933
Asphalting of Roads,Christ the King Cathedral (parking space) Brgy. South (Reference number: 072-02-12)- POL,-,65920,65920,-,65919.88,0.12
Asphalting of Roads,Christ the King Cathedral (parking space) Brgy. South (Reference number: 072-02-12)- Contingencies,-,4178,4178,-,-,4178
Total,-,-,224000,224000,-,218888.88,5111.12
Asphalting of Roads,"Infront of Pagsabangan Brgy. Hall, Brgy. Pagsabangan (Reference number: 073-02-12)- Materials",-,149000,149000,-,149000,-
Asphalting of Roads,"Infront of Pagsabangan Brgy. Hall, Brgy. Pagsabangan (Reference number: 073-02-12)- Labor",-,35726,35726,-,-,35726
Asphalting of Roads,"Infront of Pagsabangan Brgy. Hall, Brgy. Pagsabangan (Reference number: 073-02-12)- POL",-,62554.05,62554.05,-,-,62554.05
Asphalting of Roads,"Infront of Pagsabangan Brgy. Hall, Brgy. Pagsabangan (Reference number: 073-02-12)- Contingencies",-,5475.95,5475.95,-,-,5475.95
Total,-,-,252756,252756,-,149000,103756
Asphalting of Roads,Floraville - Purok Cadena de Amor Phase 2 Brgy. Visayan Village (Reference number: 074-02-12)- Materials,-,613615,613615,-,612984,631
Asphalting of Roads,Floraville - Purok Cadena de Amor Phase 2 Brgy. Visayan Village (Reference number: 074-02-12)- Labor,-,60124,60124,-,60124,-
Asphalting of Roads,Floraville - Purok Cadena de Amor Phase 2 Brgy. Visayan Village (Reference number: 074-02-12)- POL,-,152710,152710,-,152709.54,0.46
Asphalting of Roads,Floraville - Purok Cadena de Amor Phase 2 Brgy. Visayan Village (Reference number: 074-02-12)- Contingencies,-,21551,21551,-,8186.09,13364.91
Total,-,-,848000,848000,-,834003.63,13996.37
Asphalting of Roads,"Adela Subd., Purok 3 Unit 6, Brgy. Apokon (Reference number: 075-02-12)- Materials",-,338615,338615,2250,336114,251
Asphalting of Roads,"Adela Subd., Purok 3 Unit 6, Brgy. Apokon (Reference number: 075-02-12)- Labor",-,48314,48314,-,-,48314
Asphalting of Roads,"Adela Subd., Purok 3 Unit 6, Brgy. Apokon (Reference number: 075-02-12)- POL",-,101219.48,101219.48,-,-,101219.48
Asphalting of Roads,"Adela Subd., Purok 3 Unit 6, Brgy. Apokon (Reference number: 075-02-12)- Contingencies",-,11851.52,11851.52,-,-,11851.52
Total,-,-,500000,500000,2250,336114,161636
Asphalting of Roads,"North Eagle IV, Brgy. Mankilam (Reference number: 076-02-12)- Materials",-,338615,338615,338615,-,-
Asphalting of Roads,"North Eagle IV, Brgy. Mankilam (Reference number: 076-02-12)- Labor",-,48314,48314,-,40703.49,7610.51
Asphalting of Roads,"North Eagle IV, Brgy. Mankilam (Reference number: 076-02-12)- POL",-,101219.48,101219.48,-,101219.37,0.11
Asphalting of Roads,"North Eagle IV, Brgy. Mankilam (Reference number: 076-02-12)- Contingencies",-,11851.52,11851.52,-,10930.32,921.2
Total,-,-,500000,500000,338615,152853.18,8531.82
Asphalting of Roads,"Purok 3, Brgy. La Filipina (Reference number: 077-02-12)- Materials",-,338615,338615,2250,336114,251
Asphalting of Roads,"Purok 3, Brgy. La Filipina (Reference number: 077-02-12)- Labor",-,48314,48314,-,38345.08,9968.92
Asphalting of Roads,"Purok 3, Brgy. La Filipina (Reference number: 077-02-12)- POL",-,101219.48,101219.48,101219.48,-,-
Asphalting of Roads,"Purok 3, Brgy. La Filipina (Reference number: 077-02-12)- Contingencies",-,11851.52,11851.52,-,-,11851.52
Total,-,-,500000,500000,103469.48,374459.08,22071.44
Asphalting of Roads,"Purok Bulaklak 3, Brgy. North (Reference number: 078-02-12)- Materials",-,338615,338615,2250,336114,251
Asphalting of Roads,"Purok Bulaklak 3, Brgy. North (Reference number: 078-02-12)- Labor",-,48314,48314,-,48314,-
Asphalting of Roads,"Purok Bulaklak 3, Brgy. North (Reference number: 078-02-12)- POL",-,101219.48,101219.48,-,101219.37,0.11
Asphalting of Roads,"Purok Bulaklak 3, Brgy. North (Reference number: 078-02-12)- Contingencies",-,11851.52,11851.52,-,8314.51,3537.01
Total,-,-,500000,500000,2250,493961.88,3788.12
Asphalting of Roads,"Purok Garcia - Greenland, Brgy. Mankilam (Reference number: 079-02-12)- Materials",-,948615,948615,2250,946114,251
Asphalting of Roads,"Purok Garcia - Greenland, Brgy. Mankilam (Reference number: 079-02-12)- Labor",-,153482,153482,-,116013.78,37468.22
Asphalting of Roads,"Purok Garcia - Greenland, Brgy. Mankilam (Reference number: 079-02-12)- POL",-,179810,179810,-,179809.89,0.11
Asphalting of Roads,"Purok Garcia - Greenland, Brgy. Mankilam (Reference number: 079-02-12)- Contingencies",-,34093,34093,-,-,34093
Total,-,-,1316000,1316000,2250,1241937.67,71812.33
Asphalting of Roads,"Purok Jumabon, Brgy. Cuambogan (Reference number: 080-02-12)- Materials",-,509615,509615,-,509340,275
Asphalting of Roads,"Purok Jumabon, Brgy. Cuambogan (Reference number: 080-02-12)- Labor",-,112284,112284,-,112284,-
Asphalting of Roads,"Purok Jumabon, Brgy. Cuambogan (Reference number: 080-02-12)- POL",-,121160,121160,-,121159.58,0.42
Asphalting of Roads,"Purok Jumabon, Brgy. Cuambogan (Reference number: 080-02-12)- Contingencies",-,18541,18541,-,9524.13,9016.87
Total,-,-,761600,761600,-,752307.71,9292.29
Asphalting of Roads,"Purok 2-A (Suico Compound), Brgy. San Miguel (Reference number: 081-02-12)- Materials",-,524615,524615,2250,522365,-
Asphalting of Roads,"Purok 2-A (Suico Compound), Brgy. San Miguel (Reference number: 081-02-12)- Labor",-,113062,113062,-,110898.26,2163.74
Asphalting of Roads,"Purok 2-A (Suico Compound), Brgy. San Miguel (Reference number: 081-02-12)- POL",-,133490,133490,-,133489.8,0.2
Asphalting of Roads,"Purok 2-A (Suico Compound), Brgy. San Miguel (Reference number: 081-02-12)- Contingencies",-,18433,18433,30,-,18403
Total,-,-,789600,789600,2280,766753.06,20566.94
Asphalting of Roads,"Purok Malipayon (Rd. Going Engr. Zaragosa Residence), Brgy. West (Reference number: 082-02-12)- Materials",-,405615,405615,2250,403157.3,207.7
Asphalting of Roads,"Purok Malipayon (Rd. Going Engr. Zaragosa Residence), Brgy. West (Reference number: 082-02-12)- Labor",-,107386,107386,-,73276.42,34109.58
Asphalting of Roads,"Purok Malipayon (Rd. Going Engr. Zaragosa Residence), Brgy. West (Reference number: 082-02-12)- POL",-,108268,108268,-,-,108268
Asphalting of Roads,"Purok Malipayon (Rd. Going Engr. Zaragosa Residence), Brgy. West (Reference number: 082-02-12)- Contingencies",-,14891,14891,-,-,14891
Total,-,-,636160,636160,2250,476433.72,157476.28
Asphalting of Roads,"Purok Pag-asa - Talisay, Brgy. West (Reference number: 083-02-12)- Materials",-,375615,375615,-,375337.3,277.7
Asphalting of Roads,"Purok Pag-asa - Talisay, Brgy. West (Reference number: 083-02-12)- Labor",-,108210,108210,-,-,108210
Asphalting of Roads,"Purok Pag-asa - Talisay, Brgy. West (Reference number: 083-02-12)- POL",-,102255,102255,-,-,102255
Asphalting of Roads,"Purok Pag-asa - Talisay, Brgy. West (Reference number: 083-02-12)- Contingencies",-,13920,13920,-,-,13920
Total,-,-,600000,600000,-,375337.3,224662.7
Asphalting of Roads,"Asphalt Overlay at Paraiso Subd., Brgy. Visayan Village (Reference number: 131-03-12)- Materials ",-,402000,402000,-,402000,-
Asphalting of Roads,"Asphalt Overlay at Paraiso Subd., Brgy. Visayan Village (Reference number: 131-03-12)- Labor ",-,48314,48314,-,-,48314
Asphalting of Roads,"Asphalt Overlay at Paraiso Subd., Brgy. Visayan Village (Reference number: 131-03-12)- POL",-,45590,45590,-,45589.89,0.11
Asphalting of Roads,"Asphalt Overlay at Paraiso Subd., Brgy. Visayan Village (Reference number: 131-03-12)- Contingencies ",-,22203.52,22203.52,-,-,22203.52
Total,-,-,518107.52,518107.52,-,447589.89,70517.63
Asphalting of Roads,Unprogram,-,506520,-,-,-,-
Concreting of Roads,-,251,13000000,10550000,4064980,5162379.29,1322640.71
Concreting of Roads,"Sator Avenue, Brgy. Mankilam (Reference number: 017-01-12)- Materials",-,351180,351180,-,342687,8493
