function_or_programs_or_project_or_activity_1,function_or_programs_or_project_or_activity_2,appropriations,allotments,obligations,unobligated_balance
20% Ecological Development Fund,Barangay Infrastructure Support Program,6300000,3875000,2509914.29,1365085.71
20% Ecological Development Fund,Project Counterdeparting Fund,700000,355000,-,355000
20% Ecological Development Fund,Maintenance of City Roads,500000,245000,38096,206904
20% Ecological Development Fund,Maintenance of Barangay Roads,500000,340000,-,340000
20% Ecological Development Fund,Maintenance of Public Building,1000000,449380.75,75490,373890.75
20% Ecological Development Fund,Interlocal Government Development and Alliances Initiative,300000,150000,62870,87130
20% Ecological Development Fund,School Building Project Counterdparting Fund,500000,-,-,-
20% Ecological Development Fund,Maintenance of Health Center and Birthing Hospital,500000,230000,-,230000
20% Ecological Development Fund,Community Based Water Sourced Development Project,500000,367000,303935,63065
20% Ecological Development Fund,"Mobilizing Stakeholders for housing Land Development- Roads, Drainage, Flood ",1500000,-,-,-
20% Ecological Development Fund,Institutional Development Support,300000,150000,2500,147500
20% Ecological Development Fund,Irrigation Counterparting Development Project,650000,-,-,-
20% Ecological Development Fund,"Construction, Rehabalitation and Improvement of Local",23622000,15644000,12000000,3644000
20% Ecological Development Fund,Rural Infrastructure Component,1500000,-,-,-
20% Ecological Development Fund,CFAD Component,1000000,443334,-,443334
20% Ecological Development Fund,CPMIU Institutional Support,300000,180000,130228.84,49771.16
20% Ecological Development Fund,Coastal Fishery Re. Mgt,300000,150000,37590,112410
20% Ecological Development Fund,Barangay Livelihood Support Project,10500000,-,-,-
20% Ecological Development Fund,Forestry and Watershed Development and Improvement,300000,160000,-,160000
20% Ecological Development Fund,Program for Tandag Invest and Incentives Promotion,300000,191500,130600,60900
20% Ecological Development Fund,Linungao and Mancagangi Island Eco-Tourism and Development Project,3000000,-,-,-
20% Ecological Development Fund,Ecological Solid Waste Management Project,2000000,1010000,296588,713412
20% Ecological Development Fund,Construction of Flood Controll and Drainage,5000000,5000000,5000000,-
20% Ecological Development Fund,Total,61072000,28940214.75,20587812.13,8352402.62
5% CDRRMC,Conduct Medical Emergency Services Program,7222725,6837231,3698400,3138831
5% CDRRMC,Establishment of Data Base,175000,75000,-,75000
5% CDRRMC,Installation of Early Warning System,100000,100000,-,100000
5% CDRRMC,Search and Rescue,2250000,2250000,1750000,500000
5% CDRRMC,Stock Filing of Food and Non Food,1000000,300000,-,300000
5% CDRRMC,Institutional Development-Formulation,571048,250000,57552,192448
5% CDRRMC,Quick Response Fund (QRF-30%),4850902,-,-,-
5% CDRRMC,Total,16169675,9812231,5505952,4306279
5% Gender and Development (GAD),Assistance to VAWC Victims and Indigent Families,1605000,1205000,830950.5,374049.5
5% Gender and Development (GAD),Nutrition Program,525000,318750,179321,139429
5% Gender and Development (GAD),Family Welfare Project,525000,525000,398840,126160
5% Gender and Development (GAD),Phil Health Services,1500000,1125000,744880,380120
5% Gender and Development (GAD),Support to 4Ps,200000,200000,120400,79600
5% Gender and Development (GAD),Enhancement of Primary Health Care Program,1566000,1174500,403800,770700
5% Gender and Development (GAD),Enhancement Program for Daycare Children and Workers,624000,468000,198000,270000
5% Gender and Development (GAD),Medical and Dental Assistance and Services,3000000,3000000,2998490,1510
5% Gender and Development (GAD),Support to Popcom,150000,75000,52423,22577
5% Gender and Development (GAD),Compre. Development Project for Youth,1800000,1582500,760315,822195
5% Gender and Development (GAD),IEC and Capability Development Program,650000,470000,243209.25,226790.75
5% Gender and Development (GAD),Elderly and PWD Program Senior Citizen,635000,464950,217310,247640
5% Gender and Development (GAD),AID to Individuals in Crisis Situation (AICS),2788855,2091641.25,1050000,1041641.25
5% Gender and Development (GAD),Operation and Maintenance of Bahay Pag-asa,854070,588994.5,335665,253329.5
5% Gender and Development (GAD),Total,16422925,13289335.75,8533603.75,4755732
