program_or_project_1,program_or_project_2,code,location,total_cost,date_started,target_completion_date,project_status_percent_of_completion,project_status_total_cost_incurred_to_date,number_of_extensions_if_any,remarks
Social Development ,Dalit Festival                                                    ,3990-,Tangub City,1800000,-,-,95,1704328,-,"The 20% Development Fund was approved on February 25, 2014"
Social Development ,Support to Tourism Promotion                   ,8912-,Tangub City,900702.6,3/1/2014,-,66,593521.45,-,-
Social Development ,Youth Program                                                  ,3392-,Tangub City,800000,-,-,74,593940,-,-
Social Development ,Aid to PNRC                                                       ,7991-876,Tangub City,500000,-,-,100,500000,-,-
Social Development ,Financial Assistance to NMSC                    ,3912-754,Tangub City,1500000,-,-,100,1500000,-,-
Social Development ,Solid Waste Management Program       ,89123-,Tangub City,2000000,3/1/2014,-,48,967015.09,-,-
Social Development ,Sports Program                                               , 3392-,Tangub City,300000,-,-,63,189360,-,-
Economic Development ,Purchase of Fertilizer and Corn Seeds   ,89116-762,Tangub City,3000000,-,-,99.88,2996500,-,-
Economic Development ,Purchase of Fertilizer and Vegetable Seeds,89116-765,Tangub City,300000,-,-,50,149770,-,-
Economic Development ,Purchase of Fruit Tree Seedlings              ,89116-765,Tangub City,400000,3/1/2014,-,100,399992,-,-
Economic Development ,Fish Sanctuary Construction                       ,89111-860,Tangub City,300000,-,-,48,142700,-,-
Economic Development ,Reforestation Program                                  ,8713-274,Tangub City,500000,3/1/2014,-,18,448828,-,-
Economic Development ,Livelihood Program                                         ,8970-765,Tangub City,500000,-,-,0.03,14850,-,-
Economic Development ,Farm Equipment                                             , 8713-227,Tangub City,500000,-,-, -   ,0,-,-
Environmental Management,Environmental Management,-,-,-,-,-,-,-,-,-
Infrastructure Sector,Loan payment of Principal                           ,9911-979,Tangub City,21870000,-,-, -   ,0,-,-
Infrastructure Sector,Concreting of Roads                                      ,8751-266,Tangub City,3000000,-,-,90,2685150,-,-
Infrastructure Sector,Construction of School Facilities              ,8751-212,Tangub City,300000,-,-,69,206317.25,-,-
Infrastructure Sector,Completion of Day Care Centers             , 8751-215,Tangub City,500000,-,-,82,409463.94,-,-
Infrastructure Sector,Improvement of Function Hall I                ,8751-811,Tangub City,250000,-,-,90,223868.28,-,-
Infrastructure Sector,Improvement of Function Hall II               ,8751-811,Tangub City,100000,"March, 2014",-,100,100000,-,-
Infrastructure Sector,Improvement of TLDC                                    ,8751-811,Tangub City,300000,-,-, -   ,-,-,-
Infrastructure Sector,Improvement of Activity Center               ,8751-811,Tangub City,300000,-,-, -   ,-,-,-
Infrastructure Sector,Improvement of Sinanduloy Cultural Center   ,-215,Tangub City,1500000,-,-,100,1500000,-,-
Infrastructure Sector,Water System Construction and Rehabilitation,8751 - 254,Tangub City,500000,-,-,81,403050.5,-,-
Infrastructure Sector,FS and Detailed Engineering Design for Urban Water Supply, 8751   -254,Tangub City,200000,-,-,100,200000,-,-
Infrastructure Sector,FS and Detailed Engineering Design for a New Public Market,8751  -  214,Tangub City,300000,-,-,100,-,-,-
Infrastructure Sector,Improvement of Public Market             ,8751  -  214,Tangub City,2250000,-,-,77,1732319,-,-
Infrastructure Sector,Improvement of GADTC Building               ,8751-212,Tangub City,3240000,-,-,57,1836086.95,-,-
Infrastructure Sector,Construction of Barangay Facilities           ,8751-215,Tangub City,5000000,-,-,51,2547258.64,-,-
Infrastructure Sector,NIA Equity                                                         ,8751  -270,Tangub City,950000,-,-,99.9,949923.97,-,-
Macro Sector ,Peace and Order                                               ,1182-797,Tangub City,2000000,-,-,3.69,73880,-,-
Macro Sector ,Summer Job Program                                     ,5991-795,Tangub City,300000,-,-,80,238518,-,-
Total,Total,Total,Total,"P 56,160,702.60",-,-,-,23306641.07,-,-
