developmental_projects_1,developmental_projects_2,status,current_appropriation,total_appropriation,expenditures_continuing_2012,expenditures_current_2013,expenditure_total,total_balance
Social Development,Covered Court,-,15000000,15000000,-,-,-,15000000
Social Development,Construction of City Health Building,-,10000000,10000000,-,-,-,10000000
Social Development,Land Banking,-,10000000,10000000,-,-,-,10000000
Economic Development,New Public Market (Loan Amortization),-,32500000,32500000,-,8234169.17,8234169.17,24265830.83
Economic Development,Heavy Equipment (Loan Amortization),-,16000000,16000000,-,4022483.72,4022483.72,11977516.28
Economic Development,Drainage Improvement,-,7000000,7000000,-,-,-,7000000
Economic Development,Procurement of 2 units sanitation truck ,-,3000000,3000000,-,-,-,3000000
Economic Development,Road Concreting,-,5000000,5000000,-,-,-,5000000
Economic Development,Multi-Purpose Complex Building,-,14115819,14115819,-,-,-,14115819
Grand Total,Grand Total,-,112615819,112615819,-,12256652.89,12256652.89,100359166.1
