program_or_project_1,program_or_project_2,program_or_project_3,location,total_cost,date_started,target_completion_date,project_status_percent_completion_(financial),project_status_total_cost_incurred_to_date,number_of_extensions_if_any,remarks
Social Development,Financial Assistance to Barangy Development Projects,Financial Assistance to Barangay Development Projects,31 barangays,13000000,-,-,-,-,-,-
Social Development,Construction of Multi-Purpose Hall or Center,Construction of Multi-Purpose Hall or Center,-,3000000,-,-,-,-,-,-
Economic Development,New Public Market (Loan Amortization),New Public Market (Loan Amortization),Poblacion,30000000,12/16/2013,3/6/2026,-,8662679.84,-,-
Economic Development,Heavy Equipment (Loan Amortizatio),Heavy Equipment (Loan Amortizatio),-,17000000,12/9/2011,3/9/2018,-,3746023.86,-,-
Economic Development,Barangay Infra for Development Projects,Road Concreting-Edlimar Subd.,Lumbo,1076000,-,-,-,-,-,-
Economic Development,Barangay Infra for Development Projects,LGU-Equity (10%) to the SALINTUBIG Program,-,424000,-,-,-,-,-,-
Economic Development,Barangay Infra for Development Projects,Construction of Box Culvert and Concreting of approaches going to Cabanuangan,Poblacion,1850000,-,-,-,-,-,-
Economic Development,Barangay Infra for Development Projects,Road Concreting- Purok 6-A gong to Cabanuangan,Poblacion,1000000,-,-,-,-,-,-
Economic Development,Barangay Infra for Development Projects,Construction of Day Care Center Paglaum,Lumbo,300000,-,-,-,-,-,-
Economic Development,Barangay Infra for Development Projects,Power utilities for the 2 housing Projects,Bagontaas,2780196,-,-,-,-,-,-
Economic Development,Barangay Infra for Development Projects,Water utilities for 2 housing projects,Bagontaas,2491017,-,-,-,-,-,-
Economic Development,Barangay Infra for Development Projects,Un-programmed or Contigency Fund,-,6000000,-,-,-,-,-,-
Economic Development,Barangay Infra for Development Projects,Completion of the BLISS Learning Center,Bagontaas,700000,-,-,-,-,-,-
Economic Development,Barangay Infra for Development Projects,Construction of Covered Court,Guinoyoran,1500000,-,-,-,-,-,-
Economic Development,Barangay Infra for Development Projects,Construction of Covered Court (Phase-I),"Dabong2x, Mailag",1500000,-,-,-,-,-,-
Economic Development,Barangay Infra for Development Projects,Construction of Covered Court (Phase-I),Sugod,1500000,-,-,-,-,-,-
Economic Development,Barangay Infra for Development Projects,Construction of Covered Court (Phase-I),"Purok 3, Petisyon, Barobo",1500000,-,-,-,-,-,-
Economic Development,Barangay Infra for Development Projects,Construction of Covered Court (Phase-II),"Grand Meadows, Batangan",1000000,-,-,-,-,-,-
Economic Development,Barangay Infra for Development Projects,Construction of Covered Court,Lurugan Elem. School,500000,-,-,-,-,-,-
Economic Development,Barangay Infra for Development Projects,Streetlights,Poblacion,2000000,-,-,-,-,-,-
Economic Development,Barangay Infra for Development Projects,Additional Funds for Heavy Equipment Excavator,-,5000000,-,-,-,-,-,-
Economic Development,Barangay Infra for Development Projects,Road Opening ,"Tagostos, Poblacion to Lumbo",500000,-,-,-,-,-,-
Economic Development,Barangay Infra for Development Projects,"3"" Dia. Distribution Line  tapping at Liloan area to supply P-6 Saging","Pacangan and Sinanlayan, Lumbo",500000,-,-,-,-,-,-
Economic Development,Barangay Infra for Development Projects,Construction of Multi-Purpose stage (Phase I),Laligan,500000,-,-,-,-,-,-
Economic Development,Barangay Infra for Development Projects,Purchase of 1 unit self loading 10-wheeler double differential carhgo truck,-,3000000,-,-,-,-,-,-
Economic Development,Barangay Infra for Development Projects,Perimeter fence,Lourdes Elem. School,150000,-,-,-,-,-,-
Economic Development,Suport to Food Security,-,-,2940000,-,-,-,-,-,-
Economic Development,Barangay Road Rehabilitation Program,-,31 Barangays,15500000,-,-,-,3159045.5,-,-
Economic Development,Purchase of Heavy Equipment,-,-,7000000,-,-,-,-,-,-
Total,Total,Total,-,108211213,-,-,-,15567749.2,-,-
,,,,,,,,,,
-,-,Sum,-,124211213,-,-,-,-,-,-
Note: Different Total,,,,,,,,,,
