year,month,day,hours,baclaran_northbound_out,edsa_southbound_out,edsa_northbound_out,libertad_southbound_out,libertad_northbound_out,gil_puyat_southbound_out,gil_puyat_northbound_out,vito_cruz_southbound_out,vito_cruz_northbound_out,quirouto_southbound_out,quirouto_northbound_out,pedro_gil_southbound_out,pedro_gil_northbound_out,un_avenue_southbound_out,un_avenue_northbound_out,central_southbound_out,central_northbound_out,carriedo_southbound_out,carriedo_northbound_out,doroteo_jose_southbound_out,doroteo_jose_northbound_out,bambang_southbound_out,bambang_northbound_out,tayuman_southbound_out,tayuman_northbound_out,blumentritt_southbound_out,blumentritt_northbound_out,abad_santos_southbound_out,abad_santos_northbound_out,r_papa_southbound_out,r_papa_northbound_out,5th_avenue_southbound_out,5th_avenue_northbound_out,monumento_southbound_out,monumento_northbound_out,balouttawak_southbound_out,balouttawak_northbound_out,roosevelt_southbound_out,roosevelt_northbound_out
2013,January,Monday,4:00-5:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,January,Monday,5:00-6:00,5392,904,0,163,49,830,96,217,19,139,92,396,241,449,680,80,137,304,292,77,289,30,48,52,213,80,137,7,51,2,88,22,96,135,3864,0,105,0,159
2013,January,Monday,6:00-7:00,8537,2734,0,785,59,2876,182,883,224,503,317,1021,548,1505,1121,468,1183,622,670,494,727,102,162,307,353,48,447,18,147,8,219,20,360,94,7281,0,234,0,429
2013,January,Monday,7:00-8:00,2613,4925,0,1285,271,4874,707,2175,261,1497,338,1654,1330,3563,2369,943,2013,1712,1052,762,1601,144,275,274,823,43,641,33,187,12,270,63,672,361,4907,0,438,0,994
2013,January,Monday,8:00-9:00,1085,4001,0,1390,55,3834,285,1854,321,1686,507,2227,992,3554,1939,663,2418,1317,2095,1202,1348,105,357,253,915,39,570,17,224,7,346,57,643,89,2847,0,474,0,1076
2013,January,Monday,9:00-10:00,1110,2979,0,1033,105,2990,257,1493,261,1390,254,1912,1216,2514,2112,880,1731,1363,1531,609,1611,121,296,231,1038,49,575,7,194,5,273,9,444,243,2094,0,324,0,917
2013,January,Monday,10:00-11:00,1166,2492,0,949,30,2486,291,1123,269,849,347,1513,669,1595,1738,838,1443,1872,1018,727,1449,162,299,199,860,72,550,42,208,7,381,11,488,79,3582,0,289,0,883
2013,January,Monday,11:00-12:00,1400,2910,0,933,57,2277,480,1323,202,930,261,1318,827,1198,1717,882,1320,1256,1356,854,1319,100,315,256,832,77,592,8,233,9,343,42,552,163,2717,0,395,0,1137
2013,January,Monday,12:00-1:00 PM,1296,2949,0,863,63,2483,168,1077,254,771,343,1566,776,1724,1203,856,1134,1123,1069,274,1842,71,330,361,699,16,642,32,279,10,441,23,570,233,5256,0,449,0,1158
2013,January,Monday,1:00-2:00,1186,2903,0,946,102,3064,207,1029,289,822,290,1495,637,1661,1153,683,1330,854,1462,538,1546,130,281,238,698,68,606,28,241,7,376,25,542,304,4392,0,437,0,1308
2013,January,Monday,2:00-3:00,1103,2756,0,980,73,2896,299,1077,190,733,317,1381,476,1431,1122,534,1230,1076,1373,842,1472,137,337,199,808,107,676,22,267,23,597,42,625,284,5294,0,502,0,1442
2013,January,Monday,3:00-4:00,1331,3605,0,976,80,2290,287,892,211,742,240,960,644,1438,428,389,1015,940,1412,768,1472,90,342,262,797,121,777,75,301,5,677,23,829,338,6824,0,685,0,1743
2013,January,Monday,4:00-5:00,1085,3344,0,855,152,2624,184,864,179,515,374,1097,590,959,510,602,690,1305,1051,795,1683,124,411,240,1070,108,1025,53,441,10,769,42,1024,796,11047,0,798,0,2216
2013,January,Monday,5:00-6:00,1453,4868,0,1477,27,3251,242,998,226,734,252,1346,384,828,554,413,608,1676,754,766,1985,148,426,547,961,119,1363,29,509,31,1110,49,1619,124,11878,0,1056,0,2976
2013,January,Monday,6:00-7:00,1224,4353,0,1274,88,2913,302,957,203,833,216,1427,794,689,457,418,556,1037,829,883,1827,148,371,310,1458,171,1494,108,666,39,1289,72,1809,513,7261,0,1285,0,3190
2013,January,Monday,7:00-8:00,1393,3407,0,1085,27,2390,180,564,172,681,144,886,466,470,385,226,390,515,542,524,1236,85,299,394,1033,133,1353,39,672,38,1122,110,1562,193,4611,0,988,0,2795
2013,January,Monday,8:00-9:00,1071,1754,0,709,105,1813,30,491,117,523,131,528,251,420,297,205,246,314,325,348,1073,113,276,222,1176,46,1200,12,545,25,857,68,900,531,2348,0,686,0,1918
2013,January,Monday,9:00-10:00,389,723,0,341,76,434,23,305,82,278,82,377,215,213,167,78,93,129,117,178,312,59,120,114,316,25,337,9,294,19,421,60,468,475,482,0,455,0,1142
2013,January,Monday,10:00-11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,January,Tuesday,4:00-5:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,January,Tuesday,5:00-6:00,4563,1371,0,158,47,799,92,212,18,130,86,381,232,453,686,81,139,314,302,76,284,30,47,52,214,78,134,7,51,2,88,21,94,131,3650,0,108,0,157
2013,January,Tuesday,6:00-7:00,7556,2885,0,757,57,2769,175,862,219,470,296,982,527,1518,1131,474,1198,643,692,486,715,101,160,308,354,47,436,18,148,8,221,20,351,91,6889,0,242,0,423
2013,January,Tuesday,7:00-8:00,1936,4746,0,1240,261,4693,681,2125,255,1397,316,1591,1279,3595,2390,955,2038,1769,1088,749,1574,142,272,275,825,42,625,33,188,12,272,62,654,349,4444,0,452,0,979
2013,January,Tuesday,8:00-9:00,1136,3982,0,1176,53,3280,274,1755,313,1576,473,2090,954,3553,1956,672,2449,1361,2166,1182,1325,104,353,254,918,38,557,17,225,7,349,55,626,86,2407,0,489,0,1060
2013,January,Tuesday,9:00-10:00,1199,2833,0,905,101,2651,248,1322,255,1287,237,1775,1169,2536,2131,917,1753,1409,1583,599,1584,120,293,232,1041,47,561,7,195,5,275,9,433,234,1788,0,334,0,904
2013,January,Tuesday,10:00-11:00,1208,2293,0,877,29,2086,280,1099,263,753,324,1523,644,1617,1754,848,1462,1934,1052,714,1425,160,296,200,863,71,536,42,209,7,384,11,476,76,3249,0,298,0,870
2013,January,Tuesday,11:00-12:00,1228,2787,0,922,55,2081,462,1249,197,868,243,1268,795,1209,1732,894,1337,1298,1402,840,1297,99,312,257,835,76,578,8,234,9,345,41,538,158,2429,0,407,0,1120
2013,January,Tuesday,12:00-1:00 PM,1102,2840,0,845,61,2313,161,1052,248,719,320,1506,746,1740,1214,867,1148,1161,1105,269,1812,70,327,362,702,16,626,32,280,10,445,22,555,225,4887,0,463,0,1141
2013,January,Tuesday,1:00-2:00,1046,3072,0,936,98,2616,199,1005,282,775,271,1444,612,1643,1164,692,1347,882,1511,530,1521,128,278,238,700,66,591,28,242,7,379,24,528,294,4020,0,451,0,1289
2013,January,Tuesday,2:00-3:00,1222,2785,0,864,71,2546,287,1002,186,661,296,1314,458,1444,1132,540,1246,1112,1419,828,1448,135,334,200,811,104,660,22,268,23,601,41,609,274,4900,0,518,0,1422
2013,January,Tuesday,3:00-4:00,1338,3322,0,941,78,2205,276,871,207,692,224,923,619,1451,432,394,1028,971,1459,755,1448,89,338,263,800,118,758,75,303,6,682,22,807,326,6402,0,706,0,1717
2013,January,Tuesday,4:00-5:00,1225,2970,0,825,147,2526,177,844,175,480,349,1055,568,968,515,610,698,1348,1086,782,1655,122,407,241,1074,106,1000,53,443,10,775,41,998,770,10534,0,823,0,2184
2013,January,Tuesday,5:00-6:00,1240,4748,0,1425,26,3130,233,975,221,685,236,1294,369,835,559,418,616,1732,779,753,1952,147,421,549,964,116,1330,29,512,32,1119,48,1578,120,11386,0,1090,0,2933
2013,January,Tuesday,6:00-7:00,1085,4261,0,1230,85,2805,290,934,199,777,201,1373,764,695,461,423,563,1072,856,868,1797,146,367,311,1463,167,1458,108,669,39,1299,70,1763,496,6816,0,1326,0,3144
2013,January,Tuesday,7:00-8:00,1390,3230,0,1047,26,2300,173,551,168,636,134,852,448,474,388,229,395,532,560,516,1215,84,296,395,1036,130,1320,39,675,38,1130,107,1522,187,4288,0,1020,0,2755
2013,January,Tuesday,8:00-9:00,1244,1775,0,684,101,1422,28,479,115,488,122,508,241,423,299,208,249,324,336,343,1055,111,274,223,1179,45,1171,12,547,25,864,66,877,513,2126,0,708,0,1890
2013,January,Tuesday,9:00-10:00,469,650,0,317,55,403,16,289,63,259,59,360,156,210,124,79,72,134,112,175,330,59,110,115,327,24,373,9,259,19,469,59,517,459,439,0,469,0,1126
2013,January,Tuesday,10:00-11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,January,Wednesday,4:00-5:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,January,Wednesday,5:00-6:00,5150,1019,0,149,45,776,90,199,17,126,83,358,218,397,600,69,119,388,373,71,266,29,45,52,215,79,136,7,51,2,88,21,93,131,4063,0,109,0,169
2013,January,Wednesday,6:00-7:00,8753,2477,0,716,54,2688,170,810,205,454,286,924,496,1328,989,408,1031,792,853,455,670,97,153,310,356,47,442,18,147,8,220,20,349,91,7821,0,245,0,454
2013,January,Wednesday,7:00-8:00,3376,4461,0,1172,247,4556,661,1995,239,1349,305,1497,1203,3146,2091,822,1754,2181,1340,702,1475,136,260,277,830,43,634,33,187,12,271,61,651,350,5805,0,458,0,1053
2013,January,Wednesday,8:00-9:00,1448,3597,0,1336,50,3844,266,1705,294,1542,457,2085,898,3220,1712,578,2107,1678,2669,1108,1242,99,338,255,924,38,564,17,224,7,348,55,623,86,3374,0,495,0,1140
2013,January,Wednesday,9:00-10:00,1275,2618,0,890,95,2646,240,1428,240,1366,229,1765,1100,2626,1865,789,1508,1736,1950,561,1484,115,280,233,1047,48,568,7,194,5,274,9,430,235,2658,0,338,0,971
2013,January,Wednesday,10:00-11:00,1163,2265,0,897,27,2308,272,1033,247,790,313,1453,606,1459,1535,714,1258,2384,1297,669,1335,153,282,201,868,72,544,42,208,7,383,11,473,77,4049,0,301,0,935
2013,January,Wednesday,11:00-12:00,1399,2882,0,936,52,2129,448,1213,185,838,235,1193,748,1058,1516,769,1150,1600,1728,787,1215,95,298,258,839,77,586,8,232,9,345,41,535,158,2975,0,412,0,1204
2013,January,Wednesday,12:00-1:00 PM,1238,3007,0,798,58,2321,157,988,233,695,309,1417,702,1522,1062,746,988,1431,1361,252,1697,67,312,364,706,16,635,32,279,10,444,22,553,226,5550,0,469,0,1227
2013,January,Wednesday,1:00-2:00,1164,3057,0,908,93,2830,193,943,265,748,262,1369,576,1467,1018,595,1159,1087,1862,496,1424,123,266,240,704,67,599,28,240,7,378,24,526,295,4508,0,456,0,1386
2013,January,Wednesday,2:00-3:00,1080,2859,0,854,67,2699,279,988,174,647,286,1230,430,1234,991,459,1072,1370,1749,776,1356,129,319,201,815,105,669,22,267,23,600,40,606,275,5342,0,525,0,1528
2013,January,Wednesday,3:00-4:00,1247,3484,0,890,73,2141,268,818,194,669,217,869,583,1270,378,339,885,1197,1799,707,1356,85,323,265,804,120,769,75,301,5,681,22,803,328,6687,0,715,0,1846
2013,January,Wednesday,4:00-5:00,1093,3094,0,780,139,2453,172,793,164,464,337,992,534,847,451,525,601,1662,1338,732,1550,117,388,243,1080,107,1014,53,441,10,773,41,993,773,10578,0,833,0,2348
2013,January,Wednesday,5:00-6:00,1386,4428,0,1347,24,3039,226,915,207,662,227,1218,348,731,489,360,530,2135,960,705,1828,140,402,552,969,118,1348,28,509,32,1117,48,1570,120,11656,0,1103,0,3153
2013,January,Wednesday,6:00-7:00,1224,4183,0,1162,81,2723,282,877,187,751,194,1292,718,608,403,364,484,1321,1055,813,1683,140,351,313,1471,169,1478,108,665,39,1297,70,1754,497,7081,0,1342,0,3380
2013,January,Wednesday,7:00-8:00,1253,3427,0,989,25,2233,168,517,158,614,130,802,421,415,340,197,340,656,690,483,1139,80,283,397,1042,132,1338,39,671,38,1129,106,1514,187,4190,0,1032,0,2962
2013,January,Wednesday,8:00-9:00,1068,1748,0,646,96,1623,28,450,108,471,118,478,227,371,262,179,214,400,414,321,988,106,261,224,1186,46,1187,12,544,25,863,66,873,515,1996,0,717,0,2032
2013,January,Wednesday,9:00-10:00,394,666,0,302,55,418,17,282,59,264,74,351,174,189,125,68,81,165,138,164,302,56,104,115,366,25,333,9,235,19,313,58,474,461,426,0,475,0,1210
2013,January,Wednesday,10:00-11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,January,Thursday,4:00-5:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,January,Thursday,5:00-6:00,4812,1039,0,151,45,774,90,205,18,124,81,357,217,404,611,76,130,301,289,73,273,29,46,50,206,75,129,6,49,2,85,20,90,125,3637,0,106,0,152
2013,January,Thursday,6:00-7:00,7898,2536,0,726,54,2683,170,833,211,446,282,921,494,1354,1008,444,1123,615,663,467,687,97,154,297,341,45,419,18,141,8,213,19,337,87,6867,0,236,0,409
2013,January,Thursday,7:00-8:00,2444,4568,0,1189,250,4547,660,2053,246,1328,300,1492,1199,3206,2131,896,1911,1694,1042,720,1512,137,262,265,795,40,601,31,180,11,262,59,627,335,4650,0,443,0,948
2013,January,Thursday,8:00-9:00,1365,3859,0,1271,50,3415,266,1709,303,1508,450,1923,895,3091,1744,630,2136,1304,2074,1136,1273,100,340,244,885,36,535,16,215,7,336,53,600,82,2785,0,478,0,1026
