year,month,day,hours,baclaran_northbound_in,edsa_southbound_in,edsa_northbound_in,libertad_southbound_in,libertad_northbound_in,gil_puyat_southbound_in,gil_puyat_northbound_in,vito_cruz_southbound_in,vito_cruz_northbound_in,quirino_southbound_in,quirino_northbound_in,pedro_gil_southbound_in,pedro_gil_northbound_in,un_avenue_southbound_in,un_avenue_northbound_in,central_southbound_in,central_northbound_in,carriedo_southbound_in,carriedo_northbound_in,doroteo_jose_southbound_in,doroteo_jose_northbound_in,bambang_southbound_in,bambang_northbound_in,tayuman_southbound_in,tayuman_northbound_in,blumentritt_southbound_in,blumentritt_northbound_in,abad_santos_southbound_in,abad_santos_northbound_in,r_papa_southbound_in,r_papa_northbound_in,5th_avenue_southbound_in,5th_avenue_northbound_in,monumento_southbound_in,monumento_northbound_out,balintawak_southbound_in,balintawak_northbound_out,roosevelt_southbound_in,roosevelt_northbound_out
2014,January,Monday,4:00-5:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,January,Monday,5:00-6:00,5418,915,0,160,48,835,97,222,19,132,87,396,241,464,702,85,146,293,282,75,281,30,48,47,194,77,132,7,53,2,84,23,102,131,3868,0,126,0,164
2014,January,Monday,6:00-7:00,8435,2766,0,770,58,2892,183,903,229,478,302,1021,548,1554,1158,497,1257,599,645,480,706,103,163,279,321,46,428,19,151,8,209,21,382,91,7380,0,282,0,443
2014,January,Monday,7:00-8:00,2465,4982,0,1261,265,4902,711,2226,267,1423,322,1653,1330,3681,2447,1003,2139,1648,1013,740,1555,145,276,249,748,41,615,33,192,11,257,67,711,349,5037,0,528,0,1027
2014,January,Monday,8:00-9:00,1305,4146,0,1127,54,3591,287,1904,328,1507,482,2237,992,3740,2003,705,2570,1268,2017,1168,1309,105,359,230,832,37,547,17,230,7,330,60,680,86,3032,0,570,0,1112
2014,January,Monday,9:00-10:00,1069,3504,0,1005,103,3195,259,1252,267,983,242,1725,1215,2608,2182,963,1840,1312,1474,592,1565,122,298,210,943,47,551,8,199,4,260,9,470,235,2283,0,390,0,948
2014,January,Monday,10:00-11:00,1082,3179,0,900,29,2445,293,1086,275,767,330,1324,669,1424,1796,823,1534,1802,980,706,1407,163,301,181,782,70,527,43,214,6,363,12,517,76,3798,0,347,0,913
2014,January,Monday,11:00-12:00,1090,3143,0,917,56,2290,482,1354,207,884,248,1318,827,1238,1773,938,1403,1209,1306,830,1281,101,317,233,756,74,568,8,239,9,327,44,584,158,2954,0,475,0,1175
2014,January,Monday,12:00-1:00 PM,1075,3139,0,859,62,2497,168,1102,259,732,326,1565,776,1781,1243,910,1205,1081,1029,266,1789,71,332,328,636,16,616,33,286,10,421,24,603,225,5432,0,541,0,1197
2014,January,Monday,1:00-2:00,1103,3169,0,977,100,2777,208,1053,296,789,276,1512,636,1716,1192,726,1413,822,1407,523,1502,131,283,216,635,65,581,28,247,7,359,26,574,294,4601,0,526,0,1352
2014,January,Monday,2:00-3:00,1045,3099,0,961,72,2699,300,1102,195,696,301,1381,476,1479,1159,567,1307,1036,1322,818,1430,138,339,181,735,102,648,23,274,22,569,44,662,274,5536,0,605,0,1491
2014,January,Monday,3:00-4:00,1170,3872,0,957,79,2303,288,913,216,705,228,960,644,1486,443,414,1079,905,1359,745,1430,91,344,239,725,116,745,77,309,5,646,24,877,327,7118,0,824,0,1801
2014,January,Monday,4:00-5:00,1142,3432,0,838,150,2639,185,885,183,489,356,1096,590,991,527,640,733,1256,1012,772,1635,124,413,219,973,104,983,54,453,10,733,45,1084,770,11495,0,960,0,2291
2014,January,Monday,5:00-6:00,1377,5203,0,1449,26,3269,243,1021,231,698,240,1345,384,855,573,439,646,1614,726,744,1928,149,428,498,873,114,1307,29,522,30,1059,52,1714,120,12360,0,1271,0,3076
2014,January,Monday,6:00-7:00,1247,4546,0,1250,87,2929,303,979,208,791,205,1427,794,712,472,444,591,998,798,857,1774,149,373,282,1326,164,1433,110,683,37,1229,76,1916,496,7665,0,1547,0,3298
2014,January,Monday,7:00-8:00,1164,3799,0,1064,26,2403,181,577,176,648,137,886,465,486,397,240,414,496,522,509,1200,86,301,358,939,128,1298,40,690,36,1070,116,1654,187,4805,0,1189,0,2890
2014,January,Monday,8:00-9:00,1148,1910,0,695,103,1661,30,502,120,497,124,528,250,434,306,218,261,302,313,338,1042,113,278,202,1069,45,1151,12,559,24,818,72,953,513,2552,0,826,0,1982
2014,January,Monday,9:00-10:00,298,644,0,364,75,446,23,353,84,312,78,452,215,240,170,83,99,125,119,172,366,60,115,104,355,24,341,9,290,18,365,64,404,459,562,0,521,0,1106
2014,January,Monday,10:00-11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,January,Tuesday,4:00-5:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,January,Tuesday,5:00-6:00,5162,902,0,155,47,811,94,222,19,126,83,375,229,472,714,83,142,304,292,74,276,31,48,48,197,76,131,7,54,2,87,23,102,129,3680,0,124,0,167
2014,January,Tuesday,6:00-7:00,7853,2728,0,746,56,2810,178,902,229,456,287,969,520,1580,1177,487,1230,621,669,471,693,103,164,284,327,46,425,20,156,8,217,22,384,90,7029,0,277,0,450
2014,January,Tuesday,7:00-8:00,2459,4689,0,1222,257,4435,691,2224,266,1355,306,1569,1262,3741,2487,981,2093,1710,1051,727,1527,145,278,253,760,41,610,35,199,12,268,67,715,344,4655,0,519,0,1043
2014,January,Tuesday,8:00-9:00,1816,3822,0,1020,52,3367,278,1772,328,1336,459,2119,942,3613,2036,690,2514,1316,2093,1147,1285,106,361,234,846,37,543,18,238,7,344,60,684,85,2645,0,561,0,1130
2014,January,Tuesday,9:00-10:00,1586,3179,0,840,99,2774,251,1206,267,958,230,1693,1153,2603,2217,942,1800,1361,1530,581,1537,123,299,214,959,46,547,8,206,4,271,9,473,231,2008,0,384,0,963
2014,January,Tuesday,10:00-11:00,1335,2781,0,799,28,2436,284,1089,275,796,314,1250,635,1346,1825,808,1501,1870,1017,693,1382,163,302,184,795,69,523,44,221,6,378,12,520,75,3534,0,342,0,927
2014,January,Tuesday,11:00-12:00,1386,2781,0,886,54,2260,469,1242,207,842,236,1251,785,1258,1802,918,1373,1255,1355,815,1258,101,318,237,769,74,563,8,247,9,340,45,588,155,2746,0,467,0,1193
2014,January,Tuesday,12:00-1:00 PM,1331,2904,0,832,60,2345,164,1101,259,698,310,1486,736,1811,1263,891,1179,1122,1068,261,1757,71,334,334,646,16,611,34,296,10,438,24,607,222,5184,0,532,0,1216
2014,January,Tuesday,1:00-2:00,1263,2812,0,947,97,2872,202,1052,295,751,263,1435,604,1744,1211,710,1383,853,1460,514,1475,131,284,220,645,65,577,29,255,7,374,27,577,290,4379,0,517,0,1374
2014,January,Tuesday,2:00-3:00,1254,2950,0,931,70,2616,292,1101,194,663,287,1311,451,1503,1178,555,1279,1075,1372,803,1404,138,340,184,747,101,643,24,283,23,593,44,666,270,5309,0,595,0,1514
2014,January,Tuesday,3:00-4:00,1273,3799,0,928,76,2262,280,912,216,671,218,911,611,1510,450,405,1056,939,1410,732,1404,91,345,243,737,115,740,79,320,5,672,24,882,322,6913,0,811,0,1830
2014,January,Tuesday,4:00-5:00,1212,3437,0,812,145,2563,180,884,183,466,339,1041,560,1007,536,626,717,1303,1050,758,1605,125,415,222,989,103,976,56,468,10,763,45,1091,759,11331,0,945,0,2327
2014,January,Tuesday,5:00-6:00,1565,5086,0,1404,25,3176,236,1020,231,665,228,1277,365,869,582,430,632,1674,753,730,1893,150,430,506,888,113,1297,30,541,31,1103,52,1724,118,12161,0,1251,0,3124
2014,January,Tuesday,6:00-7:00,1439,4473,0,1212,84,2846,295,978,208,754,195,1354,753,724,480,435,578,1036,828,842,1743,149,375,287,1348,163,1422,114,707,39,1280,77,1927,488,7436,0,1522,0,3350
2014,January,Tuesday,7:00-8:00,1316,3739,0,1031,26,2334,176,577,176,617,130,841,442,494,404,235,405,514,541,500,1179,86,302,364,955,127,1288,42,713,38,1114,117,1663,184,4613,0,1170,0,2935
2014,January,Tuesday,8:00-9:00,1184,1924,0,674,100,1616,29,502,120,473,118,501,238,441,311,214,256,313,325,332,1023,114,279,205,1087,44,1142,13,578,25,851,72,958,506,2401,0,812,0,2013
2014,January,Tuesday,9:00-10:00,437,568,0,332,73,423,22,352,84,297,74,429,204,244,173,81,97,129,119,169,299,60,120,106,310,24,293,9,272,19,418,64,545,453,442,0,538,0,1199
