year,month,day,hours,southbound_total_in,northbound_total_in,southbound_total_out,northbound_total_out
2012,January,Monday,4:00-5:00 AM,0,0,0,0
2012,January,Monday,5:00-6:00,9024,6637,9024,6637
2012,January,Monday,6:00-7:00,20439,14482,20439,14482
2012,January,Monday,7:00-8:00,26100,18840,26100,18840
2012,January,Monday,8:00-9:00,22740,17076,22740,17076
2012,January,Monday,9:00-10:00,18428,14956,18428,14956
2012,January,Monday,10:00-11:00,15735,14442,15735,14442
2012,January,Monday,11:00-12:00,15526,14211,15526,14211
2012,January,Monday,12:00-1:00 PM,15133,16321,15133,16321
2012,January,Monday,1:00-2:00,15469,15478,15469,15478
2012,January,Monday,2:00-3:00,14959,16599,14959,16599
2012,January,Monday,3:00-4:00,14508,18161,14508,18161
2012,January,Monday,4:00-5:00,14796,23084,14796,23084
2012,January,Monday,5:00-6:00,17917,25842,17917,25842
2012,January,Monday,6:00-7:00,16537,23218,16537,23218
2012,January,Monday,7:00-8:00,12470,17208,12470,17208
2012,January,Monday,8:00-9:00,8723,11876,8723,11876
2012,January,Monday,9:00-10:00,3965,4906,3965,4906
2012,January,Monday,10:00-11:00,0,0,0,0
2012,January,Tuesday,4:00-5:00 AM,0,0,0,0
2012,January,Tuesday,5:00-6:00,8755,6441,8755,6441
2012,January,Tuesday,6:00-7:00,19818,14109,19818,14109
2012,January,Tuesday,7:00-8:00,25366,18392,25366,18392
2012,January,Tuesday,8:00-9:00,22131,16681,22131,16681
2012,January,Tuesday,9:00-10:00,17980,14595,17980,14595
2012,January,Tuesday,10:00-11:00,15360,14148,15360,14148
2012,January,Tuesday,11:00-12:00,15167,13976,15167,13976
2012,January,Tuesday,12:00-1:00 PM,14888,16006,14888,16006
2012,January,Tuesday,1:00-2:00,15213,15173,15213,15173
2012,January,Tuesday,2:00-3:00,14820,16324,14820,16324
2012,January,Tuesday,3:00-4:00,14440,17881,14440,17881
2012,January,Tuesday,4:00-5:00,14655,22988,14655,22988
2012,January,Tuesday,5:00-6:00,17821,25593,17821,25593
2012,January,Tuesday,6:00-7:00,16397,22940,16397,22940
2012,January,Tuesday,7:00-8:00,12391,17123,12391,17123
2012,January,Tuesday,8:00-9:00,8705,11881,8705,11881
2012,January,Tuesday,9:00-10:00,3979,4956,3979,4956
2012,January,Tuesday,10:00-11:00,0,0,0,0
2012,January,Wednesday,4:00-5:00 AM,0,0,0,0
2012,January,Wednesday,5:00-6:00,8761,6815,8761,6815
2012,January,Wednesday,6:00-7:00,19820,14945,19820,14945
2012,January,Wednesday,7:00-8:00,25394,19487,25394,19487
2012,January,Wednesday,8:00-9:00,22157,17722,22157,17722
2012,January,Wednesday,9:00-10:00,17990,15448,17990,15448
2012,January,Wednesday,10:00-11:00,15390,14908,15390,14908
2012,January,Wednesday,11:00-12:00,15201,14661,15201,14661
2012,January,Wednesday,12:00-1:00 PM,14943,16730,14943,16730
2012,January,Wednesday,1:00-2:00,15269,15880,15269,15880
2012,January,Wednesday,2:00-3:00,14877,17075,14877,17075
2012,January,Wednesday,3:00-4:00,14488,18637,14488,18637
2012,January,Wednesday,4:00-5:00,14720,23815,14720,23815
2012,January,Wednesday,5:00-6:00,17873,26584,17873,26584
2012,January,Wednesday,6:00-7:00,16453,23823,16453,23823
2012,January,Wednesday,7:00-8:00,12440,17615,12440,17615
2012,January,Wednesday,8:00-9:00,8747,12212,8747,12212
2012,January,Wednesday,9:00-10:00,4010,5041,4010,5041
2012,January,Wednesday,10:00-11:00,0,0,0,0
2012,January,Thursday,4:00-5:00 AM,0,0,0,0
2012,January,Thursday,5:00-6:00,8473,6260,8473,6260
2012,January,Thursday,6:00-7:00,19167,13746,19167,13746
2012,January,Thursday,7:00-8:00,24544,17947,24544,17947
2012,January,Thursday,8:00-9:00,21429,16289,21429,16289
2012,January,Thursday,9:00-10:00,17427,14257,17427,14257
2012,January,Thursday,10:00-11:00,14908,13797,14908,13797
2012,January,Thursday,11:00-12:00,14715,13662,14715,13662
2012,January,Thursday,12:00-1:00 PM,14472,15626,14472,15626
2012,January,Thursday,1:00-2:00,14808,14793,14808,14793
2012,January,Thursday,2:00-3:00,14415,15947,14415,15947
2012,January,Thursday,3:00-4:00,14076,17440,14076,17440
2012,January,Thursday,4:00-5:00,14282,22478,14282,22478
