year,month,day,hours,baclaran_northbound_in,edsa_southbound_in,edsa_northbound_in,libertad_southbound_in,libertad_northbound_in,gil_puyat_southbound_in,gil_puyat_northbound_in,vito_cruz_southbound_in,vito_cruz_northbound_in,quirino_southbound_in,quirino_northbound_in,pedro_gil_southbound_in,pedro_gil_northbound_in,un_avenue_southbound_in,un_avenue_northbound_in,central_southbound_in,central_northbound_in,carriedo_southbound_in,carriedo_northbound_in,doroteo_jose_southbound_in,doroteo_jose_northbound_in,bambang_southbound_in,bambang_northbound_in,tayuman_southbound_in,tayuman_northbound_in,blumentritt_southbound_in,blumentritt_northbound_in,abad_santos_southbound_in,abad_santos_northbound_in,r_papa_southbound_in,r_papa_northbound_in,5th_avenue_southbound_in,5th_avenue_northbound_in,monumento_southbound_in,monumento_northbound_in,balintawak_southbound_in,balintawak_northbound_in,roosevelt_southbound_in,roosevelt_northbound_in
2010,February,Monday,4:00-5:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-
2010,February,Monday,5:00-6:00,1535,20,2636,139,187,214,782,63,165,71,309,218,230,115,171,71,14,142,225,873,35,186,14,674,48,966,13,406,36,465,28,1800,26,6307,-,-,-,-,-
2010,February,Monday,6:00-7:00,2302,142,4866,119,679,147,1622,79,477,118,520,143,571,334,184,159,51,249,494,1641,84,413,17,1048,231,1540,23,829,145,771,121,3104,26,10742,-,-,-,-,-
2010,February,Monday,7:00-8:00,2600,107,6371,328,739,463,1616,107,742,288,572,455,629,502,311,302,80,610,610,1930,597,470,117,1603,99,1992,38,843,210,915,71,3540,67,11510,-,-,-,-,-
2010,February,Monday,8:00-9:00,2439,177,5698,347,728,604,1211,112,562,203,614,540,536,644,411,265,161,724,679,1848,544,417,74,1298,248,1610,78,635,175,641,125,2494,87,9376,-,-,-,-,-
2010,February,Monday,9:00-10:00,2020,89,4898,282,768,1237,813,154,492,186,582,325,831,574,454,490,54,739,951,1586,432,385,63,995,299,1182,67,447,117,463,125,1725,66,7050,-,-,-,-,-
2010,February,Monday,10:00-11:00,1862,119,4059,280,819,564,1648,234,425,244,617,413,967,832,504,331,389,972,858,1679,163,225,158,881,212,1002,43,321,109,378,72,1369,62,5936,-,-,-,-,-
2010,February,Monday,11:00-12:00,1673,127,3837,291,727,816,1484,149,622,277,678,888,729,608,962,627,269,1082,976,1241,513,367,54,811,282,883,105,289,91,304,103,1186,59,5498,-,-,-,-,-
2010,February,Monday,12:00-1:00 PM,1718,156,3718,215,750,528,1627,86,794,295,521,558,1152,947,625,643,332,1001,1107,1634,354,332,75,889,279,1021,51,263,180,286,132,1075,99,5275,-,-,-,-,-
2010,February,Monday,1:00-2:00,1697,142,3614,455,573,515,1498,449,453,215,683,850,1027,830,1026,646,515,1136,1238,1290,525,369,70,1045,137,902,83,208,205,289,101,949,98,4862,-,-,-,-,-
2010,February,Monday,2:00-3:00,1671,122,3448,340,691,1164,1272,323,1116,174,855,1102,1096,1330,1032,786,693,1177,1292,1125,667,340,84,810,295,795,58,180,159,217,129,672,195,4288,-,-,-,-,-
2010,February,Monday,3:00-4:00,1677,125,3333,442,606,607,1990,786,725,377,729,1323,1003,1252,1450,955,904,1045,1543,1144,685,312,150,659,410,493,233,105,209,131,120,523,175,3669,-,-,-,-,-
2010,February,Monday,4:00-5:00,1775,129,3232,442,667,540,2485,481,1796,235,1135,948,1810,1780,1876,1130,1312,1722,1452,715,1342,335,162,679,552,549,240,103,194,125,117,608,99,3478,-,-,-,-,-
2010,February,Monday,5:00-6:00,2177,114,4227,546,774,1374,3116,635,1990,707,915,1042,2397,2069,1717,1461,1098,1832,2170,1040,1389,270,351,749,645,399,538,168,186,92,179,781,192,3197,-,-,-,-,-
2010,February,Monday,6:00-7:00,1703,45,4197,392,769,1170,2761,735,1220,759,566,1131,1793,1293,1726,1477,662,1679,1815,1098,1259,107,374,390,794,568,255,32,208,142,96,315,396,2677,-,-,-,-,-
2010,February,Monday,7:00-8:00,1057,62,3393,384,491,829,2320,414,932,221,546,902,1067,900,888,628,886,875,1019,1029,714,54,259,276,703,458,144,83,124,171,15,462,80,2347,-,-,-,-,-
2010,February,Monday,8:00-9:00,640,45,2458,280,358,482,1348,285,643,124,305,648,766,570,563,473,667,439,523,646,532,65,141,222,541,230,206,23,182,128,48,344,32,2022,-,-,-,-,-
2010,February,Monday,9:00-10:00,280,18,1275,112,244,382,621,83,463,66,157,332,584,291,400,335,261,144,172,336,277,35,75,135,330,130,116,12,95,67,25,147,14,916,-,-,-,-,-
2010,February,Monday,10:00-11:00,23,12,82,16,18,54,110,8,43,3,29,65,85,160,0,12,57,24,20,0,92,12,27,90,0,20,51,0,21,24,0,23,9,190,-,-,-,-,-
2010,February,Tuesday,4:00-5:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-
2010,February,Tuesday,5:00-6:00,983,16,2167,149,200,169,619,54,143,60,260,194,205,109,162,71,14,129,204,692,28,185,14,684,49,883,12,410,36,415,25,1450,21,4919,-,-,-,-,-
2010,February,Tuesday,6:00-7:00,2084,148,5073,136,776,160,1757,92,559,112,496,146,585,396,218,190,61,236,467,1489,76,445,19,1134,250,1601,24,877,154,785,124,3084,26,9889,-,-,-,-,-
2010,February,Tuesday,7:00-8:00,2621,114,6777,361,816,541,1886,118,816,293,580,463,640,505,312,333,88,588,588,1761,544,496,123,1658,102,1950,37,919,229,983,77,3443,65,11273,-,-,-,-,-
2010,February,Tuesday,8:00-9:00,2285,183,5887,386,809,692,1387,125,627,196,594,562,557,539,344,310,189,709,665,1834,540,432,76,1347,257,1638,79,687,189,659,129,2465,86,9548,-,-,-,-,-
2010,February,Tuesday,9:00-10:00,1978,92,5064,304,828,1246,819,168,533,189,591,324,830,626,495,598,65,729,938,1594,435,389,63,1001,301,1143,65,468,123,479,129,1737,67,6814,-,-,-,-,-
2010,February,Tuesday,10:00-11:00,1724,123,4203,297,869,547,1597,247,449,227,574,416,974,818,496,399,470,1004,886,1610,157,229,161,859,207,961,41,307,104,355,68,1355,62,5536,-,-,-,-,-
2010,February,Tuesday,11:00-12:00,1566,123,3724,304,761,775,1408,162,679,259,634,874,718,641,1013,765,328,1107,999,1188,491,345,50,804,279,828,98,295,93,309,104,1146,57,5114,-,-,-,-,-
2010,February,Tuesday,12:00-1:00 PM,1606,157,3747,217,756,502,1546,97,901,289,510,543,1120,972,641,764,394,1010,1117,1477,320,354,80,922,289,998,50,249,170,293,135,1038,96,4850,-,-,-,-,-
2010,February,Tuesday,1:00-2:00,1647,138,3519,488,616,554,1614,469,473,217,690,832,1006,874,1080,810,647,1114,1214,1262,513,371,71,1068,140,868,80,208,206,287,100,850,88,4411,-,-,-,-,-
2010,February,Tuesday,2:00-3:00,1597,124,3523,355,721,1179,1289,288,997,171,841,1092,1086,1402,1087,968,854,1167,1281,1154,684,347,85,800,291,742,54,169,148,175,104,594,172,3781,-,-,-,-,-
2010,February,Tuesday,3:00-4:00,1586,117,3110,465,638,616,2019,718,663,371,719,1343,1019,1372,1589,1138,1077,1019,1506,1201,719,318,153,672,418,506,239,99,197,126,116,493,165,3175,-,-,-,-,-
2010,February,Tuesday,4:00-5:00,1795,130,3259,442,668,545,2508,478,1782,238,1146,958,1829,1895,1997,1328,1541,1684,1420,734,1378,348,169,727,591,501,219,111,209,131,122,586,95,2980,-,-,-,-,-
2010,February,Tuesday,5:00-6:00,2168,115,4256,530,750,1363,3091,638,2000,705,913,1081,2486,2305,1913,1690,1270,1810,2144,1136,1517,299,389,804,692,420,566,163,180,97,189,744,183,2723,-,-,-,-,-
2010,February,Tuesday,6:00-7:00,1717,45,4174,407,798,1217,2873,780,1295,743,555,1159,1837,1486,1985,1840,825,1727,1866,1189,1363,117,409,429,873,592,265,36,230,133,90,298,374,2327,-,-,-,-,-
2010,February,Tuesday,7:00-8:00,971,64,3512,362,463,799,2236,446,1005,219,541,966,1142,973,960,822,1160,958,1116,1124,781,66,316,310,790,462,145,84,125,186,16,429,74,2041,-,-,-,-,-
2010,February,Tuesday,8:00-9:00,638,43,2365,289,370,490,1371,317,714,126,312,668,790,645,636,639,901,472,563,727,599,76,165,237,580,232,208,23,180,120,45,369,34,1863,-,-,-,-,-
2010,February,Tuesday,9:00-10:00,288,19,1354,116,254,416,677,103,572,70,167,362,637,343,471,428,333,161,192,368,304,43,93,143,350,137,122,16,128,79,30,152,14,864,-,-,-,-,-
2010,February,Tuesday,10:00-11:00,22,14,99,20,22,60,121,9,50,4,47,64,84,181,0,16,78,30,26,0,121,13,29,104,0,24,60,0,29,34,0,26,10,188,-,-,-,-,-
2010,February,Wednesday,4:00-5:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-
2010,February,Wednesday,5:00-6:00,935,15,2065,144,194,163,594,61,160,58,254,206,217,119,177,92,18,135,214,676,27,200,15,711,51,957,13,450,40,450,27,1403,20,4767,-,-,-,-,-
2010,February,Wednesday,6:00-7:00,2138,141,4847,131,751,150,1648,91,553,115,506,150,601,401,221,196,63,253,501,1528,78,474,20,1183,260,1621,24,848,148,790,124,3167,27,10039,-,-,-,-,-
2010,February,Wednesday,7:00-8:00,2856,106,6337,367,829,514,1793,117,814,296,588,487,673,529,327,328,87,600,600,1931,597,515,128,1767,109,2076,40,930,231,933,73,3369,64,11449,-,-,-,-,-
2010,February,Wednesday,8:00-9:00,2810,184,5897,387,812,700,1404,131,659,204,617,604,600,551,351,309,188,724,679,1839,542,470,83,1427,272,1680,81,692,190,705,138,2539,89,9411,-,-,-,-,-
