lrt_line,month,2013,2012,2011,2010,2009
Line 1,January,55,58,66,74,79
Line 1,February,55,58,65,74,79
Line 1,March,54,58,66,75,79
Line 1,April,53,59,61,75,78
Line 1,May,50,58,60,74,77
Line 1,June,52,58,61,76,79
Line 1,July,54,57,56,75,79
Line 1,August,-,55,54,77,77
Line 1,September,-,56,54,62,76
Line 1,October,-,56,54,62,74
Line 1,November,-,55,56,66,76
Line 1,December,-,55,58,67,75
Line 2,January,12,12,13,12,12
Line 2,February,9,12,14,12,12
Line 2,March,8,12,14,12,12
Line 2,April,8,8,10,8,10
Line 2,May,8,8,10,8,10
Line 2,June,10,12,10,12,12
Line 2,July,10,12,14,12,11
Line 2,August,-,12,14,12,11
Line 2,September,-,12,14,12,11
Line 2,October,-,12,14,12,11
Line 2,November,-,12,14,12,11
Line 2,December,-,10,14,12,11
