lrt_line,month,2013,2012,2011,2010,2009
Line 1,January,15.11,14.79,13.86,13.54,12.66
Line 1,February,13.85,14.15,12.3,12.75,11.94
Line 1,March,13.04,14.64,13.02,13.56,12.79
Line 1,April,13.66,11.35,10.37,10.79,10.18
Line 1,May,13.79,14.17,12.22,12.16,11.91
Line 1,June,14.16,14.21,12.61,12.63,11.72
Line 1,July,15.55,14.8,13.78,13.77,13.28
Line 1,August,-,13.91,13.7,13.5,12.86
Line 1,September,-,14.91,13.33,13.33,12.49
Line 1,October,-,15.03,13.56,12.91,13.27
Line 1,November,-,14.22,13.59,13.14,12.87
Line 1,December,-,14.53,14.59,13.81,13.47
Line 2,January,6.33,6.02,5.55,5.53,5.33
Line 2,February,5.9,5.76,5.04,5.19,4.98
Line 2,March,5.44,6.03,5.36,5.55,5.28
Line 2,April,5.16,4.11,3.87,4.05,3.84
Line 2,May,5.2,5.26,4.58,4.58,4.63
Line 2,June,5.72,5.98,5.03,5.13,4.82
Line 2,July,6.84,6.43,5.74,5.88,5.83
Line 2,August,-,5.83,5.82,5.57,5.57
Line 2,September,-,6.52,5.79,5.75,5.27
Line 2,October,-,6.22,5.51,5.23,5.53
Line 2,November,-,6.13,5.7,5.31,5.53
Line 2,December,-,6.04,5.84,5.41,5.5
Line 2,Total,40.59,70.33,63.83,63.18,62.11
