station,entry_exit,january,february,march,april,may,june,july,august,september,october,november,december,2014_total,monthly_average,daily_average
Recto,Entry,1445488,1381277,1469161,1147332,1390592,1326270,1394889,1366740,1268010,1462684,1446964,1431435,16530842,1377570,45792
Recto,Exit,1399982,1441520,1552874,1209257,1486033,1271931,1280810,1215503,1140726,1106125,1147694,1331414,15583869,1298656,43169
Legarda,Entry,516369,523719,514838,255698,318510,428285,609653,612030,620023,552986,535073,376916,5864100,488675,16244
Legarda,Exit,566836,603000,591451,286834,353128,443990,596136,539497,474926,503625,559403,389056,5907882,492324,16365
Pureza,Entry,415406,411936,420453,272288,317398,407376,464184,461547,460729,401035,435799,363487,4831638,402637,13384
Pureza,Exit,401248,396907,407034,249574,289660,391627,451342,454539,453496,375664,422010,325799,4618900,384908,12795
V. Mapa,Entry,429564,378588,421974,308102,364554,384488,411014,413009,433766,440296,418564,391368,4795287,399607,13283
V. Mapa,Exit,347798,313443,335386,258070,304695,315185,329004,341049,336822,349996,335138,320400,3886986,323916,10767
J. Ruiz,Entry,101908,97917,102503,73527,87618,91753,103903,108581,107601,111897,105291,102257,1194756,99563,3310
J. Ruiz,Exit,92251,89094,93807,69684,82077,84524,93480,90876,98663,100319,94523,87346,1076644,89720,2982
Gilmore,Entry,187456,176752,93807,111858,160749,179013,195315,197575,194939,194275,189233,177203,2147825,178985,5950
Gilmore,Exit,220058,205900,216328,154625,187666,204499,204664,231763,228569,225304,218315,198474,2496165,208014,6915
Betty-Go Belmonte,Entry,92001,89161,92536,65434,79254,86103,97650,97295,97588,95273,92813,85133,1070241,89187,2965
Betty-Go Belmonte,Exit,91110,88116,92020,67986,80246,85337,92584,93653,97555,109325,92894,85581,1076407,89701,2982
Araneta Center-Cubao,Entry,885399,840153,872386,672167,811178,818782,876971,889185,877624,907576,861296,817060,10129777,844148,28060
Araneta Center-Cubao,Exit,1074374,1053811,1064686,846418,1040633,1063315,1170511,1189124,1166073,1187938,1088919,922144,12867946,1072329,35645
Anonas,Entry,323061,310576,322746,218967,264081,296228,332111,268504,336479,325090,325525,294827,3618195,301516,10023
Anonas,Exit,311797,301687,310977,211107,255129,290626,332344,319486,344854,326549,320421,280901,3605878,300490,9989
Katipunan,Entry,700257,667975,698292,496140,597876,624158,698950,736074,713746,698093,687486,634389,7953436,662786,22032
Katipunan,Exit,538946,517565,532960,371518,448086,467336,525872,546206,533082,512932,506332,451329,5952164,496014,16488
Santolan,Entry,1315582,1247077,1345289,972701,1163146,1174212,1271780,1317803,1302318,1169537,1239669,1184604,14703718,1225310,40731
Santolan,Exit,887915,934899,1141414,850909,1013322,978858,964564,901861,919000,659917,758013,810140,10820812,901734,29700
Total,Entry,6412491,6125131,6443635,4594214,5554956,5816668,6456420,6468343,6412823,6358742,6337713,5858679,72839815,6069985,201794
Total,Exit,5932315,5945942,6338937,4575982,5540675,5597228,6041311,5923557,5793766,5457694,5543662,5202584,67893653,5657804,187797
