lrt_line,month,2013,2012,2011,2010,2009
Line 1,January,224.58,218.81,203.76,192.48,179.55
Line 1,February,203.65,207.5,178.38,179.61,168.37
Line 1,March,191.73,212.79,182.82,190.11,180.34
Line 1,April,203.09,168.19,149.72,153.99,144.34
Line 1,May,204.2,210.84,178.56,174.57,169.59
Line 1,June,207.99,208.78,181.97,180.71,166.72
Line 1,July,227.99,218.11,201.24,195.87,187.38
Line 1,August,-,204.59,200.1,193.06,180.93
Line 1,September,-,219.02,195.96,190.22,175.91
Line 1,October,-,220.87,198.42,185.33,186.5
Line 1,November,-,210.95,200.67,191.36,182.01
Line 1,December,-,213.55,214.03,200.75,189.58
Line 2,January,83.89,80.97,74.99,74.99,71.87
Line 2,February,77.49,77.5,68.1,69.74,67.76
Line 2,March,70.38,78.16,71.66,73.89,70.16
Line 2,April,67.99,59.78,52.83,54.9,52.29
Line 2,May,68.72,70.65,61.82,61.73,62.71
Line 2,June,77.87,80.68,68.43,70.6,65.55
Line 2,July,90.98,87.01,78.68,80.07,77.39
Line 2,August,-,76.91,77.87,78.53,74.79
Line 2,September,-,86.75,76.83,76.8,71.39
Line 2,October,-,82.15,72.35,69.84,74.17
Line 2,November,-,82.37,76.83,73.65,76.74
Line 2,December,-,80.05,76.45,72.53,73.47
