lrt_line,month,2013,2012,2011,2010,2009
Line 1,January,97.62,89.88,70.57,71.45,68.84
Line 1,February,97.33,89.39,71.25,72.84,68.71
Line 1,March,94.97,86.78,67.8,68.14,65.62
Line 1,April,94.53,83.35,66.93,63.83,62.27
Line 1,May,100.34,86.76,67.36,63.49,64.52
Line 1,June,96.4,86.13,67.71,64.82,64.69
Line 1,July,91.68,92.73,79.59,67.34,66.53
Line 1,August,-,96.16,86.86,61.73,72.45
Line 1,September,-,95.94,83.93,76.57,74.47
Line 1,October,-,93.02,85.52,72.8,68.64
Line 1,November,-,87.7,89.06,73.23,69.81
Line 1,December,-,94.7,91.25,71.57,67.93
line 2,January,52.78,45.62,38.86,41.95,40.39
line 2,February,64.87,45.75,38.16,44.13,42.16
line 2,March,67.15,47.19,37.79,40.74,39.66
line 2,April,59.52,49.28,39.71,40.68,34.45
line 2,May,56.63,49.75,38.24,37.82,34.62
line 2,June,56.39,44.17,35.27,37.89,38.46
line 2,July,61.17,48.6,37.61,42.04,45.03
line 2,August,-,45.5,39.15,39.16,41.73
line 2,September,-,51.53,41.54,40.17,40.2
line 2,October,-,48.69,38.75,36.91,41.76
line 2,November,-,49.36,40.41,39.07,43.36
line 2,December,-,50.26,42.41,38.41,42.22
