year,month ,day,time,recto_entry,recto_exit,legarda_entry,legarda_exit,pureza_entry,pureza_exit,v_mapa_entry,v_mapa_exit,j_ruiz_entry,j_ruiz_exit,gilmore_entry,gilmore_exit,betty_go_entry,betty_go_exit,araneta_cubao_entry,araneta_cubao_exit,anonas_entry,anonas_exit,katipunan_entry,katipunan_exit,santolan_entry,santolan_exit,
2011,January,1,4:00-5:00, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,10, -   ,
2011,January,1,5:00-6:00,101,51,13,12,26,3,22,11,7,3,17,22,3,2,32,23,20,9,65,28,118,55,
2011,January,1,6:00-7:00,199,213,21,22,42,29,43,37,11,6,38,37,5,8,64,83,31,32,131,52,241,132,
2011,January,1,7:00-8:00,333,381,27,44,52,53,54,45,23,13,39,43,16,8,101,118,38,24,132,77,349,220,
2011,January,1,8:00-9:00,511,485,52,56,104,56,104,62,37,18,35,61,13,24,196,220,61,42,220,136,482,431,
2011,January,1,9:00-10:00,723,803,50,48,152,95,129,96,23,21,30,53,16,12,273,296,97,40,324,164,809,642,
2011,January,1,10:00-11:00,1024,1215,88,96,186,134,166,154,64,38,29,39,50,27,330,512,111,75,525,241,1379,756,
2011,January,1,11:00-12:00,1196,1658,149,96,260,215,253,292,74,35,59,52,32,16,407,829,189,91,613,332,1553,1121,
2011,January,1,12:00-13:00,1190,1640,132,158,287,184,286,243,55,38,46,64,53,30,514,866,163,76,622,421,1513,974,
2011,January,1,13:00-14:00,1252,1633,112,159,256,237,265,253,52,37,79,61,45,38,627,769,186,130,624,408,1378,1203,
2011,January,1,14:00-15:00,1354,1825,135,152,297,188,261,294,86,58,113,62,60,29,652,844,195,137,621,457,1377,1219,
2011,January,1,15:00-16:00,1480,1497,177,158,262,167,297,248,52,55,165,70,43,66,718,882,158,137,625,542,1223,1100,
2011,January,1,16:00-17:00,1594,1667,113,175,237,181,321,310,51,44,70,72,45,48,805,1009,206,163,515,469,1222,1334,
2011,January,1,17:00-18:00,1528,1497,152,184,228,202,286,306,80,69,72,66,40,44,778,829,194,195,523,469,1253,1237,
2011,January,1,18:00-19:00,1466,1292,154,152,214,301,337,302,71,73,57,41,35,49,823,898,155,198,547,534,1159,1188,
2011,January,1,19:00-20:00,1240,1218,114,147,186,272,210,265,49,67,37,76,15,39,765,783,135,191,394,345,858,1136,
2011,January,1,20:00-21:00,1094,771,77,187,115,165,191,210,31,71,17,81,26,40,663,500,83,164,369,351,529,849,
2011,January,1,21:00-22:00,467,506,72,100,81,188,201,135,12,37,13,35,6,18,365,310,30,131,123,257,152,697,
2011,January,1,22:00-23:00, -   , -   , -   , -   , -   , -   ,1, -   , -   , -   , -   , -   , -   , -   ,20,20, -   ,12, -   ,58, -   ,62,
2011,January,1,23:00-24:00, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2011,January,1,24:00-1:00, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2011,January,2,4:00-5:00, -   , -   , -   , -   , -   , -   , -   , -   ,2, -   ,5, -   , -   , -   , -   , -   , -   , -   , -   , -   ,60, -   ,
2011,January,2,5:00-6:00,210,229,38,33,50,29,39,23,15,4,27,39,5,5,76,77,46,18,198,50,348,98,
2011,January,2,6:00-7:00,346,563,61,64,85,83,87,73,35,21,56,47,23,12,191,199,69,57,305,132,818,247,
2011,January,2,7:00-8:00,620,1161,65,166,127,91,101,126,33,21,36,49,24,34,273,310,134,73,439,163,1027,404,
2011,January,2,8:00-9:00,827,1578,100,211,195,139,207,258,63,43,54,82,58,31,475,602,237,95,722,223,1522,624,
2011,January,2,9:00-10:00,1169,2326,137,147,222,170,241,350,83,47,72,175,103,41,555,883,276,96,967,269,1721,783,
2011,January,2,10:00-11:00,1300,2192,158,235,241,152,281,387,83,75,95,127,94,28,638,1127,286,112,943,327,2069,910,
2011,January,2,11:00-12:00,1671,2796,202,170,303,221,295,391,74,35,126,168,58,54,773,1390,340,136,989,454,1981,1205,
2011,January,2,12:00-13:00,1703,2513,262,247,246,221,319,452,84,59,136,192,60,54,783,1197,326,187,925,362,1662,1197,
2011,January,2,13:00-14:00,2001,2145,183,235,279,256,327,360,69,45,155,221,75,65,936,1337,303,196,798,514,1717,1264,
2011,January,2,14:00-15:00,2194,2576,246,210,289,243,337,351,91,49,161,225,58,54,1067,1256,348,232,993,564,1824,1470,
2011,January,2,15:00-16:00,2394,2256,227,288,287,287,426,438,91,73,260,209,77,85,1201,1607,304,260,752,746,1795,1499,
2011,January,2,16:00-17:00,2465,2260,238,324,281,265,433,445,70,72,167,189,53,54,1206,1453,332,356,759,752,1502,1637,
2011,January,2,17:00-18:00,2562,1908,269,369,317,325,417,390,73,78,169,128,71,88,1233,1493,252,372,595,662,1472,1766,
2011,January,2,18:00-19:00,2384,1374,197,322,246,364,496,425,63,95,151,136,44,81,1107,1405,283,410,594,640,1229,1588,
2011,January,2,19:00-20:00,1919,1242,176,364,171,331,382,399,44,85,120,113,30,68,1138,1016,150,331,408,677,973,1742,
2011,January,2,20:00-21:00,1363,853,179,297,147,307,315,289,34,77,45,97,23,48,1078,695,133,287,337,455,724,1097,
