year,month ,day,time,recto_entry,recto_exit,legarda_entry,legarda_exit,pureza_entry,pureza_exit,v_mapa_entry,v_mapa_exit,j_ruiz_entry,j_ruiz_exit,gilmore_entry,gilmore_exit,betty_go_entry,betty_go_exit,araneta_cubao_entry,araneta_cubao_exit,anonas_entry,anonas_exit,katipunan_entry,katipunan_exit,santolan_entry,santolan_exit
2015,January,1,4:00-5:00,3, -   , -   , -   ,1, -   ,3, -   ,2, -   , -   , -   , -   , -   ,3, -   ,5, -   , -   , -   ,20, -   
2015,January,1,5:00-6:00,160,129,10,35,28,16,43,39,4,12,6,22,3,4,78,55,32,7,100,12,133,65
2015,January,1,6:00-7:00,301,283,22,34,48,42,52,58,22,21,47,39,21,11,146,80,37,24,138,67,258,171
2015,January,1,7:00-8:00,408,467,29,72,94,84,91,86,19,20,45,47,20,17,199,122,59,52,175,103,368,295
2015,January,1,8:00-9:00,540,556,53,72,91,97,82,108,43,16,40,58,26,21,230,231,80,37,269,111,613,411
2015,January,1,9:00-10:00,712,960,91,80,153,97,149,162,45,20,47,80,34,19,315,367,105,82,364,158,931,544
2015,January,1,10:00-11:00,1108,1268,128,133,212,156,265,192,101,38,41,93,29,33,368,531,143,113,522,259,1342,876
2015,January,1,11:00-12:00,1240,1640,142,204,301,202,285,339,79,36,65,172,51,47,492,910,201,94,618,333,1611,1103
2015,January,1,12:00-13:00,1328,1365,199,140,293,156,255,284,65,44,63,150,38,38,469,925,138,126,581,336,1376,1031
2015,January,1,13:00-14:00,1253,1354,177,170,236,205,235,324,61,40,68,87,23,45,515,774,217,136,481,365,1116,1151
2015,January,1,14:00-15:00,1342,1203,153,122,274,188,253,274,61,53,95,57,33,31,592,875,174,162,455,443,1069,1069
2015,January,1,15:00-16:00,1174,1142,190,209,208,179,248,265,69,33,148,58,38,22,614,908,159,125,438,342,1016,1140
2015,January,1,16:00-17:00,1333,1212,147,200,276,224,343,239,76,60,76,72,22,32,745,880,196,185,419,431,1049,953
2015,January,1,17:00-18:00,1315,1190,161,226,215,211,326,236,43,60,90,78,42,43,646,760,135,214,430,407,1052,1208
2015,January,1,18:00-19:00,1131,1141,173,146,194,272,267,346,61,47,71,131,33,37,678,748,162,187,446,348,1012,880
2015,January,1,19:00-20:00,905,947,110,180,165,255,228,260,43,63,51,71,35,35,778,650,159,209,328,326,724,960
2015,January,1,20:00-21:00,693,742,78,118,126,194,223,131,40,57,50,71,18,22,527,418,99,126,234,200,518,740
2015,January,1,21:00-22:00,329,435,34,91,79,101,203,124,12,37,62,40,17,16,294,274,31,117,82,191,159,539
2015,January,1,22:00-23:00, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,9,4, -   ,1,6,36, -   ,18, -   ,15, -   ,102
2015,January,1,23:00-24:00, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2015,January,1,24:00-1:00, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2015,January,2,4:00-5:00,11, -   , -   , -   ,2, -   ,11, -   ,3, -   ,1, -   ,1, -   ,1, -   ,11, -   ,23, -   ,77, -   
2015,January,2,5:00-6:00,411,761,36,76,74,66,88,88,36,22,15,64,27,18,197,184,94,34,473,77,874,160
2015,January,2,6:00-7:00,640,1529,71,123,116,134,162,178,46,49,70,83,35,35,317,360,159,62,682,161,1325,318
2015,January,2,7:00-8:00,1091,2143,92,143,174,213,221,195,77,68,83,181,72,48,460,440,237,138,804,276,1963,532
2015,January,2,8:00-9:00,1551,2894,104,180,240,204,308,370,120,75,88,221,93,96,647,672,354,158,1113,350,2309,896
2015,January,2,9:00-10:00,1715,3784,125,236,246,181,309,400,121,68,124,344,104,86,765,1117,439,163,1344,393,2623,962
2015,January,2,10:00-11:00,2082,4055,126,209,313,243,299,398,129,60,130,233,102,64,842,1371,421,201,1307,512,2980,1242
2015,January,2,11:00-12:00,2430,3706,179,250,276,203,396,442,110,58,128,278,111,73,969,1541,459,249,1243,544,2682,1389
2015,January,2,12:00-13:00,2791,3668,183,246,286,245,364,446,115,76,132,309,92,86,969,1670,448,333,1185,617,2622,1511
2015,January,2,13:00-14:00,2776,3225,244,192,324,273,418,397,115,92,182,327,89,97,1204,1791,438,334,1106,630,2209,1734
2015,January,2,14:00-15:00,3317,3719,225,251,384,271,522,363,158,80,239,309,102,88,1270,1748,524,359,1297,859,2218,1709
2015,January,2,15:00-16:00,3205,3650,223,283,333,267,522,415,139,82,361,282,75,96,1470,1895,495,385,1076,787,2085,1996
2015,January,2,16:00-17:00,3586,2866,229,241,296,275,568,438,123,85,245,280,68,72,1278,1601,426,385,771,817,1657,2347
2015,January,2,17:00-18:00,4314,2238,345,237,394,297,527,510,122,123,307,267,100,118,1389,2030,430,543,681,1030,1558,2416
2015,January,2,18:00-19:00,3944,1811,302,257,306,334,511,511,88,136,279,194,68,125,1278,1898,267,576,539,1068,1315,2366
2015,January,2,19:00-20:00,2845,1408,201,194,267,362,434,418,76,112,280,152,59,98,1258,1501,212,526,436,930,931,2359
2015,January,2,20:00-21:00,1993,992,182,186,223,281,378,323,38,88,97,155,36,49,1121,1203,147,348,331,628,751,1537
2015,January,2,21:00-22:00,962,762,94,143,151,176,383,162,23,60,76,102,20,35,622,689,45,312,127,427,228,1257
2015,January,2,22:00-23:00, -   , -   , -   , -   , -   , -   , -   ,2, -   ,2,12,6, -   ,7,18,63, -   ,26, -   ,44, -   ,222
2015,January,2,23:00-24:00, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2015,January,2,24:00-1:00, -   , -   , -   , -   ,1,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2015,January,3,4:00-5:00,45, -   ,1, -   ,2, -   ,13, -   ,3, -   ,1, -   ,1, -   ,12, -   ,13, -   ,12, -   ,58, -   
2015,January,3,5:00-6:00,358,477,60,72,95,82,79,105,17,30,15,80,18,21,203,151,71,36,297,81,721,193
2015,January,3,6:00-7:00,672,943,118,164,178,159,181,243,51,58,85,109,48,41,447,406,133,71,513,210,1123,418
2015,January,3,7:00-8:00,1081,1979,135,259,293,285,409,311,112,113,110,234,79,95,619,696,237,193,792,291,1977,788
2015,January,3,8:00-9:00,1228,2409,126,250,333,258,434,441,144,125,114,324,97,137,735,703,321,202,1019,293,2213,843
2015,January,3,9:00-10:00,1388,2811,174,310,295,258,416,479,141,99,188,408,98,108,831,1030,325,146,1039,314,2209,805
2015,January,3,10:00-11:00,1572,2475,182,235,335,239,368,439,131,78,154,337,85,69,807,1419,386,167,1055,390,2396,1052
2015,January,3,11:00-12:00,1833,2636,205,273,303,249,396,474,97,80,166,322,101,65,1015,1574,340,190,960,402,2201,840
2015,January,3,12:00-13:00,1968,2369,245,291,326,260,473,421,109,84,179,383,90,95,1108,1852,342,258,955,577,2204,1290
2015,January,3,13:00-14:00,2123,2209,246,262,324,216,487,476,124,91,225,335,110,95,1153,1727,400,280,914,523,1987,1579
2015,January,3,14:00-15:00,2528,2365,277,262,345,251,441,447,116,73,243,359,101,72,1288,1704,403,287,945,634,1739,1462
2015,January,3,15:00-16:00,2726,2027,348,256,392,283,551,539,98,101,458,345,103,88,1432,1726,382,426,793,782,1611,1965
2015,January,3,16:00-17:00,3000,2017,321,282,304,359,540,494,156,136,341,286,109,90,1501,1782,336,370,699,795,1437,1937
2015,January,3,17:00-18:00,3015,1695,345,299,373,399,590,518,170,124,349,239,116,115,1587,1669,401,542,700,948,1404,2285
2015,January,3,18:00-19:00,2734,1575,358,291,360,372,665,493,140,120,353,202,74,100,1312,1735,217,457,542,800,1239,2094
2015,January,3,19:00-20:00,2058,1097,260,231,290,385,465,542,75,89,325,175,76,79,1413,1194,200,442,435,752,865,1945
2015,January,3,20:00-21:00,1301,895,201,252,246,363,450,231,58,81,176,107,39,58,1164,848,158,319,336,526,689,1434
2015,January,3,21:00-22:00,606,580,130,170,132,223,356,198,41,57,95,87,26,35,657,525,47,251,119,407,246,1076
2015,January,3,22:00-23:00, -   , -   , -   , -   , -   , -   , -   ,1,1, -   ,12,4, -   ,2,10,59, -   ,20, -   ,32, -   ,257
2015,January,3,23:00-24:00, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2015,January,3,24:00-1:00, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2015,January,4,4:00-5:00,23, -   ,3, -   ,3, -   ,5, -   ,2, -   , -   , -   ,1, -   , -   , -   ,4, -   ,27, -   ,46, -   
2015,January,4,5:00-6:00,309,356,62,57,74,57,98,71,15,25,15,50,26,10,182,126,66,27,203,74,504,144
2015,January,4,6:00-7:00,546,757,70,139,130,105,123,120,52,32,72,68,37,19,311,277,96,64,402,219,873,324
2015,January,4,7:00-8:00,879,1267,106,254,195,162,239,206,64,45,79,107,38,52,439,442,166,110,519,236,1197,521
2015,January,4,8:00-9:00,1163,1571,157,236,227,149,298,337,104,61,73,157,67,71,525,680,281,159,815,332,1695,745
2015,January,4,9:00-10:00,1318,2250,202,282,286,184,403,401,122,62,120,285,102,103,698,1127,276,137,905,397,2001,852
2015,January,4,10:00-11:00,1527,2074,205,212,340,210,361,431,105,67,116,235,113,63,657,1374,402,185,890,405,2015,942
2015,January,4,11:00-12:00,1787,2317,258,247,260,231,367,471,124,52,126,279,73,45,799,1542,353,167,910,408,1917,1114
2015,January,4,12:00-13:00,1962,1857,284,227,365,211,350,436,108,71,147,283,88,80,885,1488,354,259,838,472,1800,1152
2015,January,4,13:00-14:00,1903,1957,317,282,325,227,401,419,103,87,211,329,79,86,1059,1457,400,269,832,465,1826,1317
2015,January,4,14:00-15:00,2246,2301,305,306,381,279,455,412,111,95,203,269,91,64,1203,1516,387,278,850,698,1640,1340
2015,January,4,15:00-16:00,1878,2180,291,381,330,350,517,441,101,95,237,272,92,74,1268,1285,357,327,723,615,1536,1622
2015,January,4,16:00-17:00,2604,1808,341,386,283,328,530,436,110,81,222,231,70,53,1473,1469,326,341,632,705,1289,1440
2015,January,4,17:00-18:00,2636,1486,341,446,319,392,491,418,108,110,248,248,70,120,1302,1297,283,447,576,816,1339,1942
2015,January,4,18:00-19:00,2271,1245,408,479,320,434,449,437,84,121,249,145,54,78,1246,1473,289,414,610,666,1314,1782
2015,January,4,19:00-20:00,1833,1187,264,424,238,416,358,451,39,92,244,132,54,58,1200,1125,224,426,418,664,1127,1530
2015,January,4,20:00-21:00,1229,888,221,318,190,324,320,312,48,62,82,106,36,59,1054,760,143,263,307,394,738,1098
2015,January,4,21:00-22:00,640,544,127,201,132,234,333,194,25,45,54,82,23,42,589,445,47,244,100,365,243,999
2015,January,4,22:00-23:00, -   ,9, -   , -   , -   ,2, -   ,1, -   ,1,13,3,1,5,3,48, -   ,10, -   ,47, -   ,201
2015,January,4,23:00-24:00, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2015,January,4,24:00-1:00, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2015,January,5,4:00-5:00,43, -   ,6, -   ,14, -   ,23, -   ,11, -   ,2, -   ,6, -   ,19, -   ,21, -   ,64, -   ,141, -   
