particulars_1,particulars_2,particulars_3,particulars_4,amount
Estimated Revenue from Regular Sources,Estimated Revenue from Regular Sources,Estimated Revenue from Regular Sources,Estimated Revenue from Regular Sources,514891937
Calamity Funds,Calamity Funds,Calamity Funds,Calamity Funds,25744591.25
Less-Disbursements,Pre-Disaster Preparedness Programs,Capital Outlay,"Prov'l. Counterpart for the Repair or Rehab. Of Gakat River Control, Libagon",1700000
Less-Disbursements,Pre-Disaster Preparedness Programs,Capital Outlay,"Const. of Candayuman RCBC, Liloan",699975.34
Less-Disbursements,Pre-Disaster Preparedness Programs,Capital Outlay,"Const. of River Control, Brgy. Gabi (Phase 1) San Francisco",2478411.13
Less-Disbursements,Pre-Disaster Preparedness Programs,Capital Outlay,"Repair or Rehab of Mauylab River Control, Bontoc",1638322.85
Less-Disbursements,Pre-Disaster Preparedness Programs,Capital Outlay,"Const. of Brgy. Multi-Purpose and Evacuation Center Covered Court, Malbago, Bontoc",640
Less-Disbursements,Pre-Disaster Preparedness Programs,MOOE,Training (Bu. of Fire Protection Basic Training of Civilian Fire Rescue Volunteers),265300
Less-Disbursements,Pre-Disaster Preparedness Programs,MOOE,COT Infestation,1498999
Less-Disbursements,Post-Disaster Programs,Post-Disaster Programs,Post-Disaster Programs,0
Less-Disbursements,Payment of Premiums on Calamity Insurance,Payment of Premiums on Calamity Insurance,Payment of Premiums on Calamity Insurance,0
Balance,Balance,Balance,Balance,17462960.38
