particulars_1,particulars_2,amount
Disaster Risk Reduction and Management Program,Travelling Expenses,20390
Disaster Risk Reduction and Management Program,Office Supplies Expenses,-
Disaster Risk Reduction and Management Program,Other Maintenance and Operating Expenses,30671.25
Disaster Risk Reduction and Management Program,Capital Outlay - Procurement of G7 VHF,-
DRRM Operation,Travelling Expenses,19865
DRRM Operation,"Gasoline, Oil and Lubricants Expenses",20000
DRRM Operation,Other Maintenance and Operating Expenses,3127
Quick Response Fund,Relief goods for Biri fire victims,18433.5
Pre-Disaster or Disaster Mitigation Projects or Assistance,Financial assistance to Lope de Vega LGU for the construction of multipurpose covered court,3000000
Pre-Disaster or Disaster Mitigation Projects or Assistance,"Financial Assistance to Allen LGU for the construction of drainage curb, sidewalk and gutter",5000000
Pre-Disaster or Disaster Mitigation Projects or Assistance,Financial Assistance to San Isidro LGU for the construction of multipurpose center or evacuation center,3000000
Pre-Disaster or Disaster Mitigation Projects or Assistance,Financial Assistance to Capul LGU for the rehabilitation or improvement of Poblacion-Oson Barangay Road,3000000
