department_office,item_number,description,unit_cost,quantity_1,quantity_2,total_cost,1st_quarter_amount,1st_quarter_quantity,2nd_quarter_quantity,1nd_quarter_amount,3rd_quarter_quantity,3rd_quarter_amount,4th_quarter_quantity,4th_quarter_amount
Sangguniang Panlalawigan Office,1,"Ink, epson, L110 (Unlimited Ink)",1500,1,-,1500,-,-,-,-,1,1500,-,-
Sangguniang Panlalawigan Office,2,"Cilp, paper",20,1,-,20,-,-,-,-,1,20,-,-
Sangguniang Panlalawigan Office,3,"Ink, colored 811",850,2,-,1700,-,-,-,-,2,850,-,-
Sangguniang Panlalawigan Office,4,"Ink, black 811",1100,1,-,1100,-,-,-,-,1,1100,-,-
Sangguniang Panlalawigan Office,5,"Alcohol, 70%, 500ml, isoprophyl",78,-,-,-,-,-,-,-,-,-,-,-
Sangguniang Panlalawigan Office,6,"Paper, bolok, long, s-70",185,-,-,-,-,-,-,-,-,-,-,-
Sangguniang Panlalawigan Office,7,"Paper, book, short, s-70",160,-,-,-,-,-,-,-,-,-,-,-
Sangguniang Panlalawigan Office,8,"Freshener, air",220,-,-,-,-,-,-,-,-,-,-,-
Sangguniang Panlalawigan Office,9,"Envelope, brown, long",2,5,-,10,-,-,-,-,5,10,-,-
Sangguniang Panlalawigan Office,10,"Tape, correction, pro-roller",75,-,-,-,-,-,-,-,-,-,-,-
Sangguniang Panlalawigan Office,11,"Paper, toilet",16,2,-,32,-,-,-,-,2,32,-,-
Sangguniang Panlalawigan Office,12,"Marker, board, permanent, black",38,-,-,-,-,-,-,-,-,-,-,-
Sangguniang Panlalawigan Office,13,"Cleaner, toilet, powder",45,-,-,-,-,-,-,-,-,-,-,-
Sangguniang Panlalawigan Office,14,"cleaner, toilet, bowl, 500ml",140,5,-,700,-,-,-,-,5,140,-,-
Sangguniang Panlalawigan Office,15,"Folder, long, ordinary",3.5,5,-,17.5,-,-,-,-,5,3.5,-,-
Sangguniang Panlalawigan Office,16,"Ballpen, black, blue, red",6,5,-,30,-,-,-,-,5,-,-,-
Sangguniang Panlalawigan Office,17,"Pen, pentel, blue",40,-,-,-,-,-,-,-,-,-,-,-
Sangguniang Panlalawigan Office,18,"Envelope, mailing, long",1,-,-,-,-,-,-,-,-,-,-,-
Sangguniang Panlalawigan Office,19,"Envelope, mailing, short, ordinary",0.75,-,-,-,-,-,-,-,-,-,-,-
Sangguniang Panlalawigan Office,20,"Pen, sign, black",20,-,-,-,-,-,-,-,-,-,-,-
Sangguniang Panlalawigan Office,21,"Marker, highlighter",35,-,-,-,-,-,-,-,-,-,-,-
Sangguniang Panlalawigan Office,22,Pencil # 2,60,-,-,-,-,-,-,-,-,-,-,-
Sangguniang Panlalawigan Office,23,"Fasterner, paper",25,1,-,25,-,-,-,-,1,25,-,-
Sangguniang Panlalawigan Office,24,"CD, blank, rewritable",35,-,-,-,-,-,-,-,-,-,-,-
Sangguniang Panlalawigan Office,25,"Paper, yellow",18,1,-,18,-,-,-,-,1,18,-,-
Sangguniang Panlalawigan Office,26,Puncher,180,-,-,-,-,-,-,-,-,-,-,-
Sangguniang Panlalawigan Office,27,"Book, record, 300pp",48,-,-,-,-,-,-,-,-,-,-,-
Sangguniang Panlalawigan Office,28,Cup and Saucers,-,-,-,-,-,-,-,-,-,-,-,-
Sangguniang Panlalawigan Office,29,Glass,-,-,-,-,-,-,-,-,-,-,-,-
Sangguniang Panlalawigan Office,30,Picher,-,-,-,-,-,-,-,-,-,-,-,-
Sangguniang Panlalawigan Office,31,"Spoon, tea",-,-,-,-,-,-,-,-,-,-,-,-
Sangguniang Panlalawigan Office,32,"Rack, table",-,-,-,-,-,-,-,-,-,-,-,-
Sangguniang Panlalawigan Office,33,Basketball,195,50,-,9750,-,-,-,-,50,195,-,-
Sangguniang Panlalawigan Office,34,"Scissors, HD",65,1,-,65,-,-,-,-,1,65,-,-
Sangguniang Panlalawigan Office,35,Anti-virus,1000,3,-,3000,-,-,-,-,3,1000,-,-
