particulars_1,particulars_2,particulars_3,particulars_4,total
"LDRRMF Balance, January 1, 2013","LDRRMF Balance, January 1, 2013","LDRRMF Balance, January 1, 2013","LDRRMF Balance, January 1, 2013",47605175.64
Add: Revenue from Regular Resources for 2013,Add: Revenue from Regular Resources for 2013,Add: Revenue from Regular Resources for 2013,Add: Revenue from Regular Resources for 2013,59777396.8
Calamity Fund,Calamity Fund,Calamity Fund,Calamity Fund,107382572.4
Less: Check Disbursement,Pre-Disaster Preparedness Programs,Capital Outlay,Communication Equipment,100000
Less: Check Disbursement,Pre-Disaster Preparedness Programs,Capital Outlay,Motor Vehicle,5668500
Less: Check Disbursement,Pre-Disaster Preparedness Programs,Capital Outlay,Total Capital Outlay,57685500
Less: Check Disbursement,Pre-Disaster Preparedness Programs,Maintenance and Other Operating Expenses,Training Expenses,666074.99
Less: Check Disbursement,Pre-Disaster Preparedness Programs,Maintenance and Other Operating Expenses,"Gasoline, Oil and Lubricants Expenses",731402.96
Less: Check Disbursement,Pre-Disaster Preparedness Programs,Maintenance and Other Operating Expenses,Repair and Maintenance - Motor Vehicle,526286
Less: Check Disbursement,Pre-Disaster Preparedness Programs,Maintenance and Other Operating Expenses,"Repair and Maintenance - Roads, Highways and Bridges",375488
Less: Check Disbursement,Pre-Disaster Preparedness Programs,Maintenance and Other Operating Expenses,Insurance Expenses,83000
Less: Check Disbursement,Pre-Disaster Preparedness Programs,Maintenance and Other Operating Expenses,Other Maintenance and Operating Expenses,782206.93
Less: Check Disbursement,Pre-Disaster Preparedness Programs,Maintenance and Other Operating Expenses,Total Maintenance and Othe Expenses,3164458.88
Less: Check Disbursement,Pre-Disaster Preparedness Programs,Total Pre-Disater Preparedness Program Costs,-,8932958.88
Less: Check Disbursement,Post-Disaster Program,Capital Outlay,Construction in Progess - Agency Assets,9366315.43
Less: Check Disbursement,Post-Disaster Program,Capital Outlay,"Construction in Progress - Irrigation, Canals and Laterals",14090463.99
Less: Check Disbursement,Post-Disaster Program,Capital Outlay,Toatl Capital Outlay,23456779.42
Less: Check Disbursement,Post-Disaster Program,Maintenance and Other Operating Expenses,Office Supplies,179218
Less: Check Disbursement,Post-Disaster Program,Maintenance and Other Operating Expenses,"Gasoline, Oil and Lubricants Expenses",862038
Less: Check Disbursement,Post-Disaster Program,Maintenance and Other Operating Expenses,Agriculture Supplies Expenses,1800000
Less: Check Disbursement,Post-Disaster Program,Maintenance and Other Operating Expenses,Other Supplies Expenses,38130169
Less: Check Disbursement,Post-Disaster Program,Maintenance and Other Operating Expenses,Medicine,817479.85
Less: Check Disbursement,Post-Disaster Program,Maintenance and Other Operating Expenses,Food Supplies,7966098.5
Less: Check Disbursement,Post-Disaster Program,Maintenance and Other Operating Expenses,Other Maintenance and Operating Expenses,261949.88
Less: Check Disbursement,Post-Disaster Program,Maintenance and Other Operating Expenses,Total Maintenance and Othe Expenses,50016953.25
Less: Check Disbursement,Post-Disaster Program,Total Post-Disaster Preparedness Programs Costs,Total Post-Disaster Preparedness Programs Costs,73473732.67
Less: Check Disbursement,Total Disbursement,Total Disbursement,Total Disbursement,82406691.55
"LDRRMF Balance, December 31, 2013","LDRRMF Balance, December 31, 2013","LDRRMF Balance, December 31, 2013","LDRRMF Balance, December 31, 2013",24975880.89
