particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_source,total
Sources of Funds,Current Appropriations,19010125.25,44356958,-,-,-,63367083.45
Sources of Funds,Continuing Appropriations,-,-,-,-,-,-
Sources of Funds,Previous Years Approproprations Transferred to the Special Trust Fund,-,57993491.72,-,-,-,57993491.72
Sources of Funds,Transfers or Grants,-,-,-,-,-,-
Sources of Funds,Total Fund Available,19010125.45,102350449.7,-,-,-,121360575.2
Utilization,Drug and Medicine Supplies,-,-,-,-,-,-
Utilization,Med. Dental Lab Supplies,-,-,-,-,-,-
Utilization,Other Supplies Expenses,-,-,-,-,-,-
Utilization,Total Utilization,-,-,-,-,-,-
Utilization,Unutilized Balance,19010125.45,102350449.7,-,-,-,121360575.2
