particulars_1,particulars_2,particulars_3,amount
Estimated Revenue from Regular Sources,Estimated Revenue from Regular Sources,Estimated Revenue from Regular Sources,1508323338
Calamity Fund,Calamity Fund,Calamity Fund,75416200
Less-Disbursement,Pre-Disaster Preparedness Programs ,Maintenance and Other Expenses-Training Expenses,298367.96
Less-Disbursement,Pre-Disaster Preparedness Programs ,Maintenance and Other Expenses-Food Expenses,1631669.68
Less-Disbursement,Pre-Disaster Preparedness Programs ,"Maintenance and Other Expenses-Gasoline, Oil and Lubricants Expenses",237137.36
Less-Disbursement,Pre-Disaster Preparedness Programs ,Maintenance and Other Expenses-Other Supplies Expenses,135589
Less-Disbursement,Pre-Disaster Preparedness Programs ,Maintenance and Other Expenses-Telephone Expenses (Landline),18392
Less-Disbursement,Pre-Disaster Preparedness Programs ,Maintenance and Other Expenses-Other Maintenance and Operating Expenses,6600
Less-Disbursement,Pre-Disaster Preparedness Programs ,Capital Outlay-Other Machineries and Equipment,495000
Less-Disbursement,Post-Disaster Programs,Maintenance and Other Operating Expenses,3497623.95
Less-Disbursement,Post-Disaster Programs,Payment of Premuims on Calamity Insurance,-
Sub-total,Sub-total,Sub-total,6320379.95
Balance,Balance,Balance,69095820.05
