particulars_1,particulars_2,particulars_3,ldrrmf_quick_response_funds_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgus,from_other_sources,total
Source of Funds,Current Appropriation,Current Appropriation,22624860,52791340,-,-,-,75416200
Source of Funds,Continuing Appropriation,Previous Year's Transferres to the SpecialTrust Fund,10985965.66,13720361.96,-,-,-,24706327.62
Source of Funds,Transfer/Grants,Transfer/Grants,-,-,-,-,-,-
Source of Funds,Total Funds Available,Total Funds Available,33610825.66,66511701.96,-,-,-,100122527.6
Utilization,Maintenance and Other Operating Expenses,Maintenance and Other Operating Expenses,15148803.16,45624879.79,-,-,-,60773682.95
Utilization,Maintenance and Other Operating Expenses,Training Expenses,-,298368.35,-,-,-,298368.35
Utilization,Maintenance and Other Operating Expenses,Office Supplies Expense,55000,169180.67,-,-,-,224180.67
Utilization,Maintenance and Other Operating Expenses,Food Supplies Expenses,500000,5211470.58,-,-,-,5711470.58
Utilization,Maintenance and Other Operating Expenses,Drugs and Medicine Expenses,2099199,6598937.5,-,-,-,8698136.5
Utilization,Maintenance and Other Operating Expenses,"Medical, Dental and Laboratory Supplies Expense",999050,1543719,-,-,-,2542769
Utilization,Maintenance and Other Operating Expenses,"Gasoline, Oil and Lubricants Expenses",397926,-,-,-,-,397926
Utilization,Maintenance and Other Operating Expenses,Other Supplies,-,4336659,-,-,-,4336659
Utilization,Maintenance and Other Operating Expenses,Telephone Expenses,-,18392,-,-,-,18392
Utilization,Maintenance and Other Operating Expenses,"Repair and Maintenance-Road, Highways, Riverwalls and Other",1000000,775298.5,-,-,-,1775298.5
Utilization,Maintenance and Other Operating Expenses,"Repair and Maintenance-Waterways, Aqueducts, Seawalls, Riverwalls and Others",1499548.23,-,-,-,-,-
Utilization,Maintenance and Other Operating Expenses,Repair of Evacuation Center,-,181684.78,-,-,-,181684.78
Utilization,Maintenance and Other Operating Expenses,Donation,8598079.55,-,-,-,-,8598079.55
Utilization,Maintenance and Other Operating Expenses,Other Maintenance and Operating Expenses,-,26600,-,-,-,26600
Utilization,Capital Outlay,Land Improvements,-,6173902.98,-,-,-,6173902.98
Utilization,Capital Outlay,Office Buildings,-,3310054.27,-,-,-,3310054.27
Utilization,Capital Outlay,Office Equipment,-,126999.56,-,-,-,126999.56
Utilization,Capital Outlay,IT Equipment and Software,-,6010956.61,-,-,-,6010956.61
Utilization,Capital Outlay,Communication and Equipment,-,294000,-,-,-,294000
Utilization,Capital Outlay,Other Machineries and Equipment,-,1191522.5,-,-,-,1191522.5
Utilization,Capital Outlay,Flood Controls,-,4420035.98,-,-,-,4420035.98
Utilization,Capital Outlay,"Waterways, Aqueduct, Seawalls, Riverwalls and Others",-,4937097.51,-,-,-,4937097.51
Utilization,Total Utilization,Total Utilization,15148803.16,45624879.79,-,-,-,59274134.72
Utilization,Unutilized Balance,Unutilized Balance,18462022.5,20886822.17,-,-,-,40848392.9
