particulars,particulars,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriations,14608773.09,34087137.21,-,-,-,-
Sources of Funds,Continuing Aprropriations,-,-,-,-,-,-
Sources of Funds,"Previous Year's Appropriations transferred to Special Trust Fund",-,14663469.74,-,-,-,-
Sources of Funds,Transfers/Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,14608773.09,48750606.95,-,-,-,-
Utilization,Medicines,-,-,-,-,-,-
Utilization,Food Supplies,7994815.4,7979365.4,-,-,-,-
Utilization,Repair of Evacuation Center,-,-,-,-,-,-
Utilization,Trainings,-,-,-,-,-,-
Utilization,Construction of Evacuation Center,-,-,-,-,-,-
Utilization,Equipment,-,-,-,-,-,-
Transfers to other LGUs/NGAs,Transfers to other LGUs/NGAs,-,2500000,-,-,-,-
Other Purposes,Other Purposes,-,12899288.83,-,-,-,-
Total Utilization,Total Utilization,7994815.4,23378654.23,-,-,-,-
Unutilized Balance,Unutilized Balance,6613957.69,25371952.72,-,-,-,-
