particulars_1,particulars_2,ldrrmf_quick_response_fund_ 30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgus,from_other_sources,total
Sources of Funds,Current Appropriations,6485448.6,15132713.4,-,-,-,21618162
Sources of Funds,Continuing Appropriations,-,-,-,-,-,-
Sources of Funds,Previous Year's Appropriations transferred to the Special Trust Fund,-,8158796.18,-,-,-,8158796.18
Sources of Funds,Transfers/Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,6485448.6,23291509.58,-,-,-,29776958.18
Utilization,Medicines,-,-,-,-,-,-
Utilization,Food Supplies,-,-,-,-,-,-
Utilization,Repair of Evacuation Center,-,-,-,-,-,-
Utilization,Trainings,-,832740.68,-,-,-,832740.68
Utilization,"Gasoline, Oil and Lubricants",-,451646.6,-,-,-,451646.6
Utilization,Water Installation/Monthly Payment,-,11137.75,-,-,-,11137.75
Utilization,Internet Expenses,-,2775.73,-,-,-,2775.73
Utilization,Cable TV Connection/Monthly Payment,-,4010,-,-,-,4010
Utilization,Bloodletting/Fogging,-,42705,-,-,-,42705
Utilization,Disaster Consciousness Month,-,93074,-,-,-,93074
Utilization,Fire Prevention Month Activities,-,88952.7,-,-,-,88952.7
Utilization,Mangrove Developemnt and Maintenance/Tree Planting,-,451458,-,-,-,451458
Utilization,Construction of Evacuation Center,-,-,-,-,-,-
Utilization,Life Guarding Equipment,-,459966.75,-,-,-,459966.75
Utilization,Equipment and Facilities,-,629395,-,-,-,629395
Utilization,Miscellaneous - Other Purpose - Food Ration,-,582952,-,-,-,582952
Utilization,Miscellaneous - Other Purpose - Stock Pile of Foods/Non-Foods,-,2735264.25,-,-,-,2735264.25
Utilization,Miscellaneous - Other Purpose - Limited Financial/Shelter Assistance,-,420000,-,-,-,420000
Utilization,Relief and Recovery - Financial Assistance,-,500000,-,-,-,500000
Utilization,Relief and Recovery - Transfers to other LGUs,-,-,-,-,-,-
Utilization,Total Utilization,0,7306078.46,-,-,-,7306078.46
Unutilized Balance,Unutilized Balance,6485448.6,15985431.12,-,-,-,22470879.72
