particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriations,22246273.8,98468855.11,-,-,-,120715128.9
Sources of Funds,Continuing Appropriation,-,-,-,-,-,-
Sources of Funds,Previous Year's Appropriations transferred to the Special Trust Fund,-,58055329.8,-,-,-,58055329.8
Sources of Funds,Transfers or Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,22246273.8,156524184.9,-,-,-,178770458.7
Ulitization,Travelling Expenses,-,158903,-,-,-,158903
Ulitization,Office Supplies Expense,-,53224.45,-,-,-,53224.45
Ulitization,Food Supplies Expense,-,406250,-,-,-,406250
Ulitization,"Gasoline, Oil and Lubricant Expense",-,214310,-,-,-,214310
Ulitization,Agricultural Supply Expense,-,89266306,-,-,-,89266306
Ulitization,Repair and Maintenance - Office Equipment,-,9118,-,-,-,9118
Ulitization,Repair and Maintenance - Construction and Heavy Equipment,-,161538.36,-,-,-,161538.36
Ulitization,Repair and Maintenance - Motor Vehicle,-,63050,-,-,-,63050
Ulitization,Donations,-,8000,-,-,-,8000
Ulitization,Other Maintenance and Operating Expense,-,567349.44,-,-,-,567349.44
Ulitization,Disaster Relief,-,388287.5,-,-,-,388287.5
Ulitization,Emergency Shelter Assistance,-,24581000,-,-,-,24581000
Ulitization,Infrastructure,-,808000,-,-,-,808000
Total Utilization,Total Utilization,-,116685336.8,-,-,-,116685336.8
Unutilized Balance,Unutilized Balance,22246273.8,39838848.16,-,-,-,62085121.96
