particulars_1,particulars_2,lddrrmf_quick_response_fund_30_percent,mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_source,total
Sources of Funds,Current Appropriations,25215000,58835000,-,-,-,84050000
Sources of Funds,Continuing Appropriations,-,1050000,-,-,-,1050000
Sources of Funds,Previous Year's Appropriations transferred to the Special Trust Fund 2010-2012,-,25057972.1,-,-,-,25057972.1
Sources of Funds,Previous Year's Appropriations transferred to the Special Trust Fund 2013,-,20454637.04,-,-,-,20454637.04
Sources of Funds,Transfers or Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,25215000,105397609.1,-,-,-,130612609.1
Ulitization,Travelling Expenses,-,20031,-,-,-,20031
Ulitization,Office Supplies Expenses,-,2208,-,-,-,-
Ulitization,Food Supplies Expenses,-,150000,-,-,-,150000
Ulitization,Repair of Evaluation Center,-,-,-,-,-,-
Ulitization,Trainings,-,-,-,-,-,-
Ulitization,Construction of Evacuation Center,-,-,-,-,-,-
Ulitization,Donations,-,25000,-,-,-,25000
Ulitization,Other MOOE,-,312540.82,-,-,-,312540.82
Ulitization,Total Utilization,-,509779.82,-,-,-,507571.82
Ulitization,Unutilized Balance,25215000,104887829.3,-,-,-,130105037.3
