particulars_1,particulars_2,,ldrrmf_quick_response_fund_30_percent,mitigation_fund_70_percent
Current Aproppriations,Current Aproppriations,Current Aproppriations,41246765.6,96242453.04
Current Aproppriations,Add-Continuing Appropriation,Add-Continuing Appropriation,-,-
Current Aproppriations,Add-Continuing Appropriation,Prior year's Appropriation transferred to the Special Trust Fund,-,-
Current Aproppriations,Total Funds Available,Total Funds Available,-,137489218.6
Less-Utilization,Pre-Disaster Preparedness Programs,BENRO Seedlings,-,757000
Less-Utilization,Pre-Disaster Preparedness Programs,Trainings,-,3590895.63
Less-Utilization,Pre-Disaster Preparedness Programs,Equipment,-,1210505
Less-Utilization,Pre-Disaster Preparedness Programs,Medical Supplies,-,4055700
Less-Utilization,Pre-Disaster Preparedness Programs,Relief Goods,2887500,-
Grand Total,Grand Total,Grand Total,-,12501600.63
Balance,Balance,Balance,-,124987618
