particulars_1,particulars_2,particulars_3,ldrrmf_quick_response_fund_30_percent,mitigation_fund_70_percent
Current Aproppriations,Current Aproppriations,Current Aproppriations,42634759.35,99481105.16
Current Aproppriations,Add-Continuing Appropriation,Add: Continuing Appropriation,-,-
Current Aproppriations,Add-Continuing Appropriation,Prior year's Appropriation transferred to the Special Trust Fund,-,-
Current Aproppriations,Total Funds Available,Total Funds Available,-,142115864.51
Less-Utilization,Pre-Disaster Preparedness Programs,Pre-Disaster Preparedness Programs,-,40000.00
Less-Utilization,Pre-Disaster Preparedness Programs,BENRO Seedlings,-,-
Less-Utilization,Pre-Disaster Preparedness Programs,Trainings,-,1758648.00
Less-Utilization,Pre-Disaster Preparedness Programs,Equipment,-,76776.00
Less-Utilization,Pre-Disaster Preparedness Programs,Medical Supplies,-,-
Less-Utilization,Pre-Disaster Preparedness Programs,Relief Goods,-,-
Grand Total,Grand Total,Grand Total,-,1875424.00
Balance,Balance,Balance,-,142115864.51
