particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent_general_fund,ldrrmf_mitigation_fund_70_percent_2014_general_fund,ldrrmf_mitigation_fund_70_percent_2013_general_fund,ldrrmf_mitigation_fund_70_percent_2013_trust_fund,ldrrmf_mitigation_fund_70_percent_2012_general_fund,ldrrmf_mitigation_fund_70_percent_2012_trust_fund,ldrrmf_mitigation_fund_70_percent_2011_general_fund,ndrrmf,from_other_lgus,from_other_sources,total
Sources of Funds,Current Appropriation,17446036,40707415,-,-,-,-,-,-,-,-,58153451
Sources of Funds,Continuing Appropriations(Capital Outlay),-,-,2940877.27,-,1088670.99,-,390119.55,-,-,-,4419667.81
Sources of Funds,Previous Year's Appropriations - Transferred to the Special Trust Fund,-,-,-,1900193.85,-,-,-,-,-,-,1900193.85
Sources of Funds,Previous Year's Appropriations - Balance,-,-,-,-,-,585451,-,-,-,-,585451
Sources of Funds,Previous Year's Appropriations - Adjustments ,-,-,-,-,-,5624.71,-,-,-,-,5624.71
Sources of Funds,Total Funds Available,17446036,40707415,2940877.27,1900193.85,1088670.99,591075.71,390119.55,-,-,-,65064388.37
Utilization,Medicines,409574,-,-,-,-,-,-,-,-,-,409574
Utilization,Foods Supplies,5272678.25,-,-,-,-,-,-,-,-,-,5272678.25
Utilization,Purchase of Seeds,-,-,-,-,-,-,-,-,-,-,0
Utilization,Travel,-,37200,-,-,-,-,-,-,-,-,37200
Utilization,Trainings,-,222552,-,112800,-,32970,-,-,-,-,368322
Utilization,Office Supplies ,-,860,-,-,-,-,-,-,-,-,860
Utilization,"Medical, Dental and Laboratory Expense",-,-,-,-,-,-,-,-,-,-,0
Utilization,"Gasoline, Oil and Lubricants",444951,415280.05,-,-,-,-,-,-,-,-,860231.05
Utilization,Other Supplies,-,11700,-,-,-,-,-,-,-,-,11700
Utilization,Water Expense,-,3600,-,-,-,-,-,-,-,-,3600
Utilization,Telephone Expense,-,10873.88,-,-,-,-,-,-,-,-,10873.88
Utilization,Internet Expense,-,4908.4,-,-,-,-,-,-,-,-,4908.4
Utilization,Representation Expense,-,5600,-,-,-,-,-,-,-,-,5600
Utilization,Rent Expense,-,6000,-,-,-,-,-,-,-,-,6000
Utilization,Subscription Expense,-,3225,-,-,-,-,-,-,-,-,3225
Utilization,Repair/Maintenance-Motor Vehicle,-,23000.75,-,-,-,-,-,-,-,-,23000.75
Utilization,Repair/Maintenance-Watercraft,-,-,-,-,-,-,-,-,-,-,0
Utilization,Grants/Donations,36000,-,-,-,-,-,-,-,-,-,36000
Utilization,Other Maintenance and Operating Expenses,3109110.4,101715,-,-,-,14970,-,-,-,-,3225795.4
Utilization,Capital Outlay - Construction of Drainage System from Guingona Park to Teofilo Sanchez St. (Phase 2),-,1587409.94,-,-,-,-,-,-,-,-,1587409.94
Utilization,Capital Outlay - Support to Comprehensive Land Use Plan (CLUP) - (CLAIMS) computerization,-,6000000,OK,-,-,-,-,-,-,-,6000000
Utilization, Capital Outlay - Construction of Footbridge at Barangay Pianing,-,1133127.81,-,-,-,-,-,-,-,-,1133127.81
Utilization,Capital Outlay - Improvement of Langihan Lagoon-Montilla Blvd. Andaya Road and Drainage System,-,2800000,398848.74,-,-,-,-,-,-,-,3198848.74
Utilization,Capital Outlay - Box Culvert at Barangay Los Angeles,-,-,929448.75,-,-,-,-,-,-,-,929448.75
Utilization,Capital Outlay - Bonbon-Nongnong Road Ccross Drainage Canal,-,-,442809.42,-,-,-,-,-,-,-,442809.42
Utilization,Capital Outlay - Replacement of Abutment at Barangay Camayahan,-,-,-,-,317898.32,-,-,-,-,-,317898.32
Utilization,Capital Outlay - Construction of Box Culvert at Barangay Bugsukan,-,-,-,-,150894.94,-,-,-,-,-,150894.94
Utilization,Total Utilization,9272313.65,12367052.83,1771106.91,112800,468793.26,47940,0,-,-,-,24040006.65
Unutilized Balance,Unutilized Balance,8173722.35,28340362.17,1169770.36,1787393.85,619877.73,543135.71,390119.55,-,-,-,41024381.72
