particulars_1,particulars_2,cdrrmf_quick_response_fund_30_percent,cdrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu's,from_other_soures,total
Source of Funds,Current Appropriation (GF),4684946.7,10931542.3,-,-,3920600,19537089
Source of Funds,Continuing Appropriation,-,-,-,-,-,-
Source of Funds,Previous Year/s Appropriation (Trust Fund),-,4254265.8,-,-,-,4254265.8
Source of Funds,Transfer/Grants/Aids,-,-,-,-,-,-
Source of Funds,Total Funds Available,4684946.7,15185808.1,-,-,3920600,23791354.8
Utilization,Training,-,-,-,-,222324,222324
Utilization,Food Supplies,-,-,-,-,59012,59012
Utilization,Fuel and Oil,15701.64,-,-,-,7463.02,23164.66
Utilization,CDRRMO Office Supplies,-,9960,-,-,16031,25991
Utilization,"Rescue Tools, Supplies and Gears",-,298910,-,-,31263.63,330173.63
Utilization,Other Supplies,-,146500,-,-,1950,148450
Utilization,2 Units Geohazard Mapping Electronic Tab.,-,-,-,-,55845,55845
Utilization,1 Unit Rescue Rubber Boat,-,-,-,-,586300,586300
Utilization,1 Unit Rescue Ambulance,-,58750,-,-,2940000,2998750
Utilization,1 Unt Evacuation PortableToilet,-,198750,-,-,-,198750
Utilization,1 Unit Rescue Vehicle (SKW Truck),-,1875000,-,-,-,1875000
Utilization,Transfer/Financial Assistance to Province of Compostela Valley,500000,-,-,-,-,500000
Utilization,Transfer/Financial Assistance to Province of Davao Oriental,500000,-,-,-,-,500000
Utilization,Total utilization,1015701.64,2587870,-,-,3920188.65,7523760.29
Unutilized Balance,Unutilized Balance,3669245.06,12597938.1,-,-,411.35,16267594.51
